exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,baseline_Shape,baseline_Direction,baseline_Length,baseline_Position,baseline_Duration,source_file
48,68,5,high,high,0.1107150809821431,-0.0490069259086184,0.1181187025611051,0.1108111251779501,-0.1269128413106632,0.882781831475198,0.8017247909047163,0.8737932765427139,0.7881907906530959,0.8225650152237067,combined_data.csv
48,69,5,high,high,0.1231296388389525,-0.026810480042768,0.1322834990765403,0.1469557912985692,-0.2293980173347989,0.8685912849941774,0.7380625774281456,0.856367123487881,0.7740919468583791,0.8143036777121575,combined_data.csv
48,80,5,high,high,0.1078376572492464,-0.0518058418796349,0.1124744007777307,0.1104989796487478,-0.0882898793775337,0.8786277055293302,0.7671242641049056,0.8720137798544151,0.7561503638010735,0.8426002242051198,combined_data.csv
48,82,5,high,high,0.13353767645786,-0.003764674138423,0.1140446045293244,0.1119716312493255,-0.2522397230924111,0.8588752656341077,0.7447710300699026,0.8763021466855734,0.7601032333853479,0.8424036575186407,combined_data.csv
48,86,5,high,high,0.1219629791554296,-0.0004084213765488,0.1253767848952013,0.1406028272728674,-0.2719737755179723,0.8712651653827894,0.7164184742181003,0.8642673464975045,0.7543813778401847,0.847731351275548,combined_data.csv
48,87,5,high,high,0.1080715263086598,-0.15284089398562,0.1158529399382369,0.1639367913836152,-0.2529192546967745,0.8841946206541478,0.8111922946508094,0.8733476233792427,0.7896411915564167,0.8292595810371008,combined_data.csv
48,118,5,high,high,0.0989770872634662,-0.0516272645812465,0.0963141802254691,0.1152384759536687,-0.2906906606651854,0.8902381732012086,0.8138925341392034,0.890022863329669,0.7953377798244532,0.8547815697560945,combined_data.csv
48,178,5,high,high,0.1098289336637527,-0.0480516225543478,0.0903091708954159,0.1633698033222838,-0.0499502379232359,0.88208919163778,0.7939337775731333,0.9004187900645417,0.7822791429869393,0.8252027631757612,combined_data.csv
68,69,5,high,high,0.1158298418289142,-0.0584126126390751,0.1229084720948816,0.166357222655768,-0.1495674448370744,0.8773626339193765,0.743377467198544,0.8678699145796058,0.7629120294634195,0.8162341115037409,combined_data.csv
68,80,5,high,high,0.1093160364267845,-0.198146005110807,0.1160349942722215,0.1583860710298067,-0.1481080662234857,0.8781871816860789,0.8156632698429045,0.8699006441955085,0.7585421726225603,0.8660567841722037,combined_data.csv
68,82,5,high,high,0.1093116838644161,-0.0717873542415095,0.1080614169336435,0.1444962086223737,-0.2149643254670559,0.8835702095201095,0.8294763503825846,0.8810421500845385,0.7682017767397462,0.8365859470886776,combined_data.csv
68,86,5,high,high,0.1164542649117433,-0.0725083783486457,0.1072136409848238,0.1851708999612665,-0.1911623644187938,0.877950914892109,0.7798843019318842,0.8855519316827904,0.7592627528644541,0.8450085182649478,combined_data.csv
68,87,5,high,high,0.10960350614198,-0.0752885902983733,0.098332579473188,0.1940897412840023,-0.2355507292420624,0.8840390648777103,0.7811053582581781,0.8939843184005143,0.7645248343817717,0.8355507292420624,combined_data.csv
68,118,5,high,high,0.125896696588858,-0.0422420934060178,0.1351855293954004,0.1989825654279607,-0.1710867872916754,0.8653293761207431,0.7888017486492447,0.8554099867621378,0.7461783353669796,0.8377534539583421,combined_data.csv
68,178,5,high,high,0.1229146662764401,-0.1336087787611756,0.126936825564614,0.1930932606074932,-0.1406126821067002,0.8705556710175613,0.8378773819531804,0.8642753418424338,0.7659176028770265,0.8206126821067001,combined_data.csv
69,80,5,high,high,0.1368967593530435,-0.0429482745146588,0.1570878268236863,0.1712160188001521,-0.16193360737999,0.8519948518146414,0.6347591781097497,0.8274049338903975,0.7243667375115662,0.8286002740466567,combined_data.csv
69,82,5,high,high,0.1152960859968433,-0.0676835750474724,0.1172260177211367,0.1578101148003844,-0.1801918924821812,0.8755052114398639,0.7658401388652738,0.8697484164212788,0.7769608007216242,0.8392828015730904,combined_data.csv
69,86,5,high,high,0.1205562394118464,-0.060048881333405,0.1274641688578983,0.1669226942548145,-0.1884880284453296,0.8724013877417313,0.7930052177687927,0.8641310273830681,0.7855072210778327,0.8304294203867215,combined_data.csv
69,87,5,high,high,0.1101659169202665,-0.030491102846783,0.1150513379762095,0.1594928549960992,-0.2048485222737824,0.8829240913640338,0.7958809512758358,0.8759054717590302,0.7528458325738929,0.8477056651309253,combined_data.csv
69,118,5,high,high,0.1106472073712397,-0.0232182886647255,0.1265804233632133,0.1329159947958842,-0.2333133994850809,0.8808111270674293,0.7061847559736641,0.8610949171871003,0.7671562434425523,0.833313399485081,combined_data.csv
69,178,5,high,high,0.113425691913878,-0.0598816001423876,0.1159009699247843,0.1495916458104823,-0.1998515290449936,0.8790031776752861,0.7501197936079874,0.8752435484859208,0.75055978123028,0.8294811586746234,combined_data.csv
80,82,5,high,high,0.1008159993773394,-0.0870220004216384,0.0981065618120492,0.1695523884562119,-0.221288052832866,0.8865344882846623,0.7402235884885794,0.8852810577273305,0.7630493479351835,0.8299837050067791,combined_data.csv
