exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,baseline_Shape,baseline_Direction,baseline_Length,baseline_Position,baseline_Duration
10,13,5,low,low,0.1352980144198073,-0.0053216988838392,0.172244731696219,0.1253277248259058,-0.2217370723596375,0.8559877234200267,0.6528248775674332,0.8146658281766299,0.7327570042738014,0.8300064670740451
10,21,5,low,low,0.1246682635216833,-0.0473981433577861,0.1342940208655978,0.1185515707218305,-0.0894043190174715,0.868026147020012,0.7087497519371899,0.8545668086372389,0.7573941485044612,0.8278658574790101
10,27,5,low,low,0.1115079288199349,-0.1241094606749373,0.0977659258005481,0.0997932733940634,-0.1969681381462051,0.8788571118017587,0.8237411509295551,0.8867574968034584,0.7815641946858032,0.839825281003348
10,29,5,low,low,0.1057515362617073,-0.0853419375746999,0.1134584177047549,0.1242774750791826,-0.1860257567842789,0.8858056473024247,0.8019445635819922,0.874884089265108,0.7748037899349702,0.839035790229095
10,31,5,low,low,0.1133043061237363,-0.045739413213053,0.1418201377263298,0.1318257202858053,-0.1546600285094714,0.8795196672558828,0.732087815720929,0.8486061527835683,0.7780469869281844,0.8469677208171638
10,34,5,low,low,0.1146561533359102,-0.0404717973622379,0.1185173552854846,0.1690811773252023,-0.2165143821578045,0.8781099239753236,0.7531184637792969,0.8717075285262581,0.7191255458396248,0.8345515174363191
10,35,5,low,low,0.1068787995114183,-0.059805713245309,0.1160666044403756,0.1502138543473788,-0.2628659597201561,0.883363180757404,0.757184596412238,0.8681642075215926,0.7636108263589203,0.8494476688655834
10,37,5,low,low,0.1171144739028721,-0.0336493651381857,0.1157453327652708,0.1811274721502624,-0.2428827573995674,0.8750825010946165,0.743019090501615,0.8732080790271186,0.7569744465947723,0.8514177036361266
10,41,5,low,low,0.1144793641866069,-0.0603903935852503,0.1310503016074857,0.1434210427579552,-0.142317357749472,0.8789067758875729,0.7266177235409252,0.8599865622315986,0.7383105608380741,0.831206246638361
10,43,5,low,low,0.1152994539214112,-0.0800093420355217,0.0953870238067038,0.1558175606827165,-0.1778201245713835,0.8771380057556956,0.7745201476280864,0.8931187350079579,0.7520517328310186,0.8323294083910122
10,44,5,low,low,0.118606647878527,-0.0062778312718185,0.1200164384753164,0.1084072342223025,-0.1903421857310818,0.8735932111096834,0.792382122156831,0.8691459417383178,0.7917396104357629,0.8372652626541588
10,56,5,low,low,0.1255507976487982,0.0237651921551348,0.110960611346969,0.0997714719288704,-0.1904484437020532,0.8669462660547927,0.7689345593042273,0.8781619316306682,0.7756755485270335,0.8196151103687199
10,60,5,low,low,0.1130511957659446,0.0310784284594622,0.1059832865218224,0.1219712909350875,-0.2013614676970679,0.8780154764531316,0.7488218342563899,0.8801603990576361,0.7675008968844925,0.8500101163457167
10,63,5,low,low,0.1272406646359427,-0.0184931654081674,0.1215972384564972,0.1320224173762734,-0.1806794743238162,0.8647089031966577,0.745135828571903,0.8663587573905838,0.7715017265490036,0.8345256281699702
10,64,5,low,low,0.1142995621710828,-0.017404124947123,0.1102845217199132,0.1183089295792145,-0.1341273434873842,0.876848769672979,0.7150426247722141,0.8770381237713731,0.7677900331527429,0.8237825159011773
10,65,5,low,low,0.1214943573829662,-0.0447618453675372,0.1224192701660823,0.1569994680584705,-0.1716119789372283,0.8665770257465746,0.7897988682527087,0.8619805425870146,0.7871253856517704,0.838278645603895
