exp_a,exp_b,trial_id,expertise_a,expertise_b,distance,score
87,154,5,high,none,327.0,0.9289772727272727
118,93,5,high,none,105.0,0.9210526315789473
118,36,5,high,none,112.0,0.9256198347107438
118,110,5,high,none,95.0,0.7723577235772358
86,196,5,high,none,566.0,0.933993399339934
87,211,5,high,none,216.0,0.8571428571428571
118,96,5,high,none,207.0,0.9282511210762332
118,163,5,high,none,146.0,0.9182389937106918
118,181,5,high,none,118.0,0.8309859154929577
118,204,5,high,none,106.0,0.9298245614035088
118,201,5,high,none,99.0,0.868421052631579
118,189,5,high,none,169.0,0.9441340782122905
118,154,5,high,none,325.0,0.9232954545454546
118,211,5,high,none,167.0,0.7877358490566038
178,3,5,high,none,144.0,0.9
178,28,5,high,none,118.0,0.7375
178,5,5,high,none,147.0,0.8909090909090909
178,12,5,high,none,145.0,0.90625
178,30,5,high,none,149.0,0.93125
178,36,5,high,none,142.0,0.8875
178,93,5,high,none,138.0,0.8625
118,196,5,high,none,584.0,0.9636963696369637
87,196,5,high,none,580.0,0.9570957095709571
178,110,5,high,none,120.0,0.75
178,163,5,high,none,152.0,0.95
178,204,5,high,none,153.0,0.95625
178,96,5,high,none,207.0,0.9282511210762332
178,181,5,high,none,148.0,0.925
178,201,5,high,none,136.0,0.85
178,189,5,high,none,168.0,0.9385474860335196
178,154,5,high,none,323.0,0.9176136363636364
178,211,5,high,none,181.0,0.8537735849056604
178,196,5,high,none,575.0,0.9488448844884488
