exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld
16,176,5,medium,low,377.0,0.9240196078431373
17,27,5,medium,low,270.0,0.9407665505226481
16,208,5,medium,low,346.0,0.9057591623036649
17,29,5,medium,low,262.0,0.9128919860627178
16,101,5,medium,low,739.0,0.8513824884792627
16,179,5,medium,low,469.0,0.9436619718309859
17,31,5,medium,low,242.0,0.8432055749128919
17,21,5,medium,low,325.0,0.9180790960451978
17,43,5,medium,low,269.0,0.9372822299651568
17,34,5,medium,low,266.0,0.926829268292683
17,13,5,medium,low,474.0,0.8586956521739131
17,35,5,medium,low,252.0,0.8780487804878049
17,37,5,medium,low,268.0,0.9337979094076655
17,44,5,medium,low,271.0,0.9442508710801394
17,56,5,medium,low,261.0,0.9094076655052264
17,65,5,medium,low,254.0,0.8850174216027874
17,41,5,medium,low,277.0,0.8318318318318318
17,74,5,medium,low,242.0,0.8432055749128919
17,60,5,medium,low,272.0,0.9477351916376306
17,63,5,medium,low,278.0,0.9686411149825784
17,94,5,medium,low,260.0,0.9059233449477352
17,78,5,medium,low,268.0,0.9337979094076655
17,64,5,medium,low,353.0,0.9566395663956639
17,79,5,medium,low,272.0,0.9477351916376306
17,114,5,medium,low,251.0,0.8745644599303136
17,77,5,medium,low,331.0,0.9403409090909091
17,99,5,medium,low,280.0,0.9459459459459459
17,104,5,medium,low,255.0,0.8885017421602788
17,139,5,medium,low,249.0,0.867595818815331
17,124,5,medium,low,268.0,0.9337979094076655
17,140,5,medium,low,265.0,0.9233449477351916
17,126,5,medium,low,292.0,0.9798657718120806
17,132,5,medium,low,282.0,0.9527027027027027
17,164,5,medium,low,261.0,0.9094076655052264
17,170,5,medium,low,280.0,0.8668730650154799
17,180,5,medium,low,258.0,0.8989547038327527
17,128,5,medium,low,419.0,0.8498985801217038
17,200,5,medium,low,263.0,0.9163763066202091
17,182,5,medium,low,277.0,0.9651567944250871
17,176,5,medium,low,356.0,0.8725490196078431
19,27,5,medium,low,129.0,0.9416058394160584
19,10,5,medium,low,119.0,0.8686131386861314
19,29,5,medium,low,162.0,0.9585798816568047
17,179,5,medium,low,460.0,0.9255533199195171
17,208,5,medium,low,275.0,0.9581881533101045
17,101,5,medium,low,793.0,0.913594470046083
19,21,5,medium,low,316.0,0.8926553672316384
19,34,5,medium,low,223.0,0.9214876033057852
19,31,5,medium,low,212.0,0.803030303030303
19,35,5,medium,low,221.0,0.8339622641509434
19,37,5,medium,low,215.0,0.8333333333333334
19,44,5,medium,low,156.0,0.9811320754716981
19,13,5,medium,low,480.0,0.8695652173913043
19,43,5,medium,low,148.0,0.9548387096774194
19,56,5,medium,low,140.0,0.9859154929577465
19,41,5,medium,low,275.0,0.8258258258258259
19,65,5,medium,low,117.0,0.8540145985401459
19,74,5,medium,low,113.0,0.8248175182481752
19,60,5,medium,low,228.0,0.890625
19,94,5,medium,low,136.0,0.9927007299270073
19,63,5,medium,low,258.0,0.9181494661921709
19,78,5,medium,low,216.0,0.927038626609442
19,114,5,medium,low,114.0,0.8321167883211679
19,79,5,medium,low,238.0,0.9015151515151515
19,64,5,medium,low,348.0,0.943089430894309
19,77,5,medium,low,331.0,0.9403409090909091
19,99,5,medium,low,267.0,0.902027027027027
19,104,5,medium,low,196.0,0.8484848484848485
19,124,5,medium,low,197.0,0.9036697247706422
19,139,5,medium,low,124.0,0.9051094890510949
19,140,5,medium,low,125.0,0.9124087591240876
19,132,5,medium,low,257.0,0.8682432432432432
19,126,5,medium,low,277.0,0.9295302013422819
19,164,5,medium,low,194.0,0.919431279620853
19,170,5,medium,low,261.0,0.8080495356037152
19,180,5,medium,low,139.0,0.8910256410256411
19,128,5,medium,low,435.0,0.8823529411764706
19,176,5,medium,low,346.0,0.8480392156862745
19,200,5,medium,low,218.0,0.9478260869565217
19,182,5,medium,low,263.0,0.9392857142857143
19,101,5,medium,low,797.0,0.9182027649769585
19,179,5,medium,low,448.0,0.9014084507042254
19,208,5,medium,low,235.0,0.8969465648854962
20,10,5,medium,low,199.0,0.8024193548387096
20,27,5,medium,low,234.0,0.9435483870967742
20,29,5,medium,low,230.0,0.9274193548387096
20,31,5,medium,low,241.0,0.9128787878787878
20,34,5,medium,low,236.0,0.9516129032258065
20,35,5,medium,low,236.0,0.8905660377358491
20,21,5,medium,low,318.0,0.8983050847457628
20,37,5,medium,low,243.0,0.9418604651162791
20,43,5,medium,low,234.0,0.9435483870967742
20,41,5,medium,low,263.0,0.7897897897897898
20,56,5,medium,low,231.0,0.9314516129032258
20,44,5,medium,low,235.0,0.9475806451612904
20,65,5,medium,low,215.0,0.8669354838709677
20,13,5,medium,low,483.0,0.875
20,74,5,medium,low,208.0,0.8387096774193549
20,60,5,medium,low,250.0,0.9765625
20,63,5,medium,low,274.0,0.9750889679715302
20,94,5,medium,low,221.0,0.8911290322580645
20,78,5,medium,low,244.0,0.9838709677419355
20,64,5,medium,low,355.0,0.962059620596206
20,79,5,medium,low,253.0,0.9583333333333334
20,114,5,medium,low,213.0,0.8588709677419355
20,77,5,medium,low,334.0,0.9488636363636364
20,99,5,medium,low,271.0,0.9155405405405406
20,104,5,medium,low,235.0,0.9475806451612904
20,124,5,medium,low,240.0,0.967741935483871
20,139,5,medium,low,209.0,0.842741935483871
20,140,5,medium,low,231.0,0.9314516129032258
20,132,5,medium,low,270.0,0.9121621621621622
20,126,5,medium,low,285.0,0.9563758389261745
20,164,5,medium,low,238.0,0.9596774193548387
20,128,5,medium,low,447.0,0.9066937119675457
20,180,5,medium,low,234.0,0.9435483870967742
20,170,5,medium,low,257.0,0.7956656346749226
20,200,5,medium,low,236.0,0.9516129032258065
24,10,5,medium,low,167.0,0.8652849740932642
20,182,5,medium,low,269.0,0.9607142857142857
20,176,5,medium,low,363.0,0.8897058823529411
24,27,5,medium,low,171.0,0.8860103626943006
20,101,5,medium,low,785.0,0.9043778801843319
20,179,5,medium,low,466.0,0.937625754527163
20,208,5,medium,low,250.0,0.9541984732824428
24,29,5,medium,low,178.0,0.9222797927461139
24,31,5,medium,low,240.0,0.9090909090909091
24,21,5,medium,low,333.0,0.940677966101695
24,43,5,medium,low,174.0,0.9015544041450777
24,34,5,medium,low,226.0,0.9338842975206612
24,37,5,medium,low,242.0,0.937984496124031
24,35,5,medium,low,249.0,0.939622641509434
24,56,5,medium,low,159.0,0.8238341968911918
24,13,5,medium,low,504.0,0.9130434782608695
24,44,5,medium,low,165.0,0.8549222797927462
24,41,5,medium,low,307.0,0.9219219219219219
24,65,5,medium,low,176.0,0.9119170984455959
24,74,5,medium,low,171.0,0.8860103626943006
24,60,5,medium,low,226.0,0.8828125
24,94,5,medium,low,186.0,0.9637305699481865
24,78,5,medium,low,194.0,0.8326180257510729
24,63,5,medium,low,245.0,0.8718861209964412
24,114,5,medium,low,170.0,0.8808290155440415
24,79,5,medium,low,226.0,0.8560606060606061
24,64,5,medium,low,333.0,0.9024390243902439
24,77,5,medium,low,322.0,0.9147727272727273
24,104,5,medium,low,221.0,0.9567099567099567
24,99,5,medium,low,278.0,0.9391891891891891
24,124,5,medium,low,195.0,0.8944954128440367
24,139,5,medium,low,178.0,0.9222797927461139
24,140,5,medium,low,156.0,0.8082901554404145
24,132,5,medium,low,281.0,0.9493243243243243
24,126,5,medium,low,286.0,0.959731543624161
24,164,5,medium,low,201.0,0.95260663507109
24,180,5,medium,low,163.0,0.844559585492228
24,128,5,medium,low,462.0,0.9371196754563894
24,170,5,medium,low,283.0,0.8761609907120743
24,200,5,medium,low,213.0,0.9260869565217391
24,176,5,medium,low,377.0,0.9240196078431373
24,182,5,medium,low,260.0,0.9285714285714286
24,179,5,medium,low,435.0,0.8752515090543259
25,10,5,medium,low,252.0,0.863013698630137
24,101,5,medium,low,823.0,0.9481566820276498
25,27,5,medium,low,279.0,0.9554794520547946
24,208,5,medium,low,232.0,0.8854961832061069
25,29,5,medium,low,278.0,0.952054794520548
25,34,5,medium,low,280.0,0.958904109589041
25,21,5,medium,low,302.0,0.8531073446327684
25,31,5,medium,low,265.0,0.9075342465753424
25,43,5,medium,low,278.0,0.952054794520548
25,35,5,medium,low,257.0,0.8801369863013698
25,37,5,medium,low,275.0,0.9417808219178082
25,41,5,medium,low,296.0,0.8888888888888888
25,44,5,medium,low,281.0,0.9623287671232876
25,56,5,medium,low,279.0,0.9554794520547946
25,65,5,medium,low,256.0,0.8767123287671232
25,13,5,medium,low,470.0,0.8514492753623188
25,74,5,medium,low,252.0,0.863013698630137
25,60,5,medium,low,281.0,0.9623287671232876
25,63,5,medium,low,287.0,0.9828767123287672
25,94,5,medium,low,256.0,0.8767123287671232
25,78,5,medium,low,283.0,0.9691780821917808
25,64,5,medium,low,360.0,0.975609756097561
25,114,5,medium,low,266.0,0.910958904109589
25,79,5,medium,low,283.0,0.9691780821917808
25,77,5,medium,low,336.0,0.9545454545454546
25,104,5,medium,low,267.0,0.9143835616438356
25,99,5,medium,low,284.0,0.9594594594594594
25,139,5,medium,low,249.0,0.8527397260273972
25,124,5,medium,low,282.0,0.9657534246575342
25,140,5,medium,low,282.0,0.9657534246575342
25,126,5,medium,low,294.0,0.9865771812080537
25,132,5,medium,low,286.0,0.9662162162162162
25,164,5,medium,low,285.0,0.976027397260274
25,180,5,medium,low,277.0,0.9486301369863014
25,170,5,medium,low,284.0,0.8792569659442725
25,128,5,medium,low,455.0,0.922920892494929
25,200,5,medium,low,278.0,0.952054794520548
25,176,5,medium,low,354.0,0.8676470588235294
25,182,5,medium,low,286.0,0.9794520547945206
32,10,5,medium,low,180.0,0.7894736842105263
32,27,5,medium,low,212.0,0.9298245614035088
25,101,5,medium,low,767.0,0.8836405529953917
25,179,5,medium,low,468.0,0.9416498993963782
25,208,5,medium,low,286.0,0.9794520547945206
32,29,5,medium,low,210.0,0.9210526315789473
32,31,5,medium,low,209.0,0.7916666666666666
32,21,5,medium,low,310.0,0.8757062146892656
32,34,5,medium,low,231.0,0.9545454545454546
32,43,5,medium,low,211.0,0.9254385964912281
32,37,5,medium,low,232.0,0.8992248062015504
32,35,5,medium,low,223.0,0.8415094339622642
32,13,5,medium,low,464.0,0.8405797101449275
32,44,5,medium,low,215.0,0.9429824561403509
32,56,5,medium,low,207.0,0.9078947368421053
32,41,5,medium,low,257.0,0.7717717717717718
32,65,5,medium,low,198.0,0.868421052631579
32,74,5,medium,low,177.0,0.7763157894736842
32,60,5,medium,low,247.0,0.96484375
32,94,5,medium,low,207.0,0.9078947368421053
32,63,5,medium,low,261.0,0.9288256227758007
32,78,5,medium,low,226.0,0.9699570815450643
32,114,5,medium,low,192.0,0.8421052631578947
32,64,5,medium,low,355.0,0.962059620596206
32,79,5,medium,low,252.0,0.9545454545454546
32,77,5,medium,low,325.0,0.9232954545454546
32,99,5,medium,low,255.0,0.8614864864864865
32,104,5,medium,low,221.0,0.9567099567099567
32,139,5,medium,low,178.0,0.7807017543859649
32,124,5,medium,low,219.0,0.9605263157894737
32,140,5,medium,low,205.0,0.8991228070175439
32,126,5,medium,low,290.0,0.9731543624161074
32,132,5,medium,low,264.0,0.8918918918918919
32,164,5,medium,low,217.0,0.9517543859649122
32,180,5,medium,low,210.0,0.9210526315789473
32,128,5,medium,low,427.0,0.8661257606490872
32,170,5,medium,low,265.0,0.8204334365325078
32,200,5,medium,low,224.0,0.9739130434782609
33,10,5,medium,low,143.0,0.9862068965517241
32,182,5,medium,low,264.0,0.9428571428571428
32,176,5,medium,low,342.0,0.8382352941176471
33,27,5,medium,low,138.0,0.9517241379310345
33,29,5,medium,low,158.0,0.9349112426035503
32,208,5,medium,low,242.0,0.9236641221374046
32,101,5,medium,low,747.0,0.8605990783410138
32,179,5,medium,low,471.0,0.9476861167002012
33,31,5,medium,low,254.0,0.9621212121212122
33,21,5,medium,low,338.0,0.9548022598870056
33,34,5,medium,low,225.0,0.9297520661157025
33,13,5,medium,low,532.0,0.9637681159420289
33,43,5,medium,low,149.0,0.9612903225806452
33,35,5,medium,low,258.0,0.9735849056603774
33,37,5,medium,low,246.0,0.9534883720930233
33,56,5,medium,low,141.0,0.9724137931034482
33,44,5,medium,low,153.0,0.9622641509433962
33,65,5,medium,low,141.0,0.9724137931034482
33,74,5,medium,low,140.0,0.9655172413793104
33,41,5,medium,low,319.0,0.9579579579579579
33,60,5,medium,low,229.0,0.89453125
33,63,5,medium,low,249.0,0.8861209964412812
33,94,5,medium,low,144.0,0.993103448275862
