exp_a,exp_b,trial_id,expertise_a,expertise_b,distance,score
21,24,5,low,medium,333.0,0.940677966101695
21,20,5,low,medium,318.0,0.8983050847457628
21,42,5,low,medium,348.0,0.9830508474576272
21,33,5,low,medium,338.0,0.9548022598870056
21,25,5,low,medium,302.0,0.8531073446327684
21,32,5,low,medium,310.0,0.8757062146892656
21,51,5,low,medium,334.0,0.943502824858757
21,40,5,low,medium,322.0,0.9096045197740112
21,53,5,low,medium,321.0,0.9067796610169492
21,62,5,low,medium,321.0,0.9067796610169492
13,214,5,low,medium,505.0,0.9148550724637681
21,66,5,low,medium,334.0,0.943502824858757
21,70,5,low,medium,321.0,0.9067796610169492
21,57,5,low,medium,323.0,0.9124293785310734
21,54,5,low,medium,342.0,0.9661016949152542
21,81,5,low,medium,335.0,0.9463276836158192
21,55,5,low,medium,327.0,0.8743315508021391
21,75,5,low,medium,332.0,0.9378531073446328
21,61,5,low,medium,348.0,0.9830508474576272
21,88,5,low,medium,319.0,0.9011299435028248
21,84,5,low,medium,334.0,0.943502824858757
21,73,5,low,medium,336.0,0.9491525423728814
21,91,5,low,medium,334.0,0.943502824858757
21,83,5,low,medium,339.0,0.9576271186440678
21,89,5,low,medium,336.0,0.9491525423728814
21,105,5,low,medium,317.0,0.8954802259887006
21,108,5,low,medium,339.0,0.9576271186440678
21,97,5,low,medium,327.0,0.923728813559322
21,143,5,low,medium,329.0,0.9293785310734464
21,121,5,low,medium,331.0,0.9350282485875706
21,115,5,low,medium,311.0,0.8785310734463276
21,117,5,low,medium,331.0,0.9350282485875706
21,133,5,low,medium,332.0,0.9378531073446328
21,145,5,low,medium,306.0,0.864406779661017
21,147,5,low,medium,302.0,0.8531073446327684
21,135,5,low,medium,289.0,0.8163841807909604
21,155,5,low,medium,336.0,0.9491525423728814
21,142,5,low,medium,341.0,0.963276836158192
21,171,5,low,medium,337.0,0.9519774011299436
21,158,5,low,medium,304.0,0.8587570621468926
21,192,5,low,medium,303.0,0.8559322033898306
21,203,5,low,medium,331.0,0.9350282485875706
21,202,5,low,medium,335.0,0.9463276836158192
21,168,5,low,medium,322.0,0.9096045197740112
21,166,5,low,medium,324.0,0.9152542372881356
21,169,5,low,medium,337.0,0.9519774011299436
21,210,5,low,medium,333.0,0.940677966101695
27,6,5,low,medium,192.0,0.927536231884058
27,4,5,low,medium,223.0,0.9291666666666667
27,19,5,low,medium,129.0,0.9416058394160584
27,17,5,low,medium,270.0,0.9407665505226481
21,215,5,low,medium,329.0,0.9293785310734464
27,16,5,low,medium,364.0,0.9528795811518325
21,207,5,low,medium,329.0,0.9293785310734464
21,151,5,low,medium,549.0,0.8659305993690851
27,24,5,low,medium,171.0,0.8860103626943006
27,20,5,low,medium,234.0,0.9435483870967742
27,42,5,low,medium,98.0,0.8990825688073395
21,206,5,low,medium,364.0,0.9706666666666667
27,32,5,low,medium,212.0,0.9298245614035088
27,33,5,low,medium,138.0,0.9517241379310345
27,40,5,low,medium,165.0,0.9428571428571428
27,25,5,low,medium,279.0,0.9554794520547946
27,51,5,low,medium,133.0,0.9172413793103448
27,53,5,low,medium,125.0,0.9398496240601504
27,66,5,low,medium,111.0,0.9652173913043478
27,62,5,low,medium,104.0,0.9541284403669725
27,57,5,low,medium,180.0,0.9523809523809523
27,70,5,low,medium,124.0,0.9612403100775194
27,81,5,low,medium,116.0,0.9206349206349206
27,54,5,low,medium,280.0,0.8945686900958466
