exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld
51,87,5,medium,high,238.0,0.9444444444444444
51,86,5,medium,high,271.0,0.9344827586206896
51,69,5,medium,high,298.0,0.9430379746835443
53,68,5,medium,high,146.0,0.9240506329113924
53,118,5,medium,high,115.0,0.8646616541353384
53,82,5,medium,high,182.0,0.9732620320855615
53,69,5,medium,high,275.0,0.870253164556962
53,178,5,medium,high,135.0,0.84375
53,87,5,medium,high,208.0,0.8253968253968254
53,86,5,medium,high,256.0,0.8827586206896552
54,80,5,medium,high,285.0,0.9105431309904153
54,48,5,medium,high,304.0,0.9712460063897763
54,68,5,medium,high,305.0,0.9744408945686901
54,118,5,medium,high,298.0,0.952076677316294
54,82,5,medium,high,282.0,0.9009584664536742
55,48,5,medium,high,356.0,0.9518716577540107
54,178,5,medium,high,303.0,0.9680511182108626
54,87,5,medium,high,300.0,0.9584664536741214
54,69,5,medium,high,312.0,0.9873417721518988
55,80,5,medium,high,357.0,0.9545454545454546
55,68,5,medium,high,321.0,0.8582887700534759
54,86,5,medium,high,302.0,0.9648562300319489
57,48,5,medium,high,174.0,0.9206349206349206
57,68,5,medium,high,172.0,0.91005291005291
55,118,5,medium,high,319.0,0.8529411764705882
57,80,5,medium,high,175.0,0.9259259259259259
55,82,5,medium,high,349.0,0.9331550802139037
55,178,5,medium,high,325.0,0.8689839572192514
55,69,5,medium,high,305.0,0.8155080213903744
57,82,5,medium,high,179.0,0.9470899470899471
57,118,5,medium,high,164.0,0.8677248677248677
57,69,5,medium,high,269.0,0.8512658227848101
55,87,5,medium,high,321.0,0.8582887700534759
57,178,5,medium,high,174.0,0.9206349206349206
55,86,5,medium,high,307.0,0.820855614973262
57,87,5,medium,high,220.0,0.873015873015873
57,86,5,medium,high,238.0,0.8206896551724138
61,80,5,medium,high,310.0,0.9090909090909091
61,48,5,medium,high,319.0,0.9354838709677419
61,68,5,medium,high,329.0,0.9648093841642229
62,48,5,medium,high,123.0,0.9534883720930233
61,118,5,medium,high,323.0,0.9472140762463344
62,68,5,medium,high,133.0,0.8417721518987342
61,82,5,medium,high,288.0,0.844574780058651
62,80,5,medium,high,95.0,0.95
62,82,5,medium,high,177.0,0.946524064171123
62,86,5,medium,high,261.0,0.9
62,69,5,medium,high,286.0,0.9050632911392406
62,118,5,medium,high,99.0,0.868421052631579
61,178,5,medium,high,332.0,0.9736070381231672
61,86,5,medium,high,323.0,0.9472140762463344
62,87,5,medium,high,213.0,0.8452380952380952
61,69,5,medium,high,324.0,0.9501466275659824
61,87,5,medium,high,332.0,0.9736070381231672
62,178,5,medium,high,136.0,0.85
66,48,5,medium,high,127.0,0.9844961240310077
66,80,5,medium,high,105.0,0.9130434782608695
66,68,5,medium,high,150.0,0.9493670886075949
66,118,5,medium,high,114.0,0.991304347826087
