exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
87,28,rectangle,high,none,261.0,0.9354838709677419
87,96,rectangle,high,none,219.0,0.9240506329113924
86,110,rectangle,high,none,512.0,0.9225225225225225
87,204,rectangle,high,none,216.0,0.9113924050632911
87,110,rectangle,high,none,204.0,0.8607594936708861
87,163,rectangle,high,none,201.0,0.8481012658227848
123,3,rectangle,high,none,149.0,0.8142076502732241
87,189,rectangle,high,none,212.0,0.8945147679324894
123,30,rectangle,high,none,169.0,0.9234972677595629
86,96,rectangle,high,none,507.0,0.9135135135135135
123,5,rectangle,high,none,182.0,0.9732620320855615
87,154,rectangle,high,none,311.0,0.8835227272727273
123,12,rectangle,high,none,157.0,0.8579234972677595
123,36,rectangle,high,none,152.0,0.8306010928961749
87,201,rectangle,high,none,207.0,0.8734177215189873
87,38,rectangle,high,none,224.0,0.9451476793248945
123,28,rectangle,high,none,253.0,0.9068100358422939
123,93,rectangle,high,none,160.0,0.8743169398907104
86,201,rectangle,high,none,521.0,0.9387387387387387
86,189,rectangle,high,none,504.0,0.9081081081081082
87,211,rectangle,high,none,267.0,0.902027027027027
123,204,rectangle,high,none,159.0,0.8688524590163934
123,181,rectangle,high,none,163.0,0.8907103825136612
123,110,rectangle,high,none,173.0,0.9453551912568307
123,201,rectangle,high,none,165.0,0.9016393442622951
123,163,rectangle,high,none,168.0,0.9180327868852459
86,211,rectangle,high,none,498.0,0.8972972972972973
123,96,rectangle,high,none,205.0,0.9192825112107623
123,38,rectangle,high,none,188.0,0.8663594470046083
178,36,rectangle,high,none,201.0,0.8663793103448276
178,12,rectangle,high,none,199.0,0.8577586206896551
86,163,rectangle,high,none,523.0,0.9423423423423424
178,30,rectangle,high,none,210.0,0.9051724137931034
178,93,rectangle,high,none,215.0,0.9267241379310345
87,196,rectangle,high,none,552.0,0.9108910891089109
178,3,rectangle,high,none,188.0,0.8103448275862069
178,5,rectangle,high,none,204.0,0.8793103448275862
123,189,rectangle,high,none,178.0,0.9726775956284153
178,204,rectangle,high,none,208.0,0.896551724137931
178,28,rectangle,high,none,255.0,0.9139784946236559
178,96,rectangle,high,none,209.0,0.9008620689655172
178,38,rectangle,high,none,220.0,0.9482758620689655
178,201,rectangle,high,none,207.0,0.8922413793103449
178,163,rectangle,high,none,206.0,0.8879310344827587
178,181,rectangle,high,none,197.0,0.8491379310344828
178,110,rectangle,high,none,198.0,0.853448275862069
178,189,rectangle,high,none,204.0,0.8793103448275862
123,154,rectangle,high,none,308.0,0.875
123,211,rectangle,high,none,256.0,0.8648648648648649
178,211,rectangle,high,none,235.0,0.793918918918919
178,154,rectangle,high,none,288.0,0.8181818181818182
123,196,rectangle,high,none,562.0,0.9273927392739274
86,154,rectangle,high,none,515.0,0.9279279279279279
178,196,rectangle,high,none,547.0,0.9026402640264026
86,196,rectangle,high,none,568.0,0.9372937293729373
