exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
68,138,rectangle,high,low,182.0,0.8465116279069768,Java_high_Java_low_results.csv
68,180,rectangle,high,low,180.0,0.8372093023255814,Java_high_Java_low_results.csv
68,107,rectangle,high,low,198.0,0.9209302325581395,Java_high_Java_low_results.csv
69,27,rectangle,high,low,258.0,0.908450704225352,Java_high_Java_low_results.csv
69,29,rectangle,high,low,247.0,0.8697183098591549,Java_high_Java_low_results.csv
68,176,rectangle,high,low,466.0,0.9246031746031746,Java_high_Java_low_results.csv
69,35,rectangle,high,low,231.0,0.8133802816901409,Java_high_Java_low_results.csv
68,128,rectangle,high,low,222.0,0.9135802469135802,Java_high_Java_low_results.csv
68,126,rectangle,high,low,284.0,0.953020134228188,Java_high_Java_low_results.csv
69,65,rectangle,high,low,271.0,0.954225352112676,Java_high_Java_low_results.csv
69,37,rectangle,high,low,262.0,0.9225352112676056,Java_high_Java_low_results.csv
69,34,rectangle,high,low,241.0,0.8485915492957746,Java_high_Java_low_results.csv
69,44,rectangle,high,low,234.0,0.823943661971831,Java_high_Java_low_results.csv
69,31,rectangle,high,low,254.0,0.8943661971830986,Java_high_Java_low_results.csv
69,71,rectangle,high,low,263.0,0.926056338028169,Java_high_Java_low_results.csv
69,21,rectangle,high,low,294.0,0.9274447949526814,Java_high_Java_low_results.csv
69,41,rectangle,high,low,277.0,0.8710691823899371,Java_high_Java_low_results.csv
69,67,rectangle,high,low,255.0,0.897887323943662,Java_high_Java_low_results.csv
69,56,rectangle,high,low,238.0,0.8380281690140845,Java_high_Java_low_results.csv
68,132,rectangle,high,low,376.0,0.9193154034229828,Java_high_Java_low_results.csv
69,43,rectangle,high,low,254.0,0.8943661971830986,Java_high_Java_low_results.csv
69,94,rectangle,high,low,267.0,0.9401408450704224,Java_high_Java_low_results.csv
69,74,rectangle,high,low,253.0,0.8908450704225352,Java_high_Java_low_results.csv
69,99,rectangle,high,low,244.0,0.8591549295774648,Java_high_Java_low_results.csv
69,101,rectangle,high,low,255.0,0.897887323943662,Java_high_Java_low_results.csv
69,78,rectangle,high,low,262.0,0.9225352112676056,Java_high_Java_low_results.csv
69,64,rectangle,high,low,353.0,0.956639566395664,Java_high_Java_low_results.csv
69,79,rectangle,high,low,263.0,0.926056338028169,Java_high_Java_low_results.csv
69,140,rectangle,high,low,249.0,0.8767605633802817,Java_high_Java_low_results.csv
69,107,rectangle,high,low,251.0,0.8838028169014085,Java_high_Java_low_results.csv
69,124,rectangle,high,low,265.0,0.9330985915492958,Java_high_Java_low_results.csv
69,104,rectangle,high,low,271.0,0.954225352112676,Java_high_Java_low_results.csv
69,63,rectangle,high,low,277.0,0.9753521126760564,Java_high_Java_low_results.csv
