"random_effect","experiment","dimension","AIC","BIC"
"both","between_group_mean_diff","Length",27306.9281099327,27363.3431679584
"both","between_group_mean_diff","Direction",21339.8723569663,21396.287414992
"both","between_group_mean_diff","Position",21331.654850527,21388.0699085527
"both","between_group_mean_diff","Duration",25907.6105807131,25964.0256387388
"both","between_group_pairtype","Shape",27748.8324729704,27821.3661190035
"both","between_group_pairtype","Length",27323.5709156256,27396.1045616587
"both","between_group_pairtype","Direction",21356.1006317098,21428.6342777429
"both","between_group_pairtype","Position",21348.7839761128,21421.3176221459
"both","between_group_pairtype","Duration",25924.0433174271,25996.5769634602
"none","within_trial_within_2","Shape",7965.78186114048,7999.84012238121
"none","within_trial_within_2","Length",7851.38984479646,7885.4481060372
"none","within_trial_within_2","Direction",6165.20455149006,6199.26281273079
"none","within_trial_within_2","Position",6122.38847300823,6156.44673424897
"none","within_trial_within_2","Duration",7442.06107449097,7476.11933573171
"none","within_trial_within_5","Shape",5918.74647296724,5951.31641326958
"none","within_trial_within_5","Length",5833.94280648767,5866.51274679001
"none","within_trial_within_5","Direction",4592.6955206785,4625.26546098083
"none","within_trial_within_5","Position",4559.98860607434,4592.55854637667
"none","within_trial_within_5","Duration",5552.92817215505,5585.49811245738
"none","within_trial_between_2","Shape",16111.2175550648,16141.2870902564
"none","within_trial_between_2","Length",15864.3681023582,15894.4376375498
"none","within_trial_between_2","Direction",12413.697880635,12443.7674158266
"none","within_trial_between_2","Position",12396.1691146864,12426.238649878
"none","within_trial_between_2","Duration",15044.1856414148,15074.2551766065
"none","within_trial_between_5","Shape",11588.9647539687,11617.7163149412
"none","within_trial_between_5","Length",11410.496030689,11439.2475916616
"none","within_trial_between_5","Direction",8893.73520793304,8922.4867689056
"none","within_trial_between_5","Position",8901.35797423362,8930.10953520617
"none","within_trial_between_5","Duration",10832.7169180261,10861.4684789987
"none","within_group","Shape",13882.5284136522,13948.8314332901
"none","within_group","Length",13683.332750633,13749.6357702709
"none","within_group","Direction",10755.9085641069,10822.2115837448
"none","within_group","Position",10680.3843410756,10746.6873607135
"none","within_group","Duration",12993.023100094,13059.3261197319
"none","between_group_mean_diff","Shape",27694.1707142163,27734.4671842346
"none","between_group_mean_diff","Length",27268.8035480453,27309.1000180637
"none","between_group_mean_diff","Direction",21300.7263887534,21341.0228587717
"none","between_group_mean_diff","Position",21292.5074756887,21332.8039457071
"none","between_group_mean_diff","Duration",25871.6455756227,25911.9420456411
"none","between_group_pairtype","Shape",27698.1705871321,27754.5856451579
"none","between_group_pairtype","Length",27272.7998296957,27329.2148877214
"none","between_group_pairtype","Direction",21303.797198707,21360.2122567327
"none","between_group_pairtype","Position",21296.4786643147,21352.8937223404
"none","between_group_pairtype","Duration",25875.3954226457,25931.8104806715
