exp_a,exp_b,trial_id,expertise_a,expertise_b,distance,score
26,185,2,high,medium,172.0,0.9502762430939227
26,171,2,high,medium,242.0,0.8581560283687943
26,191,2,high,medium,217.0,0.8785425101214575
26,203,2,high,medium,167.0,0.9226519337016574
26,151,2,high,medium,482.0,0.9488188976377953
26,168,2,high,medium,477.0,0.9616935483870968
26,192,2,high,medium,293.0,0.9512987012987013
26,197,2,high,medium,219.0,0.8656126482213439
26,210,2,high,medium,153.0,0.8453038674033149
26,212,2,high,medium,172.0,0.9502762430939227
26,206,2,high,medium,239.0,0.8951310861423221
26,194,2,high,medium,475.0,0.9332023575638507
26,214,2,high,medium,270.0,0.9473684210526315
26,207,2,high,medium,275.0,0.8358662613981763
48,6,2,high,medium,189.0,0.945
26,215,2,high,medium,239.0,0.9263565891472868
48,4,2,high,medium,198.0,0.9705882352941176
48,14,2,high,medium,192.0,0.96
26,202,2,high,medium,531.0,0.9123711340206185
48,15,2,high,medium,188.0,0.94
48,20,2,high,medium,198.0,0.9850746268656716
48,16,2,high,medium,211.0,0.9813953488372092
48,32,2,high,medium,183.0,0.915
48,17,2,high,medium,204.0,0.9315068493150684
48,24,2,high,medium,191.0,0.9182692307692307
48,51,2,high,medium,160.0,0.8
48,42,2,high,medium,175.0,0.875
48,18,2,high,medium,256.0,0.847682119205298
48,40,2,high,medium,187.0,0.935
48,33,2,high,medium,227.0,0.88671875
48,25,2,high,medium,354.0,0.9779005524861878
48,53,2,high,medium,192.0,0.96
48,57,2,high,medium,180.0,0.9
48,54,2,high,medium,171.0,0.855
48,66,2,high,medium,179.0,0.895
48,50,2,high,medium,296.0,0.9107692307692308
48,58,2,high,medium,168.0,0.84
48,62,2,high,medium,187.0,0.935
48,61,2,high,medium,182.0,0.8708133971291866
48,88,2,high,medium,194.0,0.97
48,55,2,high,medium,357.0,0.9177377892030848
48,72,2,high,medium,283.0,0.8654434250764526
48,75,2,high,medium,258.0,0.9214285714285714
48,84,2,high,medium,214.0,0.852589641434263
48,73,2,high,medium,305.0,0.9050445103857567
48,81,2,high,medium,243.0,0.7864077669902912
48,83,2,high,medium,282.0,0.9009584664536742
48,108,2,high,medium,176.0,0.88
48,105,2,high,medium,191.0,0.955
48,91,2,high,medium,182.0,0.8125
48,115,2,high,medium,187.0,0.935
48,97,2,high,medium,255.0,0.9107142857142857
48,112,2,high,medium,213.0,0.9594594594594594
48,125,2,high,medium,184.0,0.92
48,117,2,high,medium,191.0,0.7860082304526749
48,89,2,high,medium,368.0,0.8803827751196173
48,120,2,high,medium,218.0,0.9519650655021834
48,143,2,high,medium,160.0,0.8
48,145,2,high,medium,190.0,0.95
48,142,2,high,medium,204.0,0.9147982062780269
48,147,2,high,medium,263.0,0.942652329749104
48,135,2,high,medium,368.0,0.9484536082474226
48,158,2,high,medium,190.0,0.9359605911330049
48,155,2,high,medium,193.0,0.9554455445544554
48,169,2,high,medium,180.0,0.9
48,185,2,high,medium,186.0,0.93
48,190,2,high,medium,155.0,0.775
48,171,2,high,medium,252.0,0.8936170212765957
48,191,2,high,medium,209.0,0.8461538461538461
48,151,2,high,medium,482.0,0.9488188976377953
48,192,2,high,medium,289.0,0.9383116883116883
48,203,2,high,medium,181.0,0.905
48,168,2,high,medium,466.0,0.9395161290322581
48,197,2,high,medium,228.0,0.9011857707509882
48,210,2,high,medium,156.0,0.78
48,212,2,high,medium,192.0,0.96
48,206,2,high,medium,241.0,0.9026217228464419
48,194,2,high,medium,482.0,0.9469548133595285
48,214,2,high,medium,276.0,0.968421052631579
48,207,2,high,medium,284.0,0.8632218844984803
48,202,2,high,medium,530.0,0.9106529209621993
68,6,2,high,medium,175.0,0.813953488372093
48,215,2,high,medium,224.0,0.8682170542635659
68,14,2,high,medium,185.0,0.8604651162790697
68,4,2,high,medium,206.0,0.958139534883721
68,15,2,high,medium,200.0,0.9302325581395349
68,17,2,high,medium,203.0,0.9269406392694064
68,32,2,high,medium,190.0,0.8837209302325582
68,16,2,high,medium,206.0,0.958139534883721
68,24,2,high,medium,212.0,0.986046511627907
68,20,2,high,medium,202.0,0.9395348837209302
68,18,2,high,medium,284.0,0.9403973509933775
68,42,2,high,medium,195.0,0.9069767441860465
68,51,2,high,medium,202.0,0.9395348837209302
68,33,2,high,medium,242.0,0.9453125
68,40,2,high,medium,198.0,0.9209302325581395
68,25,2,high,medium,314.0,0.8674033149171271
68,53,2,high,medium,194.0,0.9023255813953488
68,57,2,high,medium,201.0,0.9348837209302325
68,54,2,high,medium,199.0,0.9255813953488372
68,58,2,high,medium,199.0,0.9255813953488372
68,66,2,high,medium,208.0,0.9674418604651163
68,50,2,high,medium,316.0,0.9723076923076923
68,62,2,high,medium,177.0,0.8232558139534883
68,61,2,high,medium,205.0,0.9534883720930233
68,88,2,high,medium,198.0,0.9209302325581395
68,55,2,high,medium,342.0,0.8791773778920309
68,72,2,high,medium,305.0,0.9327217125382263
68,73,2,high,medium,311.0,0.9228486646884273
68,75,2,high,medium,267.0,0.9535714285714286
68,84,2,high,medium,238.0,0.9482071713147411
68,81,2,high,medium,285.0,0.9223300970873787
68,83,2,high,medium,293.0,0.9361022364217252
68,108,2,high,medium,201.0,0.9348837209302325
68,105,2,high,medium,193.0,0.8976744186046511
68,115,2,high,medium,187.0,0.8697674418604651
68,91,2,high,medium,214.0,0.9553571428571429
68,125,2,high,medium,194.0,0.9023255813953488
68,112,2,high,medium,214.0,0.963963963963964
68,97,2,high,medium,256.0,0.9142857142857143
68,89,2,high,medium,394.0,0.9425837320574163
68,120,2,high,medium,209.0,0.9126637554585153
68,117,2,high,medium,230.0,0.9465020576131687
68,143,2,high,medium,202.0,0.9395348837209302
