exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld
110,68,2,none,high,186.0,0.8651162790697674
110,82,2,none,high,231.0,0.924
110,69,2,none,high,249.0,0.8767605633802817
110,87,2,none,high,204.0,0.8607594936708861
110,123,2,none,high,173.0,0.9453551912568307
116,1,2,none,high,174.0,0.8055555555555556
110,178,2,none,high,198.0,0.853448275862069
106,86,2,none,high,537.0,0.9675675675675676
116,80,2,none,high,194.0,0.8981481481481481
116,26,2,none,high,196.0,0.9074074074074074
116,48,2,none,high,191.0,0.8842592592592593
110,86,2,none,high,512.0,0.9225225225225225
116,68,2,none,high,212.0,0.9814814814814815
116,69,2,none,high,271.0,0.954225352112676
116,82,2,none,high,204.0,0.816
141,1,2,none,high,192.0,0.8495575221238938
116,123,2,none,high,197.0,0.9120370370370371
116,87,2,none,high,211.0,0.890295358649789
141,26,2,none,high,200.0,0.8849557522123894
116,178,2,none,high,214.0,0.9224137931034483
141,80,2,none,high,193.0,0.8539823008849557
141,48,2,none,high,209.0,0.9247787610619469
141,68,2,none,high,213.0,0.9424778761061947
116,86,2,none,high,527.0,0.9495495495495495
141,82,2,none,high,216.0,0.864
141,123,2,none,high,203.0,0.8982300884955752
141,87,2,none,high,221.0,0.9324894514767933
141,69,2,none,high,276.0,0.971830985915493
141,178,2,none,high,222.0,0.9568965517241379
154,1,2,none,high,376.0,0.8744186046511628
154,80,2,none,high,386.0,0.8976744186046511
141,86,2,none,high,526.0,0.9477477477477477
154,26,2,none,high,380.0,0.8837209302325582
154,48,2,none,high,382.0,0.8883720930232558
154,68,2,none,high,403.0,0.9372093023255814
163,1,2,none,high,157.0,0.8674033149171271
154,69,2,none,high,409.0,0.9511627906976744
163,26,2,none,high,174.0,0.9613259668508287
154,87,2,none,high,404.0,0.9395348837209302
154,82,2,none,high,383.0,0.8906976744186047
163,48,2,none,high,172.0,0.86
154,123,2,none,high,399.0,0.9279069767441861
163,80,2,none,high,163.0,0.9005524861878453
163,68,2,none,high,204.0,0.9488372093023256
154,178,2,none,high,400.0,0.9302325581395349
163,82,2,none,high,210.0,0.84
181,1,2,none,high,118.0,0.8872180451127819
163,69,2,none,high,265.0,0.9330985915492958
163,123,2,none,high,166.0,0.907103825136612
163,87,2,none,high,211.0,0.890295358649789
181,80,2,none,high,90.0,0.9574468085106383
163,178,2,none,high,209.0,0.9008620689655172
181,68,2,none,high,183.0,0.8511627906976744
181,26,2,none,high,167.0,0.9226519337016574
181,48,2,none,high,179.0,0.895
181,69,2,none,high,245.0,0.8626760563380281
181,123,2,none,high,163.0,0.8907103825136612
181,82,2,none,high,226.0,0.904
181,87,2,none,high,198.0,0.8354430379746836
181,178,2,none,high,197.0,0.8491379310344828
189,1,2,none,high,115.0,0.8646616541353384
163,86,2,none,high,528.0,0.9513513513513514
189,26,2,none,high,174.0,0.9613259668508287
189,48,2,none,high,160.0,0.8
189,80,2,none,high,100.0,0.9090909090909091
189,68,2,none,high,194.0,0.9023255813953488
181,86,2,none,high,513.0,0.9243243243243243
189,69,2,none,high,266.0,0.9366197183098591
154,86,2,none,high,533.0,0.9603603603603603
189,123,2,none,high,163.0,0.8907103825136612
189,82,2,none,high,201.0,0.804
189,87,2,none,high,210.0,0.8860759493670886
189,178,2,none,high,208.0,0.896551724137931
196,1,2,none,high,339.0,0.853904282115869
189,86,2,none,high,527.0,0.9495495495495495
196,80,2,none,high,357.0,0.8992443324937027
196,26,2,none,high,345.0,0.8690176322418136
196,48,2,none,high,356.0,0.8967254408060453
196,68,2,none,high,381.0,0.9596977329974811
201,1,2,none,high,129.0,0.9699248120300752
201,26,2,none,high,175.0,0.9668508287292817
196,69,2,none,high,387.0,0.9748110831234257
196,82,2,none,high,358.0,0.9017632241813602
201,48,2,none,high,185.0,0.925
196,123,2,none,high,374.0,0.9420654911838791
201,80,2,none,high,114.0,0.95
201,68,2,none,high,189.0,0.8790697674418605
196,87,2,none,high,379.0,0.9546599496221663
201,69,2,none,high,256.0,0.9014084507042254
204,1,2,none,high,126.0,0.9473684210526315
201,82,2,none,high,232.0,0.928
196,178,2,none,high,375.0,0.9445843828715366
201,123,2,none,high,165.0,0.9016393442622951
204,26,2,none,high,168.0,0.9281767955801105
204,48,2,none,high,191.0,0.955
201,87,2,none,high,207.0,0.8734177215189873
204,80,2,none,high,78.0,0.9397590361445783
204,68,2,none,high,211.0,0.9813953488372092
201,178,2,none,high,207.0,0.8922413793103449
204,69,2,none,high,276.0,0.971830985915493
204,82,2,none,high,236.0,0.944
204,87,2,none,high,229.0,0.9662447257383966
204,178,2,none,high,223.0,0.9612068965517241
204,123,2,none,high,178.0,0.9726775956284153
204,86,2,none,high,544.0,0.9801801801801802
201,86,2,none,high,521.0,0.9387387387387387
211,80,2,none,high,285.0,0.9628378378378378
211,1,2,none,high,271.0,0.9155405405405406
211,26,2,none,high,275.0,0.9290540540540541
211,48,2,none,high,274.0,0.9256756756756757
211,68,2,none,high,254.0,0.8581081081081081
216,1,2,none,high,111.0,0.8345864661654135
196,86,2,none,high,527.0,0.9495495495495495
211,69,2,none,high,265.0,0.8952702702702703
216,26,2,none,high,160.0,0.8839779005524862
211,82,2,none,high,275.0,0.9290540540540541
211,87,2,none,high,267.0,0.902027027027027
216,48,2,none,high,176.0,0.88
216,68,2,none,high,204.0,0.9488372093023256
211,123,2,none,high,256.0,0.8648648648648649
216,80,2,none,high,95.0,0.95
216,69,2,none,high,271.0,0.954225352112676
216,87,2,none,high,222.0,0.9367088607594937
216,123,2,none,high,171.0,0.9344262295081968
211,178,2,none,high,235.0,0.793918918918919
216,82,2,none,high,219.0,0.876
216,178,2,none,high,218.0,0.9396551724137931
216,86,2,none,high,540.0,0.972972972972973
211,86,2,none,high,498.0,0.8972972972972973
