exp_a,exp_b,trial_id,expertise_a,expertise_b,distance,score
34,38,2,low,none,211.0,0.9723502304147466
34,12,2,low,none,320.0,0.8421052631578947
34,110,2,low,none,195.0,0.9558823529411765
34,59,2,low,none,241.0,0.8546099290780141
34,106,2,low,none,197.0,0.9656862745098039
34,116,2,low,none,208.0,0.9629629629629629
34,141,2,low,none,199.0,0.8805309734513275
34,181,2,low,none,184.0,0.9019607843137255
34,163,2,low,none,169.0,0.8284313725490197
34,204,2,low,none,195.0,0.9558823529411765
34,96,2,low,none,226.0,0.9186991869918699
34,189,2,low,none,172.0,0.8431372549019608
34,201,2,low,none,187.0,0.9166666666666666
34,216,2,low,none,178.0,0.8725490196078431
35,5,2,low,none,167.0,0.893048128342246
35,3,2,low,none,176.0,0.967032967032967
35,30,2,low,none,160.0,0.935672514619883
34,154,2,low,none,377.0,0.8767441860465116
35,36,2,low,none,150.0,0.8771929824561403
34,211,2,low,none,276.0,0.9324324324324325
35,93,2,low,none,163.0,0.9532163742690059
34,196,2,low,none,350.0,0.8816120906801007
35,28,2,low,none,255.0,0.9139784946236559
35,12,2,low,none,346.0,0.9105263157894737
35,38,2,low,none,205.0,0.9447004608294931
35,110,2,low,none,154.0,0.9005847953216374
35,96,2,low,none,219.0,0.8902439024390244
35,106,2,low,none,181.0,0.9282051282051282
35,59,2,low,none,259.0,0.9184397163120568
35,181,2,low,none,135.0,0.7894736842105263
35,116,2,low,none,193.0,0.8935185185185185
35,163,2,low,none,170.0,0.9392265193370166
35,204,2,low,none,165.0,0.9649122807017544
35,189,2,low,none,153.0,0.8947368421052632
35,141,2,low,none,209.0,0.9247787610619469
35,201,2,low,none,156.0,0.9122807017543859
35,216,2,low,none,161.0,0.9415204678362573
37,3,2,low,none,202.0,0.926605504587156
35,154,2,low,none,401.0,0.9325581395348838
37,30,2,low,none,200.0,0.9174311926605505
37,5,2,low,none,200.0,0.9174311926605505
35,211,2,low,none,243.0,0.8209459459459459
35,196,2,low,none,376.0,0.947103274559194
37,93,2,low,none,206.0,0.944954128440367
37,36,2,low,none,186.0,0.8532110091743119
37,28,2,low,none,254.0,0.910394265232975
37,106,2,low,none,196.0,0.8990825688073395
37,12,2,low,none,341.0,0.8973684210526316
37,38,2,low,none,204.0,0.9357798165137615
37,110,2,low,none,190.0,0.8715596330275229
37,96,2,low,none,221.0,0.8983739837398373
37,59,2,low,none,255.0,0.9042553191489362
37,116,2,low,none,207.0,0.9495412844036697
37,181,2,low,none,184.0,0.8440366972477065
37,204,2,low,none,211.0,0.9678899082568807
37,141,2,low,none,210.0,0.9292035398230089
37,189,2,low,none,190.0,0.8715596330275229
37,163,2,low,none,190.0,0.8715596330275229
37,201,2,low,none,192.0,0.8807339449541285
37,216,2,low,none,196.0,0.8990825688073395
37,211,2,low,none,249.0,0.8412162162162162
41,3,2,low,none,307.0,0.9654088050314465
41,30,2,low,none,299.0,0.940251572327044
41,5,2,low,none,268.0,0.8427672955974843
37,154,2,low,none,387.0,0.9
37,196,2,low,none,372.0,0.9370277078085643
41,93,2,low,none,308.0,0.9685534591194969
41,36,2,low,none,276.0,0.8679245283018868
41,28,2,low,none,288.0,0.9056603773584906
41,38,2,low,none,308.0,0.9685534591194969
41,12,2,low,none,367.0,0.9657894736842105
41,110,2,low,none,281.0,0.8836477987421384
41,106,2,low,none,305.0,0.9591194968553459
41,96,2,low,none,300.0,0.9433962264150944
41,59,2,low,none,296.0,0.9308176100628931
41,116,2,low,none,283.0,0.889937106918239
41,181,2,low,none,276.0,0.8679245283018868
41,204,2,low,none,311.0,0.9779874213836478
41,189,2,low,none,293.0,0.9213836477987422
41,141,2,low,none,308.0,0.9685534591194969
41,163,2,low,none,286.0,0.89937106918239
41,201,2,low,none,275.0,0.8647798742138365
41,216,2,low,none,306.0,0.9622641509433962
43,3,2,low,none,242.0,0.8344827586206897
43,5,2,low,none,273.0,0.9413793103448276
43,30,2,low,none,242.0,0.8344827586206897
43,36,2,low,none,270.0,0.9310344827586207
41,211,2,low,none,288.0,0.9056603773584906
41,154,2,low,none,413.0,0.9604651162790697
41,196,2,low,none,387.0,0.9748110831234257
43,28,2,low,none,281.0,0.9689655172413794
43,93,2,low,none,268.0,0.9241379310344827
43,12,2,low,none,312.0,0.8210526315789474
43,38,2,low,none,276.0,0.9517241379310345
43,110,2,low,none,274.0,0.9448275862068966
43,106,2,low,none,256.0,0.8827586206896552
43,59,2,low,none,261.0,0.9
43,96,2,low,none,255.0,0.8793103448275862
43,116,2,low,none,256.0,0.8827586206896552
43,181,2,low,none,270.0,0.9310344827586207
43,204,2,low,none,278.0,0.9586206896551724
43,141,2,low,none,259.0,0.8931034482758621
43,189,2,low,none,257.0,0.8862068965517241
43,163,2,low,none,262.0,0.903448275862069
