exp_a,exp_b,trial_id,expertise_a,expertise_b,distance,score
68,71,2,high,low,198.0,0.9209302325581395
68,60,2,high,low,280.0,0.9150326797385621
68,74,2,high,low,191.0,0.8883720930232558
68,63,2,high,low,244.0,0.9384615384615385
68,67,2,high,low,189.0,0.8790697674418605
68,78,2,high,low,194.0,0.9023255813953488
68,94,2,high,low,202.0,0.9395348837209302
68,99,2,high,low,182.0,0.8465116279069768
68,101,2,high,low,184.0,0.8558139534883721
68,104,2,high,low,254.0,0.8943661971830986
68,107,2,high,low,198.0,0.9209302325581395
68,79,2,high,low,287.0,0.9258064516129032
68,77,2,high,low,363.0,0.9331619537275064
68,64,2,high,low,563.0,0.9510135135135135
68,124,2,high,low,263.0,0.9228070175438596
68,128,2,high,low,222.0,0.9135802469135802
68,138,2,high,low,182.0,0.8465116279069768
68,126,2,high,low,310.0,0.9717868338557993
68,140,2,high,low,211.0,0.9504504504504504
68,172,2,high,low,204.0,0.9488372093023256
68,164,2,high,low,220.0,0.9361702127659575
68,162,2,high,low,237.0,0.8977272727272727
68,180,2,high,low,202.0,0.9395348837209302
68,132,2,high,low,376.0,0.9193154034229829
68,200,2,high,low,208.0,0.9674418604651163
68,186,2,high,low,203.0,0.8864628820960698
68,179,2,high,low,360.0,0.9399477806788512
68,183,2,high,low,255.0,0.9107142857142857
69,27,2,high,low,264.0,0.9295774647887324
68,176,2,high,low,466.0,0.9246031746031746
68,182,2,high,low,376.0,0.94
69,13,2,high,low,251.0,0.8838028169014085
69,29,2,high,low,272.0,0.9577464788732394
69,35,2,high,low,231.0,0.8133802816901409
69,21,2,high,low,294.0,0.9274447949526814
69,34,2,high,low,275.0,0.9683098591549296
69,37,2,high,low,262.0,0.9225352112676056
69,31,2,high,low,254.0,0.8943661971830986
69,65,2,high,low,271.0,0.954225352112676
69,56,2,high,low,273.0,0.9612676056338029
69,41,2,high,low,277.0,0.8710691823899371
69,43,2,high,low,285.0,0.9827586206896551
69,71,2,high,low,263.0,0.926056338028169
69,44,2,high,low,289.0,0.9863481228668942
69,67,2,high,low,255.0,0.897887323943662
69,60,2,high,low,294.0,0.9607843137254902
69,63,2,high,low,274.0,0.9647887323943662
69,74,2,high,low,253.0,0.8908450704225352
69,78,2,high,low,268.0,0.9436619718309859
69,94,2,high,low,267.0,0.9401408450704225
69,101,2,high,low,255.0,0.897887323943662
69,99,2,high,low,244.0,0.8591549295774648
69,79,2,high,low,301.0,0.9709677419354839
69,107,2,high,low,251.0,0.8838028169014085
69,104,2,high,low,271.0,0.954225352112676
69,77,2,high,low,368.0,0.9460154241645244
69,64,2,high,low,558.0,0.9425675675675675
69,124,2,high,low,282.0,0.9894736842105263
69,128,2,high,low,255.0,0.897887323943662
69,138,2,high,low,261.0,0.9190140845070423
69,126,2,high,low,311.0,0.9749216300940439
69,140,2,high,low,274.0,0.9647887323943662
69,172,2,high,low,260.0,0.9154929577464789
69,164,2,high,low,264.0,0.9295774647887324
69,162,2,high,low,270.0,0.9507042253521126
69,180,2,high,low,265.0,0.9330985915492958
69,132,2,high,low,368.0,0.8997555012224939
80,13,2,high,low,248.0,0.9725490196078431
80,27,2,high,low,80.0,0.963855421686747
80,29,2,high,low,155.0,0.8469945355191257
69,200,2,high,low,266.0,0.9366197183098591
80,21,2,high,low,298.0,0.9400630914826499
80,35,2,high,low,163.0,0.9532163742690059
69,186,2,high,low,253.0,0.8908450704225352
69,179,2,high,low,361.0,0.9425587467362925
80,34,2,high,low,185.0,0.9068627450980392
69,183,2,high,low,277.0,0.9753521126760564
80,31,2,high,low,263.0,0.942652329749104
80,37,2,high,low,203.0,0.9311926605504587
80,56,2,high,low,130.0,0.8904109589041096
80,43,2,high,low,265.0,0.9137931034482759
80,41,2,high,low,309.0,0.9716981132075472
80,44,2,high,low,265.0,0.9044368600682594
69,182,2,high,low,383.0,0.9575
69,176,2,high,low,443.0,0.878968253968254
80,65,2,high,low,78.0,0.9397590361445783
80,71,2,high,low,88.0,0.9887640449438202
80,60,2,high,low,277.0,0.9052287581699346
80,74,2,high,low,96.0,0.96
80,67,2,high,low,152.0,0.9681528662420382
80,63,2,high,low,232.0,0.8923076923076924
80,78,2,high,low,88.0,0.9361702127659575
80,94,2,high,low,121.0,0.9307692307692308
80,99,2,high,low,162.0,0.9364161849710982
80,101,2,high,low,146.0,0.9240506329113924
80,107,2,high,low,195.0,0.9375
80,77,2,high,low,364.0,0.9357326478149101
80,79,2,high,low,279.0,0.9
80,104,2,high,low,272.0,0.9577464788732394
80,64,2,high,low,552.0,0.9324324324324325
80,124,2,high,low,258.0,0.9052631578947369
80,128,2,high,low,231.0,0.9506172839506173
80,138,2,high,low,151.0,0.937888198757764
80,126,2,high,low,283.0,0.8871473354231975
80,140,2,high,low,204.0,0.918918918918919
80,164,2,high,low,216.0,0.9191489361702128
80,162,2,high,low,254.0,0.9621212121212122
80,172,2,high,low,146.0,0.8390804597701149
80,132,2,high,low,390.0,0.9535452322738386
80,180,2,high,low,137.0,0.8670886075949367
80,186,2,high,low,215.0,0.9388646288209607
80,200,2,high,low,156.0,0.8813559322033898
80,179,2,high,low,347.0,0.9060052219321149
80,183,2,high,low,248.0,0.8857142857142857
80,176,2,high,low,485.0,0.9623015873015873
80,182,2,high,low,371.0,0.9275
82,27,2,high,low,219.0,0.876
82,29,2,high,low,206.0,0.824
82,13,2,high,low,244.0,0.9568627450980393
82,35,2,high,low,229.0,0.916
82,34,2,high,low,219.0,0.876
82,21,2,high,low,304.0,0.9589905362776026
82,37,2,high,low,232.0,0.928
82,31,2,high,low,262.0,0.9390681003584229
82,65,2,high,low,234.0,0.936
82,41,2,high,low,301.0,0.9465408805031447
82,56,2,high,low,205.0,0.82
82,71,2,high,low,234.0,0.936
82,74,2,high,low,232.0,0.928
82,44,2,high,low,259.0,0.8839590443686007
82,43,2,high,low,258.0,0.8896551724137931
82,63,2,high,low,228.0,0.8769230769230769
82,67,2,high,low,239.0,0.956
82,60,2,high,low,245.0,0.8006535947712419
82,78,2,high,low,213.0,0.852
82,94,2,high,low,233.0,0.932
82,101,2,high,low,234.0,0.936
82,99,2,high,low,231.0,0.924
82,107,2,high,low,231.0,0.924
82,79,2,high,low,254.0,0.8193548387096774
82,104,2,high,low,259.0,0.9119718309859155
82,77,2,high,low,312.0,0.8020565552699229
82,64,2,high,low,509.0,0.8597972972972973
82,124,2,high,low,253.0,0.887719298245614
82,128,2,high,low,241.0,0.964
82,138,2,high,low,229.0,0.916
82,140,2,high,low,212.0,0.848
82,126,2,high,low,281.0,0.8808777429467085
82,172,2,high,low,206.0,0.824
82,162,2,high,low,250.0,0.946969696969697
82,164,2,high,low,230.0,0.92
82,180,2,high,low,209.0,0.836
82,132,2,high,low,387.0,0.9462102689486552
82,200,2,high,low,209.0,0.836
82,179,2,high,low,315.0,0.8224543080939948
82,183,2,high,low,257.0,0.9178571428571428
82,186,2,high,low,238.0,0.952
82,182,2,high,low,341.0,0.8525
82,176,2,high,low,467.0,0.9265873015873016
86,27,2,high,low,532.0,0.9585585585585585
86,29,2,high,low,535.0,0.963963963963964
86,13,2,high,low,498.0,0.8972972972972973
86,35,2,high,low,506.0,0.9117117117117117
86,34,2,high,low,527.0,0.9495495495495495
86,21,2,high,low,503.0,0.9063063063063063
86,37,2,high,low,516.0,0.9297297297297298
86,31,2,high,low,507.0,0.9135135135135135
86,65,2,high,low,538.0,0.9693693693693693
86,56,2,high,low,534.0,0.9621621621621622
86,41,2,high,low,511.0,0.9207207207207208
86,71,2,high,low,521.0,0.9387387387387387
86,43,2,high,low,531.0,0.9567567567567568
86,44,2,high,low,519.0,0.9351351351351351
86,74,2,high,low,526.0,0.9477477477477477
86,67,2,high,low,512.0,0.9225225225225225
86,63,2,high,low,525.0,0.9459459459459459
86,60,2,high,low,516.0,0.9297297297297298
86,78,2,high,low,529.0,0.9531531531531532
86,94,2,high,low,523.0,0.9423423423423424
86,101,2,high,low,503.0,0.9063063063063063
86,99,2,high,low,496.0,0.8936936936936937
86,107,2,high,low,505.0,0.9099099099099099
86,79,2,high,low,523.0,0.9423423423423424
86,104,2,high,low,518.0,0.9333333333333333
86,64,2,high,low,573.0,0.9679054054054054
86,77,2,high,low,529.0,0.9531531531531532
86,124,2,high,low,531.0,0.9567567567567568
86,138,2,high,low,507.0,0.9135135135135135
86,128,2,high,low,503.0,0.9063063063063063
86,126,2,high,low,527.0,0.9495495495495495
86,140,2,high,low,533.0,0.9603603603603603
86,172,2,high,low,520.0,0.9369369369369369
86,164,2,high,low,529.0,0.9531531531531532
86,162,2,high,low,514.0,0.9261261261261261
86,180,2,high,low,526.0,0.9477477477477477
86,132,2,high,low,498.0,0.8972972972972973
87,13,2,high,low,249.0,0.9764705882352941
87,21,2,high,low,309.0,0.9747634069400631
87,27,2,high,low,220.0,0.9282700421940928
86,200,2,high,low,534.0,0.9621621621621622
86,186,2,high,low,485.0,0.8738738738738738
86,179,2,high,low,528.0,0.9513513513513514
86,183,2,high,low,535.0,0.963963963963964
87,29,2,high,low,220.0,0.9282700421940928
87,34,2,high,low,222.0,0.9367088607594937
87,35,2,high,low,204.0,0.8607594936708861
87,31,2,high,low,253.0,0.9068100358422939
86,182,2,high,low,544.0,0.9801801801801802
87,37,2,high,low,208.0,0.8776371308016878
86,176,2,high,low,509.0,0.9171171171171171
87,65,2,high,low,221.0,0.9324894514767933
87,56,2,high,low,209.0,0.8818565400843882
87,41,2,high,low,288.0,0.9056603773584906
87,43,2,high,low,277.0,0.9551724137931035
87,71,2,high,low,219.0,0.9240506329113924
87,44,2,high,low,280.0,0.9556313993174061
87,63,2,high,low,236.0,0.9076923076923077
87,60,2,high,low,293.0,0.9575163398692811
87,67,2,high,low,212.0,0.8945147679324894
87,78,2,high,low,214.0,0.9029535864978903
87,74,2,high,low,203.0,0.8565400843881856
87,94,2,high,low,208.0,0.8776371308016878
87,101,2,high,low,207.0,0.8734177215189873
87,99,2,high,low,209.0,0.8818565400843882
87,107,2,high,low,220.0,0.9282700421940928
87,79,2,high,low,298.0,0.9612903225806452
87,77,2,high,low,361.0,0.9280205655526992
87,64,2,high,low,557.0,0.9408783783783784
87,104,2,high,low,255.0,0.897887323943662
87,138,2,high,low,200.0,0.8438818565400844
87,124,2,high,low,270.0,0.9473684210526315
87,128,2,high,low,229.0,0.9423868312757202
87,126,2,high,low,308.0,0.9655172413793104
87,140,2,high,low,217.0,0.9156118143459916
87,164,2,high,low,223.0,0.9409282700421941
87,172,2,high,low,221.0,0.9324894514767933
87,162,2,high,low,241.0,0.9128787878787878
87,180,2,high,low,220.0,0.9282700421940928
87,132,2,high,low,391.0,0.9559902200488998
87,200,2,high,low,215.0,0.9071729957805907
87,186,2,high,low,223.0,0.9409282700421941
87,179,2,high,low,360.0,0.9399477806788512
87,183,2,high,low,250.0,0.8928571428571429
123,27,2,high,low,164.0,0.8961748633879781
87,182,2,high,low,372.0,0.93
123,29,2,high,low,175.0,0.9562841530054644
87,176,2,high,low,451.0,0.8948412698412699
123,13,2,high,low,233.0,0.9137254901960784
