exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration,baseline_Shape,baseline_Length,baseline_Direction,baseline_Position,baseline_Duration
1,26,2,high,high,0.10453305868131912,-0.08013271493280538,0.11066930749904824,0.1546312823122039,-0.24032254649086793,0.8837346205823591,0.7939238803101195,0.8732644001568461,0.7706334927439584,0.8525674444500516
1,48,2,high,high,0.1152724697870039,-0.02420958227152803,0.09940591732899207,0.15087238147396997,-0.12277424380824054,0.8759198129642974,0.7571595580592012,0.8903934430834636,0.781337972118751,0.8298892535548292
1,68,2,high,high,0.10293418471054527,-0.1108216216583866,0.11680536357469706,0.171584254155001,-0.1387688869024235,0.8901704540962658,0.785160563882094,0.8738077068795319,0.7479986815878426,0.8446512398435999
1,69,2,high,high,0.11539971840516416,-0.10448258915287134,0.11683135767301156,0.15989536572994167,-0.1776177947253863,0.8753356570154996,0.7485453862973246,0.8708202894313488,0.7651309916994273,0.8361543800912399
1,80,2,high,high,0.11144905163492014,-0.06717635269062494,0.09238796316989117,0.1075377655711548,-0.07624827527515798,0.8738871890855144,0.7762031779673795,0.8900846782947571,0.7623097245861105,0.813090380538316
1,82,2,high,high,0.12348195850094557,-0.012392507017078502,0.1222671510181258,0.16898928380544487,-0.2271071866074097,0.8680140084799363,0.748094540313035,0.8643978771649327,0.7603769449223617,0.8196997792000023
1,86,2,high,high,0.13506247807042693,-0.017102960954780366,0.17620271722186376,0.16074501321526724,-0.2454658748638916,0.8578321795492386,0.6444153196835627,0.8143144701115476,0.7247538987631392,0.8095684389664557
1,87,2,high,high,0.10221878573138976,-0.08293672407215735,0.10170883616739668,0.1513443207716153,-0.1353520886683518,0.8870190853185819,0.7831190797004973,0.8833456828143859,0.7653420971817849,0.8153520886683517
1,123,2,high,high,0.1095440744316013,-0.09012728627578148,0.11110964533870826,0.08142805839001355,-0.12530517940621222,0.8800661944031858,0.814103461183168,0.8753007582877312,0.7838765903843798,0.8453051794062122
1,178,2,high,high,0.1173404182774842,-0.04544277272629982,0.12758185446535442,0.1572640382069177,-0.13279240496882505,0.8741628744977353,0.7721536109644704,0.8600574018747603,0.7499856467724837,0.8411257383021584
26,48,2,high,high,0.115416479340811,-0.08492528683637246,0.10805279561868442,0.10174995501615591,-0.22510767954425037,0.8770075820247456,0.7952909272191453,0.8797640035331447,0.7621126124647242,0.8350110611867625
26,68,2,high,high,0.10434921129567287,-0.076680122367771,0.10102656510348074,0.16403606268022508,-0.22138480104273472,0.888338174584967,0.7861562927468095,0.8894026500097563,0.7569046991393037,0.823468134376068
26,69,2,high,high,0.11137665725365564,-0.11905460590861472,0.10156284463911447,0.1751579716497078,-0.22779011874943178,0.8784546462306956,0.7932368120942759,0.8851340013907283,0.7549831867545245,0.8356332560043338
26,80,2,high,high,0.10022611010682458,-0.09372022292464899,0.11531744027220947,0.16217348868733894,-0.20340454379360995,0.8871720017465707,0.7303145571031051,0.8666681898503377,0.7522800815312572,0.8397681801572463
