exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score,source_file
29,30,Beginner,Beginner,r1,r1,c3,c3,0.773109243697479,Beginner_result.csv
29,39,Beginner,Beginner,r1,r1,c3,c3,0.7014925373134329,Beginner_result.csv
29,46,Beginner,Beginner,r1,r1,c3,c3,0.7235772357723578,Beginner_result.csv
29,9,Beginner,Beginner,r1,r1,c3,c3,0.7448275862068966,Beginner_result.csv
30,39,Beginner,Beginner,r1,r1,c3,c3,0.753731343283582,Beginner_result.csv
30,46,Beginner,Beginner,r1,r1,c3,c3,0.7154471544715447,Beginner_result.csv
30,9,Beginner,Beginner,r1,r1,c3,c3,0.7517241379310344,Beginner_result.csv
33,36,Beginner,Beginner,r1,r1,c1,c1,0.8733333333333333,Beginner_result.csv
36,40,Beginner,Beginner,r1,r1,c1,c1,0.8740740740740741,Beginner_result.csv
37,38,Beginner,Beginner,r1,r1,c2,c2,0.8099173553719008,Beginner_result.csv
37,41,Beginner,Beginner,r1,r1,c2,c2,0.7596899224806202,Beginner_result.csv
37,43,Beginner,Beginner,r1,r1,c2,c2,0.7967479674796748,Beginner_result.csv
37,47,Beginner,Beginner,r1,r1,c2,c2,0.7295081967213115,Beginner_result.csv
37,48,Beginner,Beginner,r1,r1,c2,c2,0.6981132075471698,Beginner_result.csv
37,52,Beginner,Beginner,r1,r1,c2,c2,0.8925619834710744,Beginner_result.csv
38,41,Beginner,Beginner,r1,r1,c2,c2,0.8604651162790697,Beginner_result.csv
38,43,Beginner,Beginner,r1,r1,c2,c2,0.8617886178861789,Beginner_result.csv
38,47,Beginner,Beginner,r1,r1,c2,c2,0.7622950819672131,Beginner_result.csv
38,48,Beginner,Beginner,r1,r1,c2,c2,0.8490566037735849,Beginner_result.csv
38,50,Beginner,Beginner,r1,r1,c2,c2,0.7373737373737373,Beginner_result.csv
38,52,Beginner,Beginner,r1,r1,c2,c2,0.8035714285714286,Beginner_result.csv
39,46,Beginner,Beginner,r1,r1,c3,c3,0.7611940298507462,Beginner_result.csv
41,43,Beginner,Beginner,r1,r1,c2,c2,0.7441860465116279,Beginner_result.csv
41,47,Beginner,Beginner,r1,r1,c2,c2,0.7984496124031008,Beginner_result.csv
41,50,Beginner,Beginner,r1,r1,c2,c2,0.7829457364341085,Beginner_result.csv
43,47,Beginner,Beginner,r1,r1,c2,c2,0.7642276422764228,Beginner_result.csv
43,50,Beginner,Beginner,r1,r1,c2,c2,0.7398373983739838,Beginner_result.csv
46,9,Beginner,Beginner,r1,r1,c3,c3,0.7172413793103448,Beginner_result.csv
47,50,Beginner,Beginner,r1,r1,c2,c2,0.5819672131147541,Beginner_result.csv
47,52,Beginner,Beginner,r1,r1,c2,c2,0.7540983606557377,Beginner_result.csv
48,50,Beginner,Beginner,r1,r1,c2,c2,0.660377358490566,Beginner_result.csv
48,52,Beginner,Beginner,r1,r1,c2,c2,0.8238993710691824,Beginner_result.csv
50,52,Beginner,Beginner,r1,r1,c2,c2,0.7857142857142857,Beginner_result.csv
16,30,Beginner,Beginner,r1,r2,c1,c1,0.6884057971014492,Beginner_result.csv
16,37,Beginner,Beginner,r1,r2,c1,c1,0.6349206349206349,Beginner_result.csv
16,38,Beginner,Beginner,r1,r2,c1,c1,0.6984126984126984,Beginner_result.csv
16,39,Beginner,Beginner,r1,r2,c1,c1,0.6666666666666666,Beginner_result.csv
16,43,Beginner,Beginner,r1,r2,c1,c1,0.7063492063492064,Beginner_result.csv
16,50,Beginner,Beginner,r1,r2,c1,c1,0.5777777777777777,Beginner_result.csv
16,9,Beginner,Beginner,r1,r2,c1,c1,0.6619718309859155,Beginner_result.csv
24,30,Beginner,Beginner,r1,r2,c1,c1,0.782608695652174,Beginner_result.csv
24,37,Beginner,Beginner,r1,r2,c1,c1,0.6554621848739496,Beginner_result.csv
24,38,Beginner,Beginner,r1,r2,c1,c1,0.6974789915966386,Beginner_result.csv
24,39,Beginner,Beginner,r1,r2,c1,c1,0.6639344262295082,Beginner_result.csv
24,43,Beginner,Beginner,r1,r2,c1,c1,0.7355371900826446,Beginner_result.csv
24,47,Beginner,Beginner,r1,r2,c1,c1,0.7815126050420168,Beginner_result.csv
24,50,Beginner,Beginner,r1,r2,c1,c1,0.674074074074074,Beginner_result.csv
24,9,Beginner,Beginner,r1,r2,c1,c1,0.7112676056338029,Beginner_result.csv
25,16,Beginner,Beginner,r1,r2,c2,c2,0.7727272727272727,Beginner_result.csv
25,26,Beginner,Beginner,r1,r2,c2,c2,0.8246753246753247,Beginner_result.csv
25,29,Beginner,Beginner,r1,r2,c2,c2,0.8961038961038961,Beginner_result.csv
25,36,Beginner,Beginner,r1,r2,c2,c2,0.7142857142857143,Beginner_result.csv
25,46,Beginner,Beginner,r1,r2,c2,c2,0.7922077922077922,Beginner_result.csv
26,24,Beginner,Beginner,r1,r2,c3,c3,0.75,Beginner_result.csv
26,25,Beginner,Beginner,r1,r2,c3,c3,0.7125,Beginner_result.csv
26,27,Beginner,Beginner,r1,r2,c3,c3,0.6923076923076923,Beginner_result.csv
26,28,Beginner,Beginner,r1,r2,c3,c3,0.6153846153846154,Beginner_result.csv
26,33,Beginner,Beginner,r1,r2,c3,c3,0.7051282051282052,Beginner_result.csv
26,40,Beginner,Beginner,r1,r2,c3,c3,0.6858974358974359,Beginner_result.csv
26,41,Beginner,Beginner,r1,r2,c3,c3,0.7884615384615384,Beginner_result.csv
26,48,Beginner,Beginner,r1,r2,c3,c3,0.6538461538461539,Beginner_result.csv
26,52,Beginner,Beginner,r1,r2,c3,c3,0.7307692307692307,Beginner_result.csv
27,30,Beginner,Beginner,r1,r2,c1,c1,0.7533333333333333,Beginner_result.csv
27,39,Beginner,Beginner,r1,r2,c1,c1,0.7066666666666667,Beginner_result.csv
27,47,Beginner,Beginner,r1,r2,c1,c1,0.6866666666666666,Beginner_result.csv
28,16,Beginner,Beginner,r1,r2,c2,c2,0.5981308411214953,Beginner_result.csv
28,26,Beginner,Beginner,r1,r2,c2,c2,0.5944055944055944,Beginner_result.csv
28,29,Beginner,Beginner,r1,r2,c2,c2,0.6953125,Beginner_result.csv
28,36,Beginner,Beginner,r1,r2,c2,c2,0.5726495726495726,Beginner_result.csv
29,24,Beginner,Beginner,r1,r2,c3,c3,0.704,Beginner_result.csv
29,25,Beginner,Beginner,r1,r2,c3,c3,0.725,Beginner_result.csv
29,27,Beginner,Beginner,r1,r2,c3,c3,0.7651515151515151,Beginner_result.csv
29,28,Beginner,Beginner,r1,r2,c3,c3,0.7983193277310925,Beginner_result.csv
29,33,Beginner,Beginner,r1,r2,c3,c3,0.7372262773722628,Beginner_result.csv
29,40,Beginner,Beginner,r1,r2,c3,c3,0.7898550724637681,Beginner_result.csv
29,41,Beginner,Beginner,r1,r2,c3,c3,0.8211382113821138,Beginner_result.csv
29,48,Beginner,Beginner,r1,r2,c3,c3,0.7124183006535948,Beginner_result.csv
29,52,Beginner,Beginner,r1,r2,c3,c3,0.8235294117647058,Beginner_result.csv
30,24,Beginner,Beginner,r1,r2,c3,c3,0.72,Beginner_result.csv
30,25,Beginner,Beginner,r1,r2,c3,c3,0.74375,Beginner_result.csv
30,27,Beginner,Beginner,r1,r2,c3,c3,0.7424242424242424,Beginner_result.csv
30,28,Beginner,Beginner,r1,r2,c3,c3,0.6226415094339622,Beginner_result.csv
30,33,Beginner,Beginner,r1,r2,c3,c3,0.7445255474452555,Beginner_result.csv
30,40,Beginner,Beginner,r1,r2,c3,c3,0.717391304347826,Beginner_result.csv
30,48,Beginner,Beginner,r1,r2,c3,c3,0.738562091503268,Beginner_result.csv
30,52,Beginner,Beginner,r1,r2,c3,c3,0.7254901960784313,Beginner_result.csv
33,30,Beginner,Beginner,r1,r2,c1,c1,0.8466666666666667,Beginner_result.csv
33,37,Beginner,Beginner,r1,r2,c1,c1,0.74,Beginner_result.csv
33,38,Beginner,Beginner,r1,r2,c1,c1,0.8266666666666667,Beginner_result.csv
33,39,Beginner,Beginner,r1,r2,c1,c1,0.7266666666666667,Beginner_result.csv
33,43,Beginner,Beginner,r1,r2,c1,c1,0.68,Beginner_result.csv
33,50,Beginner,Beginner,r1,r2,c1,c1,0.8333333333333334,Beginner_result.csv
36,30,Beginner,Beginner,r1,r2,c1,c1,0.8840579710144928,Beginner_result.csv
36,37,Beginner,Beginner,r1,r2,c1,c1,0.8362068965517241,Beginner_result.csv
36,38,Beginner,Beginner,r1,r2,c1,c1,0.797752808988764,Beginner_result.csv
36,39,Beginner,Beginner,r1,r2,c1,c1,0.819672131147541,Beginner_result.csv
36,43,Beginner,Beginner,r1,r2,c1,c1,0.8264462809917356,Beginner_result.csv
36,47,Beginner,Beginner,r1,r2,c1,c1,0.8220338983050848,Beginner_result.csv
36,9,Beginner,Beginner,r1,r2,c1,c1,0.852112676056338,Beginner_result.csv
37,16,Beginner,Beginner,r1,r2,c2,c2,0.8181818181818182,Beginner_result.csv
37,26,Beginner,Beginner,r1,r2,c2,c2,0.7552447552447552,Beginner_result.csv
37,29,Beginner,Beginner,r1,r2,c2,c2,0.8671875,Beginner_result.csv
37,36,Beginner,Beginner,r1,r2,c2,c2,0.7933884297520661,Beginner_result.csv
37,46,Beginner,Beginner,r1,r2,c2,c2,0.753968253968254,Beginner_result.csv
38,16,Beginner,Beginner,r1,r2,c2,c2,0.7659574468085106,Beginner_result.csv
38,26,Beginner,Beginner,r1,r2,c2,c2,0.7902097902097902,Beginner_result.csv
38,29,Beginner,Beginner,r1,r2,c2,c2,0.7890625,Beginner_result.csv
38,36,Beginner,Beginner,r1,r2,c2,c2,0.7777777777777778,Beginner_result.csv
39,27,Beginner,Beginner,r1,r2,c3,c3,0.7835820895522388,Beginner_result.csv
39,28,Beginner,Beginner,r1,r2,c3,c3,0.7388059701492538,Beginner_result.csv
39,33,Beginner,Beginner,r1,r2,c3,c3,0.7956204379562044,Beginner_result.csv
39,40,Beginner,Beginner,r1,r2,c3,c3,0.7681159420289855,Beginner_result.csv
39,41,Beginner,Beginner,r1,r2,c3,c3,0.8134328358208955,Beginner_result.csv
39,48,Beginner,Beginner,r1,r2,c3,c3,0.7058823529411765,Beginner_result.csv
39,52,Beginner,Beginner,r1,r2,c3,c3,0.8582089552238806,Beginner_result.csv
40,30,Beginner,Beginner,r1,r2,c1,c1,0.8985507246376812,Beginner_result.csv
40,37,Beginner,Beginner,r1,r2,c1,c1,0.837037037037037,Beginner_result.csv
40,38,Beginner,Beginner,r1,r2,c1,c1,0.8518518518518519,Beginner_result.csv
40,43,Beginner,Beginner,r1,r2,c1,c1,0.8444444444444444,Beginner_result.csv
40,50,Beginner,Beginner,r1,r2,c1,c1,0.925925925925926,Beginner_result.csv
40,9,Beginner,Beginner,r1,r2,c1,c1,0.8943661971830986,Beginner_result.csv
41,16,Beginner,Beginner,r1,r2,c2,c2,0.813953488372093,Beginner_result.csv
41,26,Beginner,Beginner,r1,r2,c2,c2,0.8671328671328671,Beginner_result.csv
41,29,Beginner,Beginner,r1,r2,c2,c2,0.8449612403100775,Beginner_result.csv
41,36,Beginner,Beginner,r1,r2,c2,c2,0.7674418604651163,Beginner_result.csv
43,26,Beginner,Beginner,r1,r2,c2,c2,0.8111888111888111,Beginner_result.csv
43,29,Beginner,Beginner,r1,r2,c2,c2,0.8984375,Beginner_result.csv
43,36,Beginner,Beginner,r1,r2,c2,c2,0.7804878048780488,Beginner_result.csv
43,46,Beginner,Beginner,r1,r2,c2,c2,0.8650793650793651,Beginner_result.csv
46,24,Beginner,Beginner,r1,r2,c3,c3,0.744,Beginner_result.csv
46,25,Beginner,Beginner,r1,r2,c3,c3,0.71875,Beginner_result.csv
46,28,Beginner,Beginner,r1,r2,c3,c3,0.7560975609756098,Beginner_result.csv
46,40,Beginner,Beginner,r1,r2,c3,c3,0.7101449275362319,Beginner_result.csv
46,48,Beginner,Beginner,r1,r2,c3,c3,0.6862745098039216,Beginner_result.csv
46,52,Beginner,Beginner,r1,r2,c3,c3,0.8373983739837398,Beginner_result.csv
47,16,Beginner,Beginner,r1,r2,c2,c2,0.6967213114754098,Beginner_result.csv
47,26,Beginner,Beginner,r1,r2,c2,c2,0.6293706293706294,Beginner_result.csv
47,29,Beginner,Beginner,r1,r2,c2,c2,0.7578125,Beginner_result.csv
47,36,Beginner,Beginner,r1,r2,c2,c2,0.6475409836065574,Beginner_result.csv
48,16,Beginner,Beginner,r1,r2,c2,c2,0.7672955974842768,Beginner_result.csv
48,26,Beginner,Beginner,r1,r2,c2,c2,0.7987421383647799,Beginner_result.csv
48,29,Beginner,Beginner,r1,r2,c2,c2,0.7924528301886793,Beginner_result.csv
48,36,Beginner,Beginner,r1,r2,c2,c2,0.6918238993710691,Beginner_result.csv
48,46,Beginner,Beginner,r1,r2,c2,c2,0.7044025157232704,Beginner_result.csv
50,16,Beginner,Beginner,r1,r2,c2,c2,0.6868686868686869,Beginner_result.csv
50,46,Beginner,Beginner,r1,r2,c2,c2,0.6587301587301587,Beginner_result.csv
52,29,Beginner,Beginner,r1,r2,c2,c2,0.8125,Beginner_result.csv
52,36,Beginner,Beginner,r1,r2,c2,c2,0.8290598290598291,Beginner_result.csv
52,46,Beginner,Beginner,r1,r2,c2,c2,0.8174603174603174,Beginner_result.csv
9,24,Beginner,Beginner,r1,r2,c3,c3,0.7310344827586207,Beginner_result.csv
9,27,Beginner,Beginner,r1,r2,c3,c3,0.7724137931034483,Beginner_result.csv
9,28,Beginner,Beginner,r1,r2,c3,c3,0.7793103448275862,Beginner_result.csv
9,33,Beginner,Beginner,r1,r2,c3,c3,0.7655172413793103,Beginner_result.csv
9,40,Beginner,Beginner,r1,r2,c3,c3,0.8068965517241379,Beginner_result.csv
9,41,Beginner,Beginner,r1,r2,c3,c3,0.8551724137931035,Beginner_result.csv
9,52,Beginner,Beginner,r1,r2,c3,c3,0.8206896551724138,Beginner_result.csv
16,25,Beginner,Beginner,r1,r3,c1,c1,0.6283783783783784,Beginner_result.csv
16,26,Beginner,Beginner,r1,r3,c1,c1,0.6917293233082706,Beginner_result.csv
16,28,Beginner,Beginner,r1,r3,c1,c1,0.6746031746031746,Beginner_result.csv
16,41,Beginner,Beginner,r1,r3,c1,c1,0.8062015503875969,Beginner_result.csv
16,46,Beginner,Beginner,r1,r3,c1,c1,0.7619047619047619,Beginner_result.csv
16,48,Beginner,Beginner,r1,r3,c1,c1,0.6690647482014388,Beginner_result.csv
24,25,Beginner,Beginner,r1,r3,c1,c1,0.6891891891891891,Beginner_result.csv
24,26,Beginner,Beginner,r1,r3,c1,c1,0.7669172932330827,Beginner_result.csv
24,28,Beginner,Beginner,r1,r3,c1,c1,0.7338709677419355,Beginner_result.csv
24,46,Beginner,Beginner,r1,r3,c1,c1,0.8347107438016529,Beginner_result.csv
24,48,Beginner,Beginner,r1,r3,c1,c1,0.7194244604316546,Beginner_result.csv
25,24,Beginner,Beginner,r1,r3,c2,c2,0.8441558441558441,Beginner_result.csv
25,33,Beginner,Beginner,r1,r3,c2,c2,0.8051948051948052,Beginner_result.csv
25,40,Beginner,Beginner,r1,r3,c2,c2,0.8701298701298701,Beginner_result.csv
25,9,Beginner,Beginner,r1,r3,c2,c2,0.7792207792207793,Beginner_result.csv
26,16,Beginner,Beginner,r1,r3,c3,c3,0.7628205128205128,Beginner_result.csv
26,36,Beginner,Beginner,r1,r3,c3,c3,0.7564102564102564,Beginner_result.csv
26,37,Beginner,Beginner,r1,r3,c3,c3,0.6794871794871795,Beginner_result.csv
26,47,Beginner,Beginner,r1,r3,c3,c3,0.7756410256410257,Beginner_result.csv
27,25,Beginner,Beginner,r1,r3,c1,c1,0.78,Beginner_result.csv
27,26,Beginner,Beginner,r1,r3,c1,c1,0.76,Beginner_result.csv
27,29,Beginner,Beginner,r1,r3,c1,c1,0.6733333333333333,Beginner_result.csv
27,41,Beginner,Beginner,r1,r3,c1,c1,0.8133333333333334,Beginner_result.csv
27,46,Beginner,Beginner,r1,r3,c1,c1,0.7866666666666666,Beginner_result.csv
28,24,Beginner,Beginner,r1,r3,c2,c2,0.624,Beginner_result.csv
28,27,Beginner,Beginner,r1,r3,c2,c2,0.556390977443609,Beginner_result.csv
28,33,Beginner,Beginner,r1,r3,c2,c2,0.5725806451612904,Beginner_result.csv
28,39,Beginner,Beginner,r1,r3,c2,c2,0.5692307692307692,Beginner_result.csv
28,40,Beginner,Beginner,r1,r3,c2,c2,0.6423357664233577,Beginner_result.csv
28,9,Beginner,Beginner,r1,r3,c2,c2,0.6119402985074627,Beginner_result.csv
29,16,Beginner,Beginner,r1,r3,c3,c3,0.8151260504201681,Beginner_result.csv
29,36,Beginner,Beginner,r1,r3,c3,c3,0.7647058823529411,Beginner_result.csv
29,43,Beginner,Beginner,r1,r3,c3,c3,0.8083333333333333,Beginner_result.csv
29,47,Beginner,Beginner,r1,r3,c3,c3,0.7563025210084033,Beginner_result.csv
29,50,Beginner,Beginner,r1,r3,c3,c3,0.7581699346405228,Beginner_result.csv
30,16,Beginner,Beginner,r1,r3,c3,c3,0.6973684210526315,Beginner_result.csv
30,36,Beginner,Beginner,r1,r3,c3,c3,0.7685185185185185,Beginner_result.csv
30,37,Beginner,Beginner,r1,r3,c3,c3,0.6696428571428571,Beginner_result.csv
30,43,Beginner,Beginner,r1,r3,c3,c3,0.675,Beginner_result.csv
30,47,Beginner,Beginner,r1,r3,c3,c3,0.7304347826086957,Beginner_result.csv
33,48,Beginner,Beginner,r1,r3,c1,c1,0.7466666666666667,Beginner_result.csv
33,52,Beginner,Beginner,r1,r3,c1,c1,0.9133333333333332,Beginner_result.csv
36,25,Beginner,Beginner,r1,r3,c1,c1,0.8513513513513513,Beginner_result.csv
36,26,Beginner,Beginner,r1,r3,c1,c1,0.8646616541353384,Beginner_result.csv
36,28,Beginner,Beginner,r1,r3,c1,c1,0.8387096774193549,Beginner_result.csv
36,29,Beginner,Beginner,r1,r3,c1,c1,0.8306451612903226,Beginner_result.csv
36,41,Beginner,Beginner,r1,r3,c1,c1,0.875968992248062,Beginner_result.csv
36,46,Beginner,Beginner,r1,r3,c1,c1,0.8677685950413223,Beginner_result.csv
36,48,Beginner,Beginner,r1,r3,c1,c1,0.8633093525179856,Beginner_result.csv
36,52,Beginner,Beginner,r1,r3,c1,c1,0.8571428571428571,Beginner_result.csv
37,24,Beginner,Beginner,r1,r3,c2,c2,0.856,Beginner_result.csv
37,27,Beginner,Beginner,r1,r3,c2,c2,0.7894736842105263,Beginner_result.csv
37,30,Beginner,Beginner,r1,r3,c2,c2,0.8968253968253969,Beginner_result.csv
37,33,Beginner,Beginner,r1,r3,c2,c2,0.7741935483870968,Beginner_result.csv
37,39,Beginner,Beginner,r1,r3,c2,c2,0.8538461538461538,Beginner_result.csv
37,40,Beginner,Beginner,r1,r3,c2,c2,0.7591240875912408,Beginner_result.csv
37,9,Beginner,Beginner,r1,r3,c2,c2,0.8283582089552238,Beginner_result.csv
38,24,Beginner,Beginner,r1,r3,c2,c2,0.784,Beginner_result.csv
38,27,Beginner,Beginner,r1,r3,c2,c2,0.7593984962406015,Beginner_result.csv
38,33,Beginner,Beginner,r1,r3,c2,c2,0.782258064516129,Beginner_result.csv
38,39,Beginner,Beginner,r1,r3,c2,c2,0.8153846153846154,Beginner_result.csv
38,9,Beginner,Beginner,r1,r3,c2,c2,0.8059701492537313,Beginner_result.csv
39,16,Beginner,Beginner,r1,r3,c3,c3,0.7910447761194029,Beginner_result.csv
39,36,Beginner,Beginner,r1,r3,c3,c3,0.746268656716418,Beginner_result.csv
39,38,Beginner,Beginner,r1,r3,c3,c3,0.7761194029850746,Beginner_result.csv
39,43,Beginner,Beginner,r1,r3,c3,c3,0.7164179104477612,Beginner_result.csv
39,47,Beginner,Beginner,r1,r3,c3,c3,0.8208955223880597,Beginner_result.csv
39,50,Beginner,Beginner,r1,r3,c3,c3,0.7908496732026143,Beginner_result.csv
40,25,Beginner,Beginner,r1,r3,c1,c1,0.8986486486486487,Beginner_result.csv
40,26,Beginner,Beginner,r1,r3,c1,c1,0.8962962962962963,Beginner_result.csv
40,28,Beginner,Beginner,r1,r3,c1,c1,0.8888888888888888,Beginner_result.csv
40,29,Beginner,Beginner,r1,r3,c1,c1,0.9407407407407408,Beginner_result.csv
40,46,Beginner,Beginner,r1,r3,c1,c1,0.9185185185185184,Beginner_result.csv
40,48,Beginner,Beginner,r1,r3,c1,c1,0.9712230215827338,Beginner_result.csv
40,52,Beginner,Beginner,r1,r3,c1,c1,0.9111111111111112,Beginner_result.csv
41,27,Beginner,Beginner,r1,r3,c2,c2,0.8947368421052632,Beginner_result.csv
41,30,Beginner,Beginner,r1,r3,c2,c2,0.9069767441860463,Beginner_result.csv
41,39,Beginner,Beginner,r1,r3,c2,c2,0.9,Beginner_result.csv
41,40,Beginner,Beginner,r1,r3,c2,c2,0.8540145985401459,Beginner_result.csv
41,9,Beginner,Beginner,r1,r3,c2,c2,0.917910447761194,Beginner_result.csv
43,24,Beginner,Beginner,r1,r3,c2,c2,0.88,Beginner_result.csv
43,27,Beginner,Beginner,r1,r3,c2,c2,0.8120300751879699,Beginner_result.csv
43,33,Beginner,Beginner,r1,r3,c2,c2,0.8709677419354839,Beginner_result.csv
43,39,Beginner,Beginner,r1,r3,c2,c2,0.8076923076923077,Beginner_result.csv
43,40,Beginner,Beginner,r1,r3,c2,c2,0.8467153284671532,Beginner_result.csv
46,50,Beginner,Beginner,r1,r3,c3,c3,0.7450980392156863,Beginner_result.csv
47,24,Beginner,Beginner,r1,r3,c2,c2,0.696,Beginner_result.csv
47,27,Beginner,Beginner,r1,r3,c2,c2,0.6766917293233082,Beginner_result.csv
47,30,Beginner,Beginner,r1,r3,c2,c2,0.7222222222222222,Beginner_result.csv
47,33,Beginner,Beginner,r1,r3,c2,c2,0.7016129032258065,Beginner_result.csv
47,40,Beginner,Beginner,r1,r3,c2,c2,0.6715328467153284,Beginner_result.csv
48,27,Beginner,Beginner,r1,r3,c2,c2,0.8113207547169812,Beginner_result.csv
48,30,Beginner,Beginner,r1,r3,c2,c2,0.8301886792452831,Beginner_result.csv
48,39,Beginner,Beginner,r1,r3,c2,c2,0.7547169811320755,Beginner_result.csv
48,9,Beginner,Beginner,r1,r3,c2,c2,0.8050314465408805,Beginner_result.csv
50,24,Beginner,Beginner,r1,r3,c2,c2,0.648,Beginner_result.csv
50,27,Beginner,Beginner,r1,r3,c2,c2,0.6090225563909775,Beginner_result.csv
50,30,Beginner,Beginner,r1,r3,c2,c2,0.6031746031746031,Beginner_result.csv
50,39,Beginner,Beginner,r1,r3,c2,c2,0.6,Beginner_result.csv
50,9,Beginner,Beginner,r1,r3,c2,c2,0.6343283582089553,Beginner_result.csv
52,24,Beginner,Beginner,r1,r3,c2,c2,0.808,Beginner_result.csv
52,27,Beginner,Beginner,r1,r3,c2,c2,0.706766917293233,Beginner_result.csv
52,39,Beginner,Beginner,r1,r3,c2,c2,0.7538461538461538,Beginner_result.csv
52,40,Beginner,Beginner,r1,r3,c2,c2,0.8248175182481752,Beginner_result.csv
52,9,Beginner,Beginner,r1,r3,c2,c2,0.7313432835820896,Beginner_result.csv
9,38,Beginner,Beginner,r1,r3,c3,c3,0.7241379310344828,Beginner_result.csv
