exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration,source_file
18,53,Intermediate,Intermediate,r1,r1,c1,c1,0.9867200586223152,0.849224801159377,0.9853067937909112,0.9361684647490144,0.7486338797814208,r1_result.csv
19,20,Intermediate,Intermediate,r1,r1,c3,c3,0.9828364638117149,0.7902143924368282,0.9781149844633222,0.891936391727981,0.7656369183829137,r1_result.csv
19,21,Intermediate,Intermediate,r1,r1,c3,c3,0.9854422081578008,0.8886793624507805,0.9841253426044309,0.9399067703827584,0.752808988764045,r1_result.csv
19,22,Intermediate,Intermediate,r1,r1,c3,c3,0.9892217409211508,0.8280516241055865,0.9845576594120188,0.9741755820448336,0.7571776467572418,r1_result.csv
19,23,Intermediate,Intermediate,r1,r1,c3,c3,0.9759146423798892,0.7691305471275293,0.970349468497502,0.8832559197737573,0.7268204432383536,r1_result.csv
19,44,Intermediate,Intermediate,r1,r1,c3,c3,0.9789613036204482,0.7843129179045245,0.9728305943386172,0.9108337678770606,0.75,r1_result.csv
19,45,Intermediate,Intermediate,r1,r1,c3,c3,0.980998315444792,0.759458984233305,0.9743310003321046,0.8971320261223654,0.7142857142857143,r1_result.csv
20,21,Intermediate,Intermediate,r1,r1,c3,c3,0.9802365068035488,0.8250013280133861,0.978144708102498,0.9112369086753545,0.7539267015706805,r1_result.csv
20,22,Intermediate,Intermediate,r1,r1,c3,c3,0.9801214201208986,0.7724964928495895,0.9777080720172804,0.9091769789219608,0.7112795857988166,r1_result.csv
20,23,Intermediate,Intermediate,r1,r1,c3,c3,0.9760889792221183,0.7667720505139243,0.972699274474128,0.9344900005331286,0.7627104732423433,r1_result.csv
20,44,Intermediate,Intermediate,r1,r1,c3,c3,0.9772178901564134,0.7556737089163935,0.9749568054842778,0.922482410023854,0.7576377523186034,r1_result.csv
20,45,Intermediate,Intermediate,r1,r1,c3,c3,0.9773070810578344,0.8077550987477967,0.9768730994292382,0.8940544300448955,0.7548872180451127,r1_result.csv
21,22,Intermediate,Intermediate,r1,r1,c3,c3,0.9860963244206896,0.8208702965540252,0.9824759300104984,0.9326070938547348,0.6845238095238095,r1_result.csv
21,23,Intermediate,Intermediate,r1,r1,c3,c3,0.9779998756417564,0.8040015283308775,0.9679532479631094,0.876641097089565,0.7740225692465519,r1_result.csv
21,44,Intermediate,Intermediate,r1,r1,c3,c3,0.9790359603890798,0.8218437368482789,0.9767735200004908,0.8898711098310743,0.753623188405797,r1_result.csv
21,45,Intermediate,Intermediate,r1,r1,c3,c3,0.9835828226132848,0.8526790756117184,0.9797499609558338,0.8811214836621456,0.7233839839742024,r1_result.csv
22,23,Intermediate,Intermediate,r1,r1,c3,c3,0.978629664977409,0.7999851148963621,0.9745428161477688,0.9033184047970148,0.7194444444444446,r1_result.csv
22,44,Intermediate,Intermediate,r1,r1,c3,c3,0.979374411999417,0.7979360367679291,0.9771925283722084,0.9320303918762488,0.7104353011329756,r1_result.csv
22,45,Intermediate,Intermediate,r1,r1,c3,c3,0.9822076034154218,0.8355047582060096,0.9793836434180077,0.9231819002760924,0.7125664595477548,r1_result.csv
23,44,Intermediate,Intermediate,r1,r1,c3,c3,0.9760796375644047,0.8410106364685249,0.9694238522942416,0.9177886086114014,0.7132682132682133,r1_result.csv
23,45,Intermediate,Intermediate,r1,r1,c3,c3,0.9763630130611723,0.8255902221194369,0.9713293139649885,0.9145909398903136,0.7333333333333332,r1_result.csv
31,32,Intermediate,Intermediate,r1,r1,c1,c1,0.9853321339723904,0.8526424004165136,0.9854706631235658,0.9343963486613078,0.676056338028169,r1_result.csv
31,35,Intermediate,Intermediate,r1,r1,c1,c1,0.9866559342694212,0.831966288492608,0.9861239985253796,0.9288933014682512,0.7061175529788085,r1_result.csv
31,51,Intermediate,Intermediate,r1,r1,c1,c1,0.9841460759023888,0.8709608492869793,0.9823897337633388,0.94310607235301,0.7285714285714286,r1_result.csv
31,53,Intermediate,Intermediate,r1,r1,c1,c1,0.9891527097546016,0.8936735997255596,0.9845139488678808,0.8468506295390751,0.7628205128205128,r1_result.csv
32,35,Intermediate,Intermediate,r1,r1,c1,c1,0.987381012939786,0.8420480705917935,0.9840311091352872,0.8465822577983093,0.6690140845070423,r1_result.csv
32,51,Intermediate,Intermediate,r1,r1,c1,c1,0.9861476045562116,0.894422958390921,0.9843266837717176,0.9256404773879612,0.7058823529411766,r1_result.csv
32,53,Intermediate,Intermediate,r1,r1,c1,c1,0.988013852970447,0.9169776850511692,0.9859908039422176,0.9370042503403568,0.7432432432432432,r1_result.csv
34,42,Intermediate,Intermediate,r1,r1,c2,c2,0.9871583571345136,0.8647630064155791,0.98724276624982,0.9370022621731025,0.5431472081218274,r1_result.csv
35,51,Intermediate,Intermediate,r1,r1,c1,c1,0.98313937137794,0.8323843368753029,0.9816111734055502,0.9024864627330536,0.6747083775185578,r1_result.csv
35,53,Intermediate,Intermediate,r1,r1,c1,c1,0.9881579584398912,0.8352264791874141,0.9869467461391864,0.9268797986358508,0.7151312957382695,r1_result.csv
44,45,Intermediate,Intermediate,r1,r1,c3,c3,0.9794024886642836,0.8431278464987497,0.9747289471491346,0.9026439271037608,0.7181544744006324,r1_result.csv
51,53,Intermediate,Intermediate,r1,r1,c1,c1,0.9876298283433702,0.8911072625358499,0.9851404409611983,0.87778871182621,0.7085714285714286,r1_result.csv
10,16,Intermediate,Beginner,r1,r1,c1,c1,0.9874988750217124,0.8872590095780967,0.9816636222290912,0.8330484405546569,0.716012857038498,r1_result.csv
10,24,Intermediate,Beginner,r1,r1,c1,c1,0.9877442230640148,0.9169969356839544,0.9860476432922468,0.8255644884062757,0.6797477884434406,r1_result.csv
10,27,Intermediate,Beginner,r1,r1,c1,c1,0.987785346362674,0.928189533856412,0.9844872645114252,0.8321887869827617,0.7718120805369129,r1_result.csv
10,33,Intermediate,Beginner,r1,r1,c1,c1,0.9887548827357387,0.9193283015913742,0.9866385304259936,0.9456574827482086,0.7445329190134007,r1_result.csv
10,36,Intermediate,Beginner,r1,r1,c1,c1,0.9838821990979112,0.7529474769469782,0.9788341455742496,0.924528274588847,0.6294117647058823,r1_result.csv
10,40,Intermediate,Beginner,r1,r1,c1,c1,0.9897280555056376,0.9311781643313648,0.9854246256066344,0.9593479407682056,0.7747727272727272,r1_result.csv
11,26,Intermediate,Beginner,r1,r1,c3,c3,0.9842219356364984,0.8672968215688986,0.985524850317724,0.9009317147503934,0.7372946058091286,r1_result.csv
11,29,Intermediate,Beginner,r1,r1,c3,c3,0.981797010774186,0.8332522670555031,0.977010109911058,0.8737774425442366,0.7031300074778335,r1_result.csv
11,30,Intermediate,Beginner,r1,r1,c3,c3,0.9834788935707096,0.7055583245627346,0.9797739852767304,0.8491243684104228,0.6844262295081968,r1_result.csv
11,39,Intermediate,Beginner,r1,r1,c3,c3,0.9826684853492144,0.8173265778210926,0.979476191433535,0.9323660265089162,0.6878980891719746,r1_result.csv
11,46,Intermediate,Beginner,r1,r1,c3,c3,0.9843181574535784,0.7739016560901181,0.9847181511182528,0.9443504301876728,0.70446735395189,r1_result.csv
11,9,Intermediate,Beginner,r1,r1,c3,c3,0.9832907008528388,0.8114945032257358,0.9812575821883556,0.8885617177803876,0.7121951219512195,r1_result.csv
12,25,Intermediate,Beginner,r1,r1,c2,c2,0.9863843750615444,0.8918489508974362,0.9874409641123376,0.9137863354774488,0.75,r1_result.csv
12,28,Intermediate,Beginner,r1,r1,c2,c2,0.9863818623184472,0.894562672942698,0.981577471415015,0.9063874683361792,0.7641844812058587,r1_result.csv
12,37,Intermediate,Beginner,r1,r1,c2,c2,0.9877731700307308,0.8860312902193866,0.9841453720514626,0.9329829532809852,0.7429906542056075,r1_result.csv
