exp_a,exp_b,stimulus,expertise_a,expertise_b,score
27,180,vehicle,low,low,0.8610635935911951
27,182,vehicle,low,low,0.904836447896593
27,128,vehicle,low,low,0.9318492655275322
27,172,vehicle,low,low,0.8948102373484247
27,164,vehicle,low,low,0.8238070509980704
27,200,vehicle,low,low,0.8407636220142249
29,34,vehicle,low,low,0.81192693205739
27,183,vehicle,low,low,0.8755101951219068
27,124,vehicle,low,low,0.8664965702512879
27,170,vehicle,low,low,0.8869084712075042
27,132,vehicle,low,low,0.8825014867279837
29,56,vehicle,low,low,0.8107237823839543
29,78,vehicle,low,low,0.8229258828295819
29,35,vehicle,low,low,0.8488496399988322
29,37,vehicle,low,low,0.8066431938584793
29,63,vehicle,low,low,0.8310493177979287
29,41,vehicle,low,low,0.8271564189772742
29,44,vehicle,low,low,0.8347110188418524
29,65,vehicle,low,low,0.8602022065193565
29,114,vehicle,low,low,0.8203676864711525
29,104,vehicle,low,low,0.8409739521578802
29,74,vehicle,low,low,0.813378483476451
29,139,vehicle,low,low,0.8328025525239162
29,124,vehicle,low,low,0.7836873848753036
29,126,vehicle,low,low,0.8033644478863026
29,164,vehicle,low,low,0.7913420598902632
29,94,vehicle,low,low,0.7791848844185125
29,132,vehicle,low,low,0.7895506679268883
29,31,vehicle,low,low,0.8215037392130959
29,64,vehicle,low,low,0.833752929404574
29,43,vehicle,low,low,0.8097611206538152
29,180,vehicle,low,low,0.7874013365374951
29,170,vehicle,low,low,0.8184254335115493
29,128,vehicle,low,low,0.8301687577355382
29,200,vehicle,low,low,0.8179552775208473
29,140,vehicle,low,low,0.8130513453477862
29,176,vehicle,low,low,0.8282321016182669
29,179,vehicle,low,low,0.8017833497708815
29,77,vehicle,low,low,0.8592095952995203
29,60,vehicle,low,low,0.8325174277990574
29,79,vehicle,low,low,0.8160144489486599
29,182,vehicle,low,low,0.8359583555969018
29,172,vehicle,low,low,0.7559611924538412
31,56,vehicle,low,low,0.7658384813948728
31,35,vehicle,low,low,0.7536018871097914
29,99,vehicle,low,low,0.8291301536254396
31,74,vehicle,low,low,0.7681598215021267
31,41,vehicle,low,low,0.7172861580901797
31,43,vehicle,low,low,0.7830525675381327
31,44,vehicle,low,low,0.7380924773124024
31,63,vehicle,low,low,0.7965634313411949
31,37,vehicle,low,low,0.7666952748604653
31,65,vehicle,low,low,0.8688330212297073
31,94,vehicle,low,low,0.8090586268827714
31,114,vehicle,low,low,0.7844303863563945
31,78,vehicle,low,low,0.784896456372282
29,183,vehicle,low,low,0.7786854539517271
31,60,vehicle,low,low,0.7381936052188228
31,104,vehicle,low,low,0.8532663178256762
31,77,vehicle,low,low,0.7318335590381057
31,34,vehicle,low,low,0.7964540782793789
31,124,vehicle,low,low,0.7834793784145769
31,140,vehicle,low,low,0.7515046777706946
31,132,vehicle,low,low,0.8118491935929826
31,139,vehicle,low,low,0.772756988403214
31,164,vehicle,low,low,0.7774080069034979
31,79,vehicle,low,low,0.733952258223709
31,180,vehicle,low,low,0.7489069747277837
31,200,vehicle,low,low,0.8078153058674786
31,99,vehicle,low,low,0.7705655147355552
34,35,vehicle,low,low,0.7827887188921123
31,183,vehicle,low,low,0.7307810928528937
31,179,vehicle,low,low,0.7671740600957861
31,176,vehicle,low,low,0.7573906733548781
34,43,vehicle,low,low,0.8198896004980001
