exp_a,exp_b,stimulus,expertise_a,expertise_b,score
16,88,vehicle,medium,medium,0.8717546679474338
16,54,vehicle,medium,medium,0.8014914662126957
16,75,vehicle,medium,medium,0.8091775814066048
16,50,vehicle,medium,medium,0.8275920271427305
16,42,vehicle,medium,medium,0.8878913988727053
16,73,vehicle,medium,medium,0.7697698711438111
16,81,vehicle,medium,medium,0.8068550246904215
16,84,vehicle,medium,medium,0.7547363184847713
16,108,vehicle,medium,medium,0.8867301712420463
16,91,vehicle,medium,medium,0.7414129089326341
16,53,vehicle,medium,medium,0.8425845236016425
16,105,vehicle,medium,medium,0.8187013123295684
16,18,vehicle,medium,medium,0.7862649056801876
16,143,vehicle,medium,medium,0.7601063467607045
16,133,vehicle,medium,medium,0.7724671841925718
16,115,vehicle,medium,medium,0.7761047380650008
16,58,vehicle,medium,medium,0.7924694561978339
16,135,vehicle,medium,medium,0.8087172909482582
16,142,vehicle,medium,medium,0.7716673576406323
16,147,vehicle,medium,medium,0.7934523842548894
16,40,vehicle,medium,medium,0.8070993816832859
16,57,vehicle,medium,medium,0.801385650526688
16,190,vehicle,medium,medium,0.7855863361604789
16,72,vehicle,medium,medium,0.7921636029318379
16,155,vehicle,medium,medium,0.7803482347579576
16,169,vehicle,medium,medium,0.8113417879482057
16,203,vehicle,medium,medium,0.928386024835087
16,158,vehicle,medium,medium,0.7511310174601091
16,24,vehicle,medium,medium,0.7686594078370447
16,61,vehicle,medium,medium,0.7768851609893518
16,171,vehicle,medium,medium,0.7801484736785889
16,166,vehicle,medium,medium,0.8539429780386387
16,197,vehicle,medium,medium,0.7994064188139784
17,19,vehicle,medium,medium,0.842447051215891
16,210,vehicle,medium,medium,0.7977786617176501
16,206,vehicle,medium,medium,0.7644469129524963
16,117,vehicle,medium,medium,0.7508783249126458
17,18,vehicle,medium,medium,0.7871240024672645
16,207,vehicle,medium,medium,0.7134492024990872
17,24,vehicle,medium,medium,0.7695483605030101
17,20,vehicle,medium,medium,0.7673650816871803
17,42,vehicle,medium,medium,0.8582999112135421
17,32,vehicle,medium,medium,0.7428893862141994
17,25,vehicle,medium,medium,0.7752769368670597
17,40,vehicle,medium,medium,0.7706308487428556
17,51,vehicle,medium,medium,0.7772183308138466
17,54,vehicle,medium,medium,0.8208333334849804
17,53,vehicle,medium,medium,0.8242460254780569
16,83,vehicle,medium,medium,0.7755760320599759
17,58,vehicle,medium,medium,0.808023666580694
17,57,vehicle,medium,medium,0.7606480651983915
17,50,vehicle,medium,medium,0.8117393962631596
17,62,vehicle,medium,medium,0.8599683869592937
17,61,vehicle,medium,medium,0.7807518622304337
17,70,vehicle,medium,medium,0.8221544188148597
17,55,vehicle,medium,medium,0.7989359821584959
16,192,vehicle,medium,medium,0.8124459323874462
17,33,vehicle,medium,medium,0.7902990496061603
17,66,vehicle,medium,medium,0.8721186643311176
17,72,vehicle,medium,medium,0.7926386665324662
17,75,vehicle,medium,medium,0.8290356335993923
17,84,vehicle,medium,medium,0.7462924093852699
16,97,vehicle,medium,medium,0.7620744443920467
17,81,vehicle,medium,medium,0.8225078773996984
17,83,vehicle,medium,medium,0.7607927304341765
17,105,vehicle,medium,medium,0.7907530695553964
17,108,vehicle,medium,medium,0.8631753300833729
17,97,vehicle,medium,medium,0.7568596939118692
16,145,vehicle,medium,medium,0.7765359761111434
16,214,vehicle,medium,medium,0.793586412897598
17,143,vehicle,medium,medium,0.7364601641590434
17,142,vehicle,medium,medium,0.7730954386839753
17,115,vehicle,medium,medium,0.7966638382758446
17,133,vehicle,medium,medium,0.7582071824527113
17,135,vehicle,medium,medium,0.8022491384951991
17,147,vehicle,medium,medium,0.7839218596943449
16,168,vehicle,medium,medium,0.8169395474271949
17,88,vehicle,medium,medium,0.8343566982400915
16,191,vehicle,medium,medium,0.7508147116466176
17,155,vehicle,medium,medium,0.7939551837373799
16,151,vehicle,medium,medium,0.7950980239869522
17,169,vehicle,medium,medium,0.8130966009660644
17,158,vehicle,medium,medium,0.7458173393439745
17,166,vehicle,medium,medium,0.8459302489095587
17,168,vehicle,medium,medium,0.8046917455824548
17,203,vehicle,medium,medium,0.8983061790117602
17,192,vehicle,medium,medium,0.8391321031507016
16,202,vehicle,medium,medium,0.7904324987353607
16,215,vehicle,medium,medium,0.8049397170649087
17,210,vehicle,medium,medium,0.7975874941041716
16,89,vehicle,medium,medium,0.7709480340380304
17,206,vehicle,medium,medium,0.7938777947391039
17,89,vehicle,medium,medium,0.7967106526385265
17,207,vehicle,medium,medium,0.7513134146916696
17,151,vehicle,medium,medium,0.8092347229204772
17,73,vehicle,medium,medium,0.8001101967537159
18,20,vehicle,medium,medium,0.820492379169788
17,190,vehicle,medium,medium,0.7821072732061586
18,40,vehicle,medium,medium,0.7887078637981692
17,91,vehicle,medium,medium,0.7557563384840867
17,202,vehicle,medium,medium,0.8365163435411008
17,197,vehicle,medium,medium,0.8235537944455981
17,214,vehicle,medium,medium,0.8268357675397051
18,33,vehicle,medium,medium,0.8478815547764886
18,25,vehicle,medium,medium,0.8377495939736965
18,53,vehicle,medium,medium,0.76794532609192
18,66,vehicle,medium,medium,0.9025334237657123
17,117,vehicle,medium,medium,0.7479570035529187
18,62,vehicle,medium,medium,0.8469502328779068
17,215,vehicle,medium,medium,0.798570117259639
18,58,vehicle,medium,medium,0.8372207293710657
18,50,vehicle,medium,medium,0.8379439196789777
18,61,vehicle,medium,medium,0.7945941280102695
18,70,vehicle,medium,medium,0.8510039308109156
18,55,vehicle,medium,medium,0.8328308118343745
17,145,vehicle,medium,medium,0.7793000768502865
18,19,vehicle,medium,medium,0.8207276550052941
18,42,vehicle,medium,medium,0.866793680372684
18,88,vehicle,medium,medium,0.8609450426426623
18,51,vehicle,medium,medium,0.8002975363765528
18,24,vehicle,medium,medium,0.8295218980295292
18,84,vehicle,medium,medium,0.7853433372922897
18,57,vehicle,medium,medium,0.810269673826166
18,73,vehicle,medium,medium,0.8271095132634292
18,81,vehicle,medium,medium,0.7814426668492571
18,108,vehicle,medium,medium,0.8503526838028549
18,83,vehicle,medium,medium,0.817153363321541
17,191,vehicle,medium,medium,0.7492829420614044
18,54,vehicle,medium,medium,0.7947578782986806
18,143,vehicle,medium,medium,0.8214922339395234
17,171,vehicle,medium,medium,0.7853437149213625
18,32,vehicle,medium,medium,0.798754427236586
18,89,vehicle,medium,medium,0.8191104803426529
18,147,vehicle,medium,medium,0.8329279014289312
18,145,vehicle,medium,medium,0.8232145507468196
18,155,vehicle,medium,medium,0.8224194153050267
18,133,vehicle,medium,medium,0.8141414403499435
18,190,vehicle,medium,medium,0.8191379928655252
18,75,vehicle,medium,medium,0.8206084591959737
18,169,vehicle,medium,medium,0.7877926678013231
18,203,vehicle,medium,medium,0.8902820419755975
18,158,vehicle,medium,medium,0.7847672180012873
18,191,vehicle,medium,medium,0.790524565495395
18,168,vehicle,medium,medium,0.8084437179553379
18,197,vehicle,medium,medium,0.7816264913829497
18,115,vehicle,medium,medium,0.8254444432367964
18,210,vehicle,medium,medium,0.8413866496145563
18,117,vehicle,medium,medium,0.8023037058244122
18,91,vehicle,medium,medium,0.8407891371668934
18,142,vehicle,medium,medium,0.8183366456513145
19,20,vehicle,medium,medium,0.8628001346831548
18,105,vehicle,medium,medium,0.8369725997872389
18,207,vehicle,medium,medium,0.8179831657888462
18,151,vehicle,medium,medium,0.8602178317033429
19,24,vehicle,medium,medium,0.8730697401769929
19,40,vehicle,medium,medium,0.7843749910784605
19,51,vehicle,medium,medium,0.8304754499109879
19,53,vehicle,medium,medium,0.7793858514763606
19,54,vehicle,medium,medium,0.8066706583060801
18,215,vehicle,medium,medium,0.814849964511537
18,171,vehicle,medium,medium,0.8274871910141766
19,50,vehicle,medium,medium,0.8671721811381732
19,57,vehicle,medium,medium,0.8380046080734688
19,58,vehicle,medium,medium,0.8535780301500208
18,135,vehicle,medium,medium,0.8246159698137934
19,66,vehicle,medium,medium,0.8953214997771515
19,55,vehicle,medium,medium,0.8999473318272377
19,70,vehicle,medium,medium,0.8546310966893517
19,61,vehicle,medium,medium,0.8408470288305995
19,32,vehicle,medium,medium,0.8518131093805982
19,42,vehicle,medium,medium,0.8519292776939761
19,33,vehicle,medium,medium,0.857417850570945
19,75,vehicle,medium,medium,0.8326551475877144
18,192,vehicle,medium,medium,0.8072373760710004
19,83,vehicle,medium,medium,0.837564998379114
18,214,vehicle,medium,medium,0.8531872865650335
19,84,vehicle,medium,medium,0.8384934145036288
19,81,vehicle,medium,medium,0.8301671533716319
19,62,vehicle,medium,medium,0.833386004137636
19,108,vehicle,medium,medium,0.8486725164924613
19,91,vehicle,medium,medium,0.865204738566977
18,97,vehicle,medium,medium,0.8034579575159428
19,117,vehicle,medium,medium,0.8391912530329052
19,97,vehicle,medium,medium,0.8048764611106569
19,143,vehicle,medium,medium,0.8459601088339046
19,72,vehicle,medium,medium,0.8417226995593425
19,133,vehicle,medium,medium,0.8284378257149895
19,115,vehicle,medium,medium,0.8631127091686966
18,72,vehicle,medium,medium,0.8059998766440255
19,88,vehicle,medium,medium,0.8644848699160803
19,147,vehicle,medium,medium,0.842411714500032
19,135,vehicle,medium,medium,0.8591448918404508
19,190,vehicle,medium,medium,0.8156496890824783
19,73,vehicle,medium,medium,0.8593087775506623
19,155,vehicle,medium,medium,0.8128346311803483
19,25,vehicle,medium,medium,0.8529706426828013
19,192,vehicle,medium,medium,0.8265212367478884
19,168,vehicle,medium,medium,0.8363377310976255
19,166,vehicle,medium,medium,0.8589652870209792
19,191,vehicle,medium,medium,0.8240690936566555
19,203,vehicle,medium,medium,0.8393641793904176
19,210,vehicle,medium,medium,0.8195546022482341
19,197,vehicle,medium,medium,0.8379410815190454
19,105,vehicle,medium,medium,0.8253305446483143
19,206,vehicle,medium,medium,0.8548225111072124
19,151,vehicle,medium,medium,0.8972949613253697
19,207,vehicle,medium,medium,0.843855886546329
19,215,vehicle,medium,medium,0.8471795582903542
19,158,vehicle,medium,medium,0.850909209799376
18,166,vehicle,medium,medium,0.8441412407763036
20,24,vehicle,medium,medium,0.7736421359326323
20,42,vehicle,medium,medium,0.8606272104851311
19,142,vehicle,medium,medium,0.8441748086625898
19,169,vehicle,medium,medium,0.7640781347888234
20,40,vehicle,medium,medium,0.812970326254625
18,206,vehicle,medium,medium,0.8369232589204126
20,25,vehicle,medium,medium,0.7477994213897172
20,54,vehicle,medium,medium,0.7849953441599318
20,33,vehicle,medium,medium,0.812335662148234
19,145,vehicle,medium,medium,0.8413123589413022
20,66,vehicle,medium,medium,0.8801615558806685
20,51,vehicle,medium,medium,0.802714243664189
20,61,vehicle,medium,medium,0.780766328176484
18,202,vehicle,medium,medium,0.8253795644354128
20,50,vehicle,medium,medium,0.8402621231954234
20,70,vehicle,medium,medium,0.831079583582096
19,171,vehicle,medium,medium,0.8814904986425259
20,88,vehicle,medium,medium,0.857107928414873
19,89,vehicle,medium,medium,0.8806271101848276
20,55,vehicle,medium,medium,0.830407883841294
20,75,vehicle,medium,medium,0.8364829445979571
20,72,vehicle,medium,medium,0.8298585873203393
19,214,vehicle,medium,medium,0.8989032748248101
20,83,vehicle,medium,medium,0.8185297054878958
20,108,vehicle,medium,medium,0.871133953146586
20,62,vehicle,medium,medium,0.8388147205702331
20,53,vehicle,medium,medium,0.8414526664084704
20,89,vehicle,medium,medium,0.7939465769718571
20,97,vehicle,medium,medium,0.7639989619096519
20,117,vehicle,medium,medium,0.7705691827937132
20,142,vehicle,medium,medium,0.7334639644354727
20,58,vehicle,medium,medium,0.7896083484521929
20,115,vehicle,medium,medium,0.7957431622576261
20,133,vehicle,medium,medium,0.7973247760356015
20,84,vehicle,medium,medium,0.759083783936912
20,32,vehicle,medium,medium,0.7552492636407875
20,147,vehicle,medium,medium,0.7986136840477207
20,57,vehicle,medium,medium,0.8413804975923627
20,155,vehicle,medium,medium,0.7805294696041549
20,81,vehicle,medium,medium,0.8155778457348224
20,169,vehicle,medium,medium,0.8170968703713741
20,190,vehicle,medium,medium,0.7415966752796
20,158,vehicle,medium,medium,0.7792114895855657
20,203,vehicle,medium,medium,0.9018850514878567
20,168,vehicle,medium,medium,0.821341917946579
19,202,vehicle,medium,medium,0.8775140327214416
20,105,vehicle,medium,medium,0.7952279864101063
20,197,vehicle,medium,medium,0.8222660760340578
20,143,vehicle,medium,medium,0.7564422710456384
20,210,vehicle,medium,medium,0.7623860091792707
20,135,vehicle,medium,medium,0.8146617017080456
20,206,vehicle,medium,medium,0.7840916027043923
20,207,vehicle,medium,medium,0.7652496950335308
20,151,vehicle,medium,medium,0.8300533844561877
24,40,vehicle,medium,medium,0.8465418232030499
24,32,vehicle,medium,medium,0.7729261353918189
24,51,vehicle,medium,medium,0.817163091527341
20,91,vehicle,medium,medium,0.72100033065322
24,53,vehicle,medium,medium,0.8329442718261443
24,42,vehicle,medium,medium,0.8409718939429868
24,54,vehicle,medium,medium,0.8212692417843761
20,214,vehicle,medium,medium,0.8271193502322803
24,57,vehicle,medium,medium,0.8337847218601365
24,66,vehicle,medium,medium,0.8664077254132584
24,50,vehicle,medium,medium,0.811842933224432
20,171,vehicle,medium,medium,0.8022980859253791
24,61,vehicle,medium,medium,0.7912447843725281
24,70,vehicle,medium,medium,0.8115977153805817
24,55,vehicle,medium,medium,0.8294251481229387
20,192,vehicle,medium,medium,0.8124132210881368
20,73,vehicle,medium,medium,0.8235715220138441
20,145,vehicle,medium,medium,0.7758820165767607
24,75,vehicle,medium,medium,0.8496547721062718
24,88,vehicle,medium,medium,0.8347209721012039
24,72,vehicle,medium,medium,0.8099897262133106
24,84,vehicle,medium,medium,0.801745737145098
24,73,vehicle,medium,medium,0.8394280695769586
24,83,vehicle,medium,medium,0.7972983830786023
20,166,vehicle,medium,medium,0.8231930149910319
24,108,vehicle,medium,medium,0.8738747589952487
24,62,vehicle,medium,medium,0.8552380578906719
24,105,vehicle,medium,medium,0.7990954740993698
24,143,vehicle,medium,medium,0.7690584549557664
24,117,vehicle,medium,medium,0.7676944271223897
24,58,vehicle,medium,medium,0.8022750391992425
24,133,vehicle,medium,medium,0.8172762229824008
24,115,vehicle,medium,medium,0.778130336359181
20,191,vehicle,medium,medium,0.7526468173048828
24,135,vehicle,medium,medium,0.8281195378591528
24,147,vehicle,medium,medium,0.8175066651803884
24,155,vehicle,medium,medium,0.821979543953633
24,190,vehicle,medium,medium,0.7770624360776455
24,81,vehicle,medium,medium,0.8193470914644756
24,33,vehicle,medium,medium,0.8317281651674054
24,168,vehicle,medium,medium,0.8058003563886608
24,166,vehicle,medium,medium,0.8481573534729243
24,171,vehicle,medium,medium,0.8354335171477494
24,91,vehicle,medium,medium,0.7732460513880208
24,192,vehicle,medium,medium,0.8396348814064235
20,215,vehicle,medium,medium,0.8088767483939396
24,203,vehicle,medium,medium,0.9125956226696939
20,202,vehicle,medium,medium,0.8717536420321296
24,191,vehicle,medium,medium,0.7750724292085566
24,25,vehicle,medium,medium,0.7961245158809432
24,158,vehicle,medium,medium,0.7488151369529836
24,210,vehicle,medium,medium,0.8170412069594263
24,142,vehicle,medium,medium,0.8111949613394479
25,51,vehicle,medium,medium,0.8221112595592478
25,40,vehicle,medium,medium,0.8098082338725308
24,207,vehicle,medium,medium,0.8085759138870807
25,32,vehicle,medium,medium,0.7394398172179906
25,54,vehicle,medium,medium,0.8106043035800942
24,214,vehicle,medium,medium,0.8438276213009668
25,58,vehicle,medium,medium,0.7912042345842694
25,50,vehicle,medium,medium,0.8439301642205895
25,57,vehicle,medium,medium,0.8322811909866975
24,169,vehicle,medium,medium,0.830747188579045
25,66,vehicle,medium,medium,0.8450673416321293
24,206,vehicle,medium,medium,0.8323990360733288
25,62,vehicle,medium,medium,0.8470741938818669
24,97,vehicle,medium,medium,0.76369167223375
24,145,vehicle,medium,medium,0.7964354591748812
24,151,vehicle,medium,medium,0.8391193351750441
25,55,vehicle,medium,medium,0.8466254295324309
24,89,vehicle,medium,medium,0.7800725567131814
24,197,vehicle,medium,medium,0.8468572582612556
25,70,vehicle,medium,medium,0.811015119025686
