exp_a,exp_b,trial_id,Shape,Length,Direction,Position,Duration
4,3,2,0.9938357796877001,0.7182059320126446,0.9918445921842671,0.9130456885140683,0.6799999999999999
4,5,2,0.992584303617166,0.8048156741806748,0.9912045291694914,0.9153263956291828,0.631578947368421
4,12,2,0.9923539229681358,0.7385125246617461,0.9902613737032092,0.9041068489437093,0.6551724137931034
4,28,2,0.9909746951593879,0.6983939432784891,0.9873674773670648,0.9140064507570769,0.6564685314685316
4,30,2,0.9909757801518954,0.7328027113799085,0.988178818214321,0.9286943838946548,0.6363636363636364
4,36,2,0.991256785216858,0.7718118598620234,0.986420897468279,0.9382651421070596,0.657142857142857
4,38,2,0.992323900809852,0.7168105697732995,0.9913481916925398,0.890379983062547,0.6835372636262514
4,59,2,0.9919635418856918,0.7764449580073368,0.9898715225865778,0.923533750171746,0.6436507936507936
4,93,2,0.9915345947814693,0.7378232313498844,0.9854604519186946,0.8858317098730556,0.676470588235294
4,96,2,0.9924915051737779,0.788355310965605,0.9894210219201496,0.9197201397449817,0.6363636363636365
4,106,2,0.9900802054794674,0.7035226778461245,0.988480578731618,0.9317966750722949,0.6363636363636365
4,110,2,0.9931493809801618,0.7343740367403953,0.9896137931659692,0.9195243425266968,0.6956521739130435
4,116,2,0.9924377078862354,0.8247218977681607,0.9900843641513287,0.918704189591723,0.6407624633431086
4,141,2,0.9913858884605804,0.8154018331958968,0.9882162906627413,0.9197070982874801,0.6363636363636365
4,154,2,0.9921999599704341,0.6341944876507093,0.9888669407953836,0.8945584996704589,0.6449579831932772
4,163,2,0.991571984243243,0.8131487817187422,0.9882021200605889,0.9340576267572139,0.6428571428571428
4,181,2,0.9931508602268065,0.7984931332310281,0.9904310776017234,0.938358704789927,0.6666666666666665
4,189,2,0.9927456213900655,0.774076594249422,0.9883479891517829,0.9359485097261885,0.6666666666666667
4,196,2,0.9905532399208062,0.7139954935518682,0.9853466272129932,0.8974643751210647,0.625
4,201,2,0.9925808726777433,0.7973340750277504,0.9901974574043769,0.9368755758148467,0.6376262626262627
4,204,2,0.9887363134779127,0.6153736102025733,0.983050116018094,0.9068494352763768,0.6228448275862069
4,211,2,0.9942700826053857,0.8258934397714681,0.9922937872995065,0.9237457289088585,0.6666666666666667
4,216,2,0.9898705987787021,0.7418049314185211,0.986741974523214,0.9361913023809106,0.6206896551724137
6,3,2,0.9937877981276206,0.7462286664246838,0.9921851580015948,0.8599425802634103,0.7407407407407407
6,5,2,0.9941155021543796,0.7098846781909285,0.9932277765671442,0.9325213990300896,0.7096774193548387
6,12,2,0.9923038914909493,0.6223650912897498,0.9894557559781842,0.8998359415669073,0.6414285714285713
6,28,2,0.9919358308015745,0.6894829104885156,0.9887544369653614,0.9234765779837386,0.6521739130434783
6,30,2,0.9914111671066741,0.7071743130495503,0.9908310150143463,0.9079104211325155,0.651910531220876
6,36,2,0.9922574514879612,0.7325098987630903,0.9910031334277625,0.9173203754105836,0.7391304347826088
6,38,2,0.9923455603165923,0.7221877468053085,0.9895617348035254,0.8541993978294092,0.736842105263158
6,59,2,0.9907929220747214,0.6818692818498369,0.9867637958941656,0.9180125500600524,0.625
6,93,2,0.9912647921227704,0.6411992010614888,0.9897968978346284,0.8760503305533328,0.6963109354413702
6,96,2,0.9926216257391315,0.6363443731017919,0.9888836905462353,0.9336577305211224,0.6
6,106,2,0.9910662047765889,0.6926644404288568,0.9884325102918515,0.8705639307175806,0.736842105263158
6,110,2,0.9928142140585949,0.7293784406666232,0.9904073686458793,0.9346469679168231,0.7142857142857142
6,116,2,0.9930950346298922,0.7631735075397748,0.9903556288389648,0.9332774421087786,0.6490740740740741
6,141,2,0.9907871562103912,0.7875705928880566,0.9885992280371754,0.9006523437386214,0.6341463414634145
6,154,2,0.9921015523642632,0.6642798242762613,0.9891169030201045,0.8722471786357877,0.7428571428571428
6,163,2,0.9902788335232537,0.7493158146430807,0.9890753900963652,0.9157983684641874,0.6666666666666665
6,181,2,0.9920843375006605,0.7382016605382566,0.9900964016677196,0.9512920659422682,0.7018518518518518
6,189,2,0.990647316018607,0.7651664516571219,0.9889599960927075,0.9159883733136264,0.6363636363636364
6,196,2,0.9897353965889807,0.6801491841436043,0.983422738279602,0.8718880091407286,0.7083333333333334
6,201,2,0.992448229881933,0.6898009660866251,0.9893907532188472,0.9220712390054829,0.7350877192982457
