exp_a,exp_b,trial_id,Shape,Length,Direction,Position,Duration
1,13,2,0.9916329342400114,0.712113537517586,0.9893521167824961,0.9169179896581189,0.627906976744186
1,21,2,0.9927666376226497,0.6565778746290194,0.9921833805316348,0.8953533418521105,0.6969696969696969
1,27,2,0.9892981417834555,0.6930474606108099,0.9816614556842311,0.9317010350950655,0.6594202898550725
1,29,2,0.9895711908974703,0.6793268150352871,0.9856684109264288,0.8798152708577316,0.7000000000000001
1,31,2,0.9917698452136053,0.7143192766459634,0.986742769836263,0.9016330012464068,0.6956521739130435
1,34,2,0.9902409791945406,0.7044740268074334,0.9874387606129642,0.9218057948394315,0.6417112299465241
1,35,2,0.9891110831844606,0.7713733625352103,0.9858511211557835,0.9245589026729195,0.5862068965517242
1,37,2,0.9916496204268771,0.6769704044150682,0.989550716920472,0.9138208162976819,0.7
1,41,2,0.9935273344309252,0.6126590608364941,0.9917798343894079,0.9157092773097681,0.7272727272727273
1,43,2,0.9924355698548181,0.6766475390089497,0.989969319039109,0.928684827805243,0.7171428571428571
1,44,2,0.9918662992075495,0.6511720922111325,0.9894893564172327,0.8894195126039696,0.7391304347826088
1,56,2,0.9900917015106998,0.6956570137438951,0.9877051922584603,0.93218876977294,0.6211556383970177
1,60,2,0.9916047691186411,0.6312089167535633,0.9889108819856539,0.9064828876161496,0.6428571428571428
1,63,2,0.991067675366283,0.7626830990419858,0.9890843813603245,0.9481566551359856,0.6666666666666665
1,64,2,0.9892238440213937,0.6240191229704237,0.9819359365020925,0.8866085636771811,0.6666666666666666
1,65,2,0.9862414876368423,0.6872371624766094,0.981710969045947,0.8555302702792833,0.7317073170731707
1,67,2,0.989748640912772,0.7289498188709477,0.9867705875708461,0.8937747535721927,0.7041666666666667
1,71,2,0.9873649943888506,0.7326327782993601,0.9813769872814249,0.9042721983644185,0.7333333333333334
1,74,2,0.9889869014079279,0.7234659921331335,0.9842667123699074,0.8966966840081143,0.6363636363636364
1,77,2,0.9921041187313946,0.766372189086954,0.989601442759253,0.8908556512003685,0.6399999999999999
1,78,2,0.9873078827767667,0.6834065763836412,0.9828690440799795,0.9260554116956319,0.6785714285714286
1,79,2,0.9925126806651041,0.724033432854011,0.9902778754234041,0.9118032068336706,0.6666666666666666
1,94,2,0.991777977676207,0.6967542659099536,0.9891468933064994,0.851094963769657,0.675
1,99,2,0.9892347875944139,0.7483900218086219,0.9874657338233473,0.9231183244891612,0.75
1,101,2,0.9883559172689763,0.8242368330941768,0.9845765561073708,0.8963995464920211,0.736842105263158
1,104,2,0.9899670120702033,0.7016944017447149,0.9873142776224877,0.8771617879838318,0.7204651162790697
1,107,2,0.9896254425115587,0.7135692712528234,0.9852722790367852,0.8944282493008394,0.6399999999999999
1,124,2,0.9928191534899448,0.6710371916781551,0.9907558994228797,0.9146902603355308,0.7018518518518518
1,126,2,0.9896589517033326,0.6029550611660436,0.9864085871692208,0.8474542508757379,0.7105263157894737
1,128,2,0.9913248051453949,0.6738793922937846,0.9897854783333101,0.9047465229680153,0.6771235521235521
1,132,2,0.9914514957832996,0.6215393413855634,0.9887711019199545,0.8928881459297364,0.736842105263158
1,138,2,0.9891072457032333,0.7332110204084967,0.9833751575155052,0.9031344257641173,0.6185031185031186
1,140,2,0.9908505861667347,0.6386367936338402,0.9896780747983829,0.9324083598428069,0.7393887945670629
1,162,2,0.9885051796185518,0.6923508337781357,0.9820903812940129,0.8765299834085799,0.6846590909090909
1,164,2,0.989097242391223,0.6490785038446621,0.9869080810888421,0.9169470577359147,0.7297297297297298
1,172,2,0.9908346510119518,0.7835536271985115,0.9878092689178032,0.9006159164885683,0.6
1,176,2,0.9922234437614091,0.6501025340182649,0.9884320318149288,0.8616400516588932,0.6774193548387097
1,179,2,0.9916030860461802,0.6585265095891003,0.9875391171443805,0.9080448210226129,0.6071428571428572
1,180,2,0.9885903893267853,0.6808867444778747,0.9851923401954935,0.921712096269943,0.6785714285714286
1,182,2,0.990125464254346,0.6426566160421847,0.9857066015522242,0.8561765182744955,0.6939799331103679
1,183,2,0.9914171569587868,0.7214275818097584,0.9886927558549891,0.8936911812672997,0.6915760869565217
1,186,2,0.991955463367611,0.7035809037532089,0.9892337379175578,0.9209827914723245,0.6363636363636364
1,200,2,0.988632393438558,0.7375769489980124,0.984613576410496,0.9083442909936712,0.6666666666666666
26,13,2,0.9906920067944094,0.728991779320117,0.9872095913407635,0.9062161583271502,0.5865704772475028
26,21,2,0.9915582662502794,0.7159655251919926,0.9883902549789778,0.9191429555180942,0.6619047619047618
26,27,2,0.9908297143840518,0.6425284839633163,0.9867778822490002,0.9104891982221135,0.5568475452196383
26,29,2,0.9901865322394021,0.6608166545455489,0.9867787923173128,0.9080928252249626,0.5957446808510638
26,31,2,0.9910546684939187,0.7149135217314853,0.9885184195921368,0.9234955087167528,0.6172161172161172
26,34,2,0.9911130861573073,0.6906213547299176,0.9888694221345015,0.9037114297801555,0.5882352941176471
26,35,2,0.9904943497608638,0.7410654029428436,0.9850856188145327,0.9302716632788328,0.631578947368421
26,37,2,0.9910663417546938,0.7195161875409712,0.9877513344521519,0.9104800357415593,0.6363636363636364
26,41,2,0.9929985247621047,0.6962262323302588,0.9905786270596081,0.910258797487075,0.6809090909090909
26,43,2,0.9922822572252331,0.6976555469977226,0.9897553252799205,0.8944366131408915,0.6086956521739131
26,44,2,0.9916267834325151,0.7156201308880739,0.9883881059631364,0.9158765803280937,0.6341463414634145
26,56,2,0.9908774551528324,0.792214647776155,0.9869322702461228,0.8904625774937767,0.6470588235294117
26,60,2,0.9914854997148757,0.7094547124668326,0.9890936403391201,0.9434490337898273,0.6153846153846154
26,63,2,0.989626191492534,0.7204911684880162,0.9860660615879099,0.8946641090070159,0.6448028673835126
26,64,2,0.9890879693299134,0.6768295318100478,0.9850592584237263,0.8763930404094589,0.6274509803921569
26,65,2,0.9872379200853608,0.6548447062400273,0.9833503309747991,0.8530327822164119,0.5935935935935936
26,67,2,0.9905739025054535,0.7590399917584224,0.989021432248048,0.9095633469534092,0.6107994389901823
26,71,2,0.9861034596392854,0.6593789619807557,0.9839211122174654,0.8770513799673748,0.6153846153846154
26,74,2,0.989107896502371,0.7244004992068597,0.9819025417603543,0.8558879423674138,0.621455938697318
26,77,2,0.9925392985169106,0.762544338525092,0.9895231529910805,0.9013165610823831,0.5806976744186048
26,78,2,0.9895468280078423,0.7278133956449591,0.9837821378559262,0.9161897980008632,0.5972972972972972
26,79,2,0.9917573569840269,0.7379401385874153,0.9894811017850498,0.9286287850247252,0.6461100569259963
26,94,2,0.9912927694534936,0.734837692859174,0.9868829310426173,0.8636872499266391,0.6129032258064516
26,99,2,0.9906629982051649,0.765686317750178,0.9874348920112019,0.9134218267955143,0.633739837398374
26,101,2,0.9888690665256004,0.7606020813940886,0.9852289879266264,0.8693748382868297,0.6176923076923077
