exp_a,exp_b,trial_id,Shape,Length,Direction,Position,Duration
1,4,2,0.9899844456804225,0.7958307731524348,0.9845849965507215,0.9025005829034243,0.6405775075987842
1,6,2,0.9906973188081677,0.7034898495550947,0.9877008502868322,0.8950888540845364,0.6833333333333333
1,14,2,0.9906585055302386,0.7549377570249147,0.9877395218404877,0.922029786624752,0.6804304304304305
1,15,2,0.9890856320786939,0.7053991436245712,0.9837671991156047,0.9046215815565338,0.6976744186046512
1,16,2,0.9900343414420242,0.690329687778698,0.9863500609174918,0.9140362000381954,0.6818181818181819
1,17,2,0.9895213981862099,0.6477729786769043,0.9876783227950534,0.9050315224697094,0.7083333333333334
1,18,2,0.9890495704745913,0.6942184829654809,0.9862298459025075,0.9011613069338051,0.6557112068965517
1,20,2,0.9916129873336132,0.6939862182355574,0.9890463246599551,0.8778239699103992,0.625
1,24,2,0.9918166159417213,0.7588963373260629,0.9892707718437248,0.8732478606010721,0.5945945945945945
1,25,2,0.9931378273284257,0.6667825545575525,0.9913310907733521,0.8883962456979999,0.6923076923076923
1,32,2,0.9915057756307087,0.7459874663960284,0.9887518825282371,0.9188478043511421,0.6545092838196287
1,33,2,0.9915203126230131,0.7648043335492696,0.9881424465597058,0.9251664806686882,0.6666666666666666
1,40,2,0.9868980522315836,0.7284976358361471,0.9817842758906387,0.9104135806743001,0.7029411764705882
1,42,2,0.9876279137869872,0.7025726842945049,0.9838802316641769,0.9326216595596016,0.7142857142857142
1,50,2,0.9901877775015622,0.6895640536787213,0.9868788244222243,0.8739827203570947,0.6923076923076923
1,51,2,0.9887834880337298,0.7448165448072451,0.9839066935986583,0.9090455359813957,0.6300751879699248
1,53,2,0.9875200002945734,0.761355426127289,0.9832208814349656,0.9198827211725794,0.7142857142857142
1,54,2,0.9883943892833423,0.7536545509130175,0.9848809098182404,0.890508573510102,0.588235294117647
1,55,2,0.9915676239721661,0.6630037708172218,0.9877567476860837,0.9010757935441507,0.5686274509803922
1,57,2,0.9892013635171789,0.7657553491876863,0.9843254333223164,0.911583951653935,0.7272727272727273
1,58,2,0.9901612197200214,0.7210886004476912,0.9874701344998126,0.9267263523279928,0.631578947368421
1,61,2,0.990295217454446,0.6794359672204726,0.9866308415366658,0.9418444009582091,0.6899038461538461
1,62,2,0.9903439732996082,0.7137913357397505,0.986905741798703,0.9119044818552946,0.6666666666666667
1,66,2,0.9859369956787637,0.6905850362362138,0.9781720675285078,0.8733351610079183,0.7236363636363636
1,72,2,0.9912370300675908,0.6310948473140076,0.9904698159635086,0.8994285968233824,0.736842105263158
1,73,2,0.991575121053774,0.6423999454569809,0.991526652809612,0.9450339046745837,0.7
1,75,2,0.9874189289530206,0.746781943222989,0.9817855476760691,0.8917790253228419,0.6
1,81,2,0.989460644867408,0.6744582636812003,0.9853534842272231,0.9058912490925511,0.6774193548387097
1,83,2,0.991105930538681,0.6628848955837756,0.9889243211686308,0.9214259167497305,0.7013513513513514
1,84,2,0.992886392070124,0.6482667490529128,0.991166176847921,0.9256883624429735,0.7250000000000001
1,88,2,0.9877911540399504,0.7338329252304676,0.9805093851922065,0.9109769212546868,0.7037037037037037
1,89,2,0.9924198549338824,0.6557867896500071,0.9903836228149097,0.8694736496789344,0.6363636363636364
1,91,2,0.9884864090255502,0.7811414391473737,0.9826645820092751,0.9176327249299858,0.5625
