exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
13,4,2,low,medium,0.11583955525539458,-0.027003286870598053,0.1314007651147726,0.12209805393384077,-0.18546182599510053
13,6,2,low,medium,0.12839809531779578,-0.010981276485105496,0.14237878963637018,0.1569649362610367,-0.19166938422064606
13,14,2,low,medium,0.11083455218308491,-0.04122785277043395,0.10241221536550149,0.1819230809100375,-0.18962147945838026
13,15,2,low,medium,0.11205692386112565,-0.07988011406542794,0.11220015995622545,0.13231474878897864,-0.19760196175568834
13,16,2,low,medium,0.12120810877429433,-0.12877036662857977,0.12268106426307868,0.16497765098191364,-0.2002882941863805
13,17,2,low,medium,0.11209896204802294,-0.08618480505747017,0.10976357476195331,0.12179371594065203,-0.18224843539170243
13,18,2,low,medium,0.10807798178112771,-0.0780083752119789,0.11253282035103518,0.12413947702793016,-0.17691493274171421
13,20,2,low,medium,0.10997188229111254,-0.03507047061398183,0.10233374896949188,0.15319095401554073,-0.19196362283769552
13,24,2,low,medium,0.11496768034087657,-0.0794856705773287,0.12268692105220658,0.0988210287782546,-0.2691467376288579
13,25,2,low,medium,0.11088550038716327,-0.08680277022620742,0.1125767636006918,0.19032404261430025,-0.18207303677453268
13,32,2,low,medium,0.12043511789605654,-0.01380879404040547,0.11922562628547473,0.1859373094319713,-0.20192930187116875
13,33,2,low,medium,0.10369975951663113,-0.060048231554455045,0.1090789094618353,0.13793675745307088,-0.18551143298462192
13,40,2,low,medium,0.12338377714960247,-0.05079426206408588,0.11535096892970409,0.14204663513163485,-0.2126767885342905
13,42,2,low,medium,0.12324771103584042,-0.045117303572033696,0.13181348357177392,0.1358731024037685,-0.24645298576748997
13,50,2,low,medium,0.10929943515716578,-0.05451771958757767,0.10951894440396237,0.09502302806789287,-0.24852417523825276
13,51,2,low,medium,0.12543843890716777,0.03369326598501621,0.18890282912990608,0.12099081043607696,-0.22957706082858498
13,53,2,low,medium,0.10843261749740618,-0.06758589222995437,0.11473296965302171,0.10045756365363046,-0.21516331751950601
13,54,2,low,medium,0.10849675885142496,-0.08676030077263386,0.09197520880589083,0.0625069665280722,-0.1914827753858661
13,55,2,low,medium,0.11358482012616922,-0.019376498821941923,0.11248873236645496,0.14930473231427233,-0.21585008080600554
13,57,2,low,medium,0.12500910658009246,0.00983742085376349,0.13756218048279034,0.16252343372985378,-0.22684209898365237
13,58,2,low,medium,0.11537819082263945,-0.03597890432021689,0.11151108472838134,0.1669231900127226,-0.24541933419504014
13,61,2,low,medium,0.10146761229529377,-0.06277079376866912,0.10422183621636838,0.1225725453084241,-0.1902433480664688
13,62,2,low,medium,0.11536714669001524,-0.05842326346746762,0.1333917035453991,0.11930467038125991,-0.1910765486574798
13,66,2,low,medium,0.13308230642259034,0.09913269379600376,0.14273923315988923,0.09867593398550123,-0.2915246322424092
13,72,2,low,medium,0.11342281017293254,-0.06359364859634042,0.11135060361899607,0.12608900975464088,-0.24564298000538465
13,73,2,low,medium,0.10584237602933999,-0.10268955304121041,0.1092099209103099,0.153136593215786,-0.210462283795954
13,75,2,low,medium,0.11368373432372048,-0.07419632052021474,0.12124562080827772,0.12828617751369398,-0.23615894892315614
13,81,2,low,medium,0.10684463851751969,-0.031335160374841076,0.10718676297075025,0.10993709615107972,-0.21364934295682847
13,83,2,low,medium,0.10949722755776214,-0.08800121103871528,0.10653638238817142,0.1245749436028567,-0.18271727230859613
13,84,2,low,medium,0.10942474611448194,-0.04965924571208369,0.10405675749787957,0.13548895643145042,-0.173768112483356
13,88,2,low,medium,0.13084063046135297,-0.06977733013990561,0.1506232761954257,0.17877735058469013,-0.2377343026775418
13,89,2,low,medium,0.11060935675737082,-0.019378049465342162,0.1154974653037375,0.16072483809694948,-0.20120496904808838
13,91,2,low,medium,0.10986425644112208,-0.037408922398412536,0.10929544570721961,0.1383126320021818,-0.20396160824196685
13,97,2,low,medium,0.10617889700972594,-0.060720340561894126,0.10742140419400747,0.14339858636671043,-0.18480207684200756
13,105,2,low,medium,0.12238873974193898,-0.059403382332004484,0.12107234291299462,0.19113306105361705,-0.24087693610710836
13,108,2,low,medium,0.12416416362182647,0.003967375385204308,0.16457305017164936,0.17183374788309658,-0.2455067270314928
13,112,2,low,medium,0.1043880314027642,-0.14332071890815845,0.1043784375809449,0.14582378994502188,-0.20910925602928998
13,115,2,low,medium,0.11672743967908583,-0.008061544616201566,0.10688464013534471,0.1548095583860578,-0.18905775093728705
13,117,2,low,medium,0.11927206484714425,-0.03073957972308805,0.10208715115128908,0.12275495391114477,-0.23875881198391802
13,120,2,low,medium,0.11771392084973042,-0.07638086315347248,0.10973458455558516,0.15976183661025678,-0.1969879168778259
13,125,2,low,medium,0.12294795543665593,-0.030117508543946236,0.13112109669370908,0.1864689816953603,-0.247758732365168
13,135,2,low,medium,0.11520567355964895,-0.11514158812203146,0.11362776874102432,0.16317169287333666,-0.17210982940552877
13,142,2,low,medium,0.10759700662288263,-0.0430634118279416,0.09007632700378954,0.13513078614551266,-0.18998850770378173
13,143,2,low,medium,0.11781945476798017,0.03566888305253069,0.1438150930186638,0.15891150914002716,-0.19610309798792802
13,145,2,low,medium,0.11862174148964977,-0.1098783524966852,0.12655298419916194,0.1309654492142991,-0.2828783749376038
13,147,2,low,medium,0.11691748951871361,-0.04640761493224366,0.10820802635223992,0.17147402543486545,-0.20422881193330156
13,151,2,low,medium,0.1162035985544434,-0.083563309401393,0.1251092667052578,0.15607333885821717,-0.1804232343785228
13,155,2,low,medium,0.11140526419670282,-0.028212014772155625,0.11925484445045853,0.13365108368409673,-0.21653000642803621
13,158,2,low,medium,0.1113643725896667,-0.03291986391738999,0.12126372607851543,0.13782192720895525,-0.17772079577935118
13,168,2,low,medium,0.11411185339693974,-0.0726838768851541,0.12266970281189316,0.14942243880327388,-0.23109101768020424
13,169,2,low,medium,0.11474880026552448,-0.04101610562521496,0.11866796118287037,0.12996021205254848,-0.24006827724666335
13,171,2,low,medium,0.11187680174660897,-0.035998552821061125,0.11572689657219692,0.16831728297775017,-0.18939684143561042
13,185,2,low,medium,0.11872675246038089,-0.03716036119706445,0.11873473907317422,0.1788120532206945,-0.19980659774175313
13,190,2,low,medium,0.10973927108868076,-0.03463562010258858,0.11658336265872538,0.17349143047992022,-0.2102002560881563
13,191,2,low,medium,0.11552423725819227,-0.024041990849763217,0.11460146834880691,0.13043923543792146,-0.17914546000250786
13,192,2,low,medium,0.11340064108276515,-0.09622058306742332,0.13857562697938386,0.1618378358820003,-0.19364653077549587
13,194,2,low,medium,0.11053120280497641,-0.07252919626038834,0.11656765749978415,0.16032848464447147,-0.18960970423758328
13,197,2,low,medium,0.10168355378022498,-0.05597883142399418,0.09367007011628303,0.15057730205250242,-0.21181588810341323
13,202,2,low,medium,0.11801662387231959,-0.05707182282896661,0.1231615879660225,0.17614018952756705,-0.1939029151043794
13,203,2,low,medium,0.12312412099849468,-0.04673874551730384,0.14414154897812304,0.14502952169098526,-0.27197337581231096
13,206,2,low,medium,0.11963584689210605,-0.0971431475569331,0.11326350007467756,0.14426750956294976,-0.18777645697038725
13,207,2,low,medium,0.11253971982089406,-0.09020778593655954,0.11280555178198781,0.1479977594811399,-0.18001793569883706
13,210,2,low,medium,0.11838586745697133,-0.027679839706752807,0.13449724034484145,0.15423823011144855,-0.21446771549801036
13,212,2,low,medium,0.10738049530070393,-0.06589900804236726,0.11761808088202075,0.1906874219717818,-0.22212051615465644
13,214,2,low,medium,0.1155093648083525,-0.11044298161243948,0.11467173772759509,0.17983372426489708,-0.18674725264828507
13,215,2,low,medium,0.10960966579569886,-0.10376495261811092,0.10792736169562345,0.07484490089279949,-0.24402418647930268
21,4,2,low,medium,0.11192456539100148,-0.007382694240729681,0.09757425204398606,0.12925158215304455,-0.15317940107346018
21,6,2,low,medium,0.11551729024176316,0.0054378228243257,0.12414737527464703,0.16563353783662904,-0.10222628037694859
21,14,2,low,medium,0.11606851002145002,-0.0745193859143749,0.13231984474769343,0.14047023925221302,-0.17482268988120175
