exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld,source_file
13,182,2,low,low,381.0,0.9525,Java_low_results.csv
21,35,2,low,low,288.0,0.9085173501577288,Java_low_results.csv
21,34,2,low,low,292.0,0.9211356466876972,Java_low_results.csv
21,31,2,low,low,304.0,0.9589905362776026,Java_low_results.csv
21,37,2,low,low,301.0,0.9495268138801262,Java_low_results.csv
21,56,2,low,low,297.0,0.9369085173501576,Java_low_results.csv
21,65,2,low,low,300.0,0.946372239747634,Java_low_results.csv
21,43,2,low,low,312.0,0.9842271293375394,Java_low_results.csv
21,71,2,low,low,296.0,0.9337539432176656,Java_low_results.csv
21,41,2,low,low,313.0,0.9842767295597484,Java_low_results.csv
21,44,2,low,low,297.0,0.9369085173501576,Java_low_results.csv
21,67,2,low,low,287.0,0.9053627760252366,Java_low_results.csv
21,74,2,low,low,291.0,0.917981072555205,Java_low_results.csv
21,63,2,low,low,307.0,0.9684542586750788,Java_low_results.csv
21,78,2,low,low,293.0,0.9242902208201892,Java_low_results.csv
21,60,2,low,low,303.0,0.9558359621451104,Java_low_results.csv
21,94,2,low,low,281.0,0.886435331230284,Java_low_results.csv
21,99,2,low,low,276.0,0.8706624605678234,Java_low_results.csv
21,101,2,low,low,273.0,0.861198738170347,Java_low_results.csv
21,79,2,low,low,308.0,0.9716088328075708,Java_low_results.csv
21,107,2,low,low,275.0,0.8675078864353313,Java_low_results.csv
21,104,2,low,low,309.0,0.9747634069400632,Java_low_results.csv
21,77,2,low,low,365.0,0.9383033419023136,Java_low_results.csv
21,64,2,low,low,548.0,0.9256756756756755,Java_low_results.csv
21,128,2,low,low,305.0,0.9621451104100948,Java_low_results.csv
21,124,2,low,low,306.0,0.9652996845425869,Java_low_results.csv
21,138,2,low,low,294.0,0.9274447949526814,Java_low_results.csv
21,126,2,low,low,305.0,0.9561128526645768,Java_low_results.csv
21,140,2,low,low,310.0,0.9779179810725552,Java_low_results.csv
21,164,2,low,low,307.0,0.9684542586750788,Java_low_results.csv
21,172,2,low,low,282.0,0.889589905362776,Java_low_results.csv
21,162,2,low,low,303.0,0.9558359621451104,Java_low_results.csv
21,180,2,low,low,286.0,0.9022082018927444,Java_low_results.csv
21,132,2,low,low,362.0,0.8850855745721271,Java_low_results.csv
27,29,2,low,low,165.0,0.9016393442622952,Java_low_results.csv
27,31,2,low,low,253.0,0.906810035842294,Java_low_results.csv
27,34,2,low,low,187.0,0.9166666666666666,Java_low_results.csv
21,200,2,low,low,299.0,0.943217665615142,Java_low_results.csv
27,35,2,low,low,154.0,0.9005847953216374,Java_low_results.csv
21,179,2,low,low,366.0,0.9556135770234988,Java_low_results.csv
27,37,2,low,low,190.0,0.8715596330275229,Java_low_results.csv
21,186,2,low,low,287.0,0.9053627760252366,Java_low_results.csv
27,41,2,low,low,288.0,0.9056603773584906,Java_low_results.csv
21,183,2,low,low,310.0,0.9779179810725552,Java_low_results.csv
27,56,2,low,low,130.0,0.8904109589041096,Java_low_results.csv
27,43,2,low,low,262.0,0.903448275862069,Java_low_results.csv
27,44,2,low,low,257.0,0.8771331058020477,Java_low_results.csv
27,65,2,low,low,64.0,0.9014084507042254,Java_low_results.csv
27,60,2,low,low,274.0,0.8954248366013072,Java_low_results.csv
27,71,2,low,low,87.0,0.9775280898876404,Java_low_results.csv
21,176,2,low,low,430.0,0.8531746031746031,Java_low_results.csv
27,74,2,low,low,91.0,0.91,Java_low_results.csv
27,63,2,low,low,226.0,0.8692307692307693,Java_low_results.csv
27,67,2,low,low,141.0,0.8980891719745223,Java_low_results.csv
27,78,2,low,low,79.0,0.8404255319148937,Java_low_results.csv
27,94,2,low,low,116.0,0.8923076923076924,Java_low_results.csv
27,99,2,low,low,157.0,0.907514450867052,Java_low_results.csv
27,101,2,low,low,147.0,0.930379746835443,Java_low_results.csv
21,182,2,low,low,391.0,0.9775,Java_low_results.csv
27,79,2,low,low,283.0,0.9129032258064516,Java_low_results.csv
27,77,2,low,low,341.0,0.8766066838046273,Java_low_results.csv
27,64,2,low,low,540.0,0.9121621621621622,Java_low_results.csv
27,104,2,low,low,260.0,0.9154929577464788,Java_low_results.csv
27,107,2,low,low,187.0,0.8990384615384616,Java_low_results.csv
27,128,2,low,low,222.0,0.9135802469135802,Java_low_results.csv
27,124,2,low,low,257.0,0.9017543859649124,Java_low_results.csv
27,138,2,low,low,142.0,0.8819875776397516,Java_low_results.csv
27,126,2,low,low,293.0,0.9184952978056428,Java_low_results.csv
27,162,2,low,low,244.0,0.9242424242424242,Java_low_results.csv
27,164,2,low,low,196.0,0.8340425531914893,Java_low_results.csv
27,140,2,low,low,199.0,0.8963963963963963,Java_low_results.csv
27,132,2,low,low,380.0,0.9290953545232272,Java_low_results.csv
27,172,2,low,low,156.0,0.896551724137931,Java_low_results.csv
27,180,2,low,low,138.0,0.8734177215189873,Java_low_results.csv
27,186,2,low,low,215.0,0.9388646288209608,Java_low_results.csv
27,200,2,low,low,153.0,0.864406779661017,Java_low_results.csv
27,179,2,low,low,357.0,0.9321148825065274,Java_low_results.csv
27,183,2,low,low,250.0,0.8928571428571429,Java_low_results.csv
27,176,2,low,low,470.0,0.9325396825396826,Java_low_results.csv
27,182,2,low,low,361.0,0.9025,Java_low_results.csv
29,34,2,low,low,188.0,0.9215686274509804,Java_low_results.csv
29,35,2,low,low,176.0,0.9617486338797814,Java_low_results.csv
29,31,2,low,low,259.0,0.92831541218638,Java_low_results.csv
29,56,2,low,low,163.0,0.8907103825136612,Java_low_results.csv
29,37,2,low,low,198.0,0.908256880733945,Java_low_results.csv
29,65,2,low,low,168.0,0.918032786885246,Java_low_results.csv
29,41,2,low,low,305.0,0.959119496855346,Java_low_results.csv
29,43,2,low,low,257.0,0.8862068965517241,Java_low_results.csv
29,44,2,low,low,259.0,0.8839590443686007,Java_low_results.csv
29,71,2,low,low,174.0,0.9508196721311476,Java_low_results.csv
29,67,2,low,low,179.0,0.9781420765027322,Java_low_results.csv
29,74,2,low,low,171.0,0.9344262295081968,Java_low_results.csv
29,78,2,low,low,166.0,0.907103825136612,Java_low_results.csv
29,63,2,low,low,226.0,0.8692307692307693,Java_low_results.csv
29,60,2,low,low,268.0,0.8758169934640523,Java_low_results.csv
29,94,2,low,low,165.0,0.9016393442622952,Java_low_results.csv
29,99,2,low,low,174.0,0.9508196721311476,Java_low_results.csv
29,101,2,low,low,173.0,0.9453551912568308,Java_low_results.csv
29,107,2,low,low,197.0,0.9471153846153846,Java_low_results.csv
29,79,2,low,low,269.0,0.867741935483871,Java_low_results.csv
29,77,2,low,low,341.0,0.8766066838046273,Java_low_results.csv
29,104,2,low,low,266.0,0.9366197183098592,Java_low_results.csv
29,64,2,low,low,532.0,0.8986486486486487,Java_low_results.csv
29,124,2,low,low,245.0,0.8596491228070176,Java_low_results.csv
29,138,2,low,low,177.0,0.9672131147540984,Java_low_results.csv
29,128,2,low,low,226.0,0.9300411522633744,Java_low_results.csv
29,126,2,low,low,274.0,0.8589341692789969,Java_low_results.csv
29,140,2,low,low,204.0,0.918918918918919,Java_low_results.csv
29,172,2,low,low,155.0,0.8469945355191257,Java_low_results.csv
29,164,2,low,low,211.0,0.8978723404255319,Java_low_results.csv
29,162,2,low,low,248.0,0.9393939393939394,Java_low_results.csv
29,132,2,low,low,378.0,0.9242053789731052,Java_low_results.csv
29,180,2,low,low,165.0,0.9016393442622952,Java_low_results.csv
29,200,2,low,low,168.0,0.918032786885246,Java_low_results.csv
29,186,2,low,low,217.0,0.9475982532751092,Java_low_results.csv
29,179,2,low,low,320.0,0.835509138381201,Java_low_results.csv
29,183,2,low,low,240.0,0.8571428571428571,Java_low_results.csv
31,35,2,low,low,225.0,0.8064516129032258,Java_low_results.csv
29,176,2,low,low,468.0,0.9285714285714286,Java_low_results.csv
29,182,2,low,low,357.0,0.8925,Java_low_results.csv
31,34,2,low,low,259.0,0.92831541218638,Java_low_results.csv
31,37,2,low,low,251.0,0.899641577060932,Java_low_results.csv
31,56,2,low,low,262.0,0.9390681003584228,Java_low_results.csv
31,65,2,low,low,265.0,0.949820788530466,Java_low_results.csv
31,43,2,low,low,276.0,0.9517241379310344,Java_low_results.csv
31,44,2,low,low,280.0,0.955631399317406,Java_low_results.csv
31,41,2,low,low,282.0,0.8867924528301887,Java_low_results.csv
31,71,2,low,low,262.0,0.9390681003584228,Java_low_results.csv
31,63,2,low,low,256.0,0.9175627240143368,Java_low_results.csv
31,60,2,low,low,295.0,0.9640522875816994,Java_low_results.csv
31,67,2,low,low,247.0,0.8853046594982079,Java_low_results.csv
31,74,2,low,low,250.0,0.8960573476702509,Java_low_results.csv
31,78,2,low,low,255.0,0.913978494623656,Java_low_results.csv
31,94,2,low,low,252.0,0.9032258064516128,Java_low_results.csv
31,101,2,low,low,244.0,0.8745519713261649,Java_low_results.csv
31,99,2,low,low,235.0,0.8422939068100358,Java_low_results.csv
31,107,2,low,low,242.0,0.8673835125448028,Java_low_results.csv
31,79,2,low,low,290.0,0.935483870967742,Java_low_results.csv
31,104,2,low,low,264.0,0.9295774647887324,Java_low_results.csv
31,64,2,low,low,553.0,0.9341216216216216,Java_low_results.csv
31,77,2,low,low,354.0,0.910025706940874,Java_low_results.csv
31,124,2,low,low,272.0,0.9543859649122808,Java_low_results.csv
31,128,2,low,low,249.0,0.8924731182795699,Java_low_results.csv
31,138,2,low,low,242.0,0.8673835125448028,Java_low_results.csv
31,126,2,low,low,308.0,0.9655172413793104,Java_low_results.csv
31,140,2,low,low,258.0,0.9247311827956988,Java_low_results.csv
31,162,2,low,low,256.0,0.9175627240143368,Java_low_results.csv
31,164,2,low,low,260.0,0.931899641577061,Java_low_results.csv
31,180,2,low,low,256.0,0.9175627240143368,Java_low_results.csv
31,172,2,low,low,253.0,0.906810035842294,Java_low_results.csv
31,132,2,low,low,377.0,0.921760391198044,Java_low_results.csv
34,35,2,low,low,198.0,0.9705882352941176,Java_low_results.csv
31,200,2,low,low,259.0,0.92831541218638,Java_low_results.csv
34,37,2,low,low,207.0,0.9495412844036696,Java_low_results.csv
31,186,2,low,low,238.0,0.8530465949820788,Java_low_results.csv
31,179,2,low,low,350.0,0.9138381201044388,Java_low_results.csv
31,183,2,low,low,273.0,0.975,Java_low_results.csv
31,176,2,low,low,447.0,0.8869047619047619,Java_low_results.csv
31,182,2,low,low,373.0,0.9325,Java_low_results.csv
34,56,2,low,low,172.0,0.8431372549019608,Java_low_results.csv
34,65,2,low,low,192.0,0.9411764705882352,Java_low_results.csv
34,41,2,low,low,295.0,0.9276729559748428,Java_low_results.csv
34,43,2,low,low,257.0,0.8862068965517241,Java_low_results.csv
34,44,2,low,low,245.0,0.8361774744027304,Java_low_results.csv
34,71,2,low,low,192.0,0.9411764705882352,Java_low_results.csv
34,63,2,low,low,232.0,0.8923076923076924,Java_low_results.csv
34,74,2,low,low,194.0,0.9509803921568628,Java_low_results.csv
34,60,2,low,low,275.0,0.8986928104575164,Java_low_results.csv
34,67,2,low,low,191.0,0.9362745098039216,Java_low_results.csv
34,78,2,low,low,188.0,0.9215686274509804,Java_low_results.csv
34,94,2,low,low,182.0,0.8921568627450981,Java_low_results.csv
34,101,2,low,low,190.0,0.931372549019608,Java_low_results.csv
34,99,2,low,low,187.0,0.9166666666666666,Java_low_results.csv
34,104,2,low,low,257.0,0.9049295774647887,Java_low_results.csv
34,107,2,low,low,201.0,0.966346153846154,Java_low_results.csv
34,79,2,low,low,264.0,0.8516129032258064,Java_low_results.csv
34,77,2,low,low,323.0,0.8303341902313625,Java_low_results.csv
34,64,2,low,low,518.0,0.875,Java_low_results.csv
34,124,2,low,low,253.0,0.887719298245614,Java_low_results.csv
34,128,2,low,low,230.0,0.9465020576131687,Java_low_results.csv
34,138,2,low,low,196.0,0.9607843137254902,Java_low_results.csv
34,126,2,low,low,278.0,0.8714733542319749,Java_low_results.csv
34,140,2,low,low,206.0,0.927927927927928,Java_low_results.csv
34,162,2,low,low,251.0,0.9507575757575758,Java_low_results.csv
34,172,2,low,low,186.0,0.9117647058823528,Java_low_results.csv
34,164,2,low,low,220.0,0.9361702127659576,Java_low_results.csv
34,180,2,low,low,177.0,0.8676470588235294,Java_low_results.csv
34,132,2,low,low,381.0,0.9315403422982884,Java_low_results.csv
34,200,2,low,low,195.0,0.9558823529411764,Java_low_results.csv
34,186,2,low,low,218.0,0.9519650655021834,Java_low_results.csv
35,37,2,low,low,186.0,0.8532110091743119,Java_low_results.csv
34,179,2,low,low,343.0,0.8955613577023499,Java_low_results.csv
34,183,2,low,low,259.0,0.925,Java_low_results.csv
34,182,2,low,low,361.0,0.9025,Java_low_results.csv
35,41,2,low,low,262.0,0.8238993710691824,Java_low_results.csv
34,176,2,low,low,472.0,0.9365079365079364,Java_low_results.csv
35,56,2,low,low,161.0,0.9415204678362572,Java_low_results.csv
35,65,2,low,low,160.0,0.935672514619883,Java_low_results.csv
35,71,2,low,low,158.0,0.9239766081871345,Java_low_results.csv
35,43,2,low,low,271.0,0.9344827586206896,Java_low_results.csv
35,44,2,low,low,275.0,0.938566552901024,Java_low_results.csv
35,74,2,low,low,146.0,0.8538011695906432,Java_low_results.csv
35,67,2,low,low,159.0,0.9298245614035088,Java_low_results.csv
35,63,2,low,low,237.0,0.9115384615384616,Java_low_results.csv
35,60,2,low,low,279.0,0.9117647058823528,Java_low_results.csv
35,78,2,low,low,155.0,0.9064327485380116,Java_low_results.csv
