exp_a,exp_b,trial_id,expertise_a,expertise_b,distance,score,source_file
13,104,5,low,low,480.0,0.8695652173913043,Java_low_results.csv
13,139,5,low,low,486.0,0.8804347826086957,Java_low_results.csv
13,140,5,low,low,513.0,0.9293478260869564,Java_low_results.csv
13,124,5,low,low,516.0,0.9347826086956522,Java_low_results.csv
13,126,5,low,low,512.0,0.927536231884058,Java_low_results.csv
13,132,5,low,low,469.0,0.8496376811594203,Java_low_results.csv
13,164,5,low,low,516.0,0.9347826086956522,Java_low_results.csv
13,180,5,low,low,513.0,0.9293478260869564,Java_low_results.csv
13,170,5,low,low,465.0,0.842391304347826,Java_low_results.csv
13,128,5,low,low,485.0,0.8786231884057971,Java_low_results.csv
21,27,5,low,low,331.0,0.9350282485875706,Java_low_results.csv
13,176,5,low,low,470.0,0.8514492753623188,Java_low_results.csv
13,182,5,low,low,521.0,0.9438405797101448,Java_low_results.csv
13,200,5,low,low,514.0,0.9311594202898552,Java_low_results.csv
21,29,5,low,low,332.0,0.9378531073446328,Java_low_results.csv
13,179,5,low,low,524.0,0.9492753623188406,Java_low_results.csv
13,208,5,low,low,510.0,0.9239130434782608,Java_low_results.csv
21,31,5,low,low,324.0,0.9152542372881356,Java_low_results.csv
21,34,5,low,low,331.0,0.9350282485875706,Java_low_results.csv
13,101,5,low,low,729.0,0.8398617511520737,Java_low_results.csv
21,35,5,low,low,288.0,0.8135593220338984,Java_low_results.csv
21,37,5,low,low,314.0,0.8870056497175142,Java_low_results.csv
21,43,5,low,low,331.0,0.9350282485875706,Java_low_results.csv
21,41,5,low,low,339.0,0.9576271186440678,Java_low_results.csv
21,56,5,low,low,335.0,0.9463276836158192,Java_low_results.csv
21,44,5,low,low,334.0,0.943502824858757,Java_low_results.csv
21,65,5,low,low,321.0,0.9067796610169492,Java_low_results.csv
21,74,5,low,low,318.0,0.8983050847457628,Java_low_results.csv
21,60,5,low,low,332.0,0.9378531073446328,Java_low_results.csv
21,63,5,low,low,339.0,0.9576271186440678,Java_low_results.csv
21,94,5,low,low,290.0,0.8192090395480226,Java_low_results.csv
21,78,5,low,low,341.0,0.963276836158192,Java_low_results.csv
21,64,5,low,low,358.0,0.9701897018970188,Java_low_results.csv
21,114,5,low,low,321.0,0.9067796610169492,Java_low_results.csv
21,79,5,low,low,325.0,0.9180790960451978,Java_low_results.csv
21,77,5,low,low,346.0,0.9774011299435028,Java_low_results.csv
21,99,5,low,low,310.0,0.8757062146892656,Java_low_results.csv
21,104,5,low,low,315.0,0.8898305084745762,Java_low_results.csv
21,124,5,low,low,332.0,0.9378531073446328,Java_low_results.csv
21,139,5,low,low,304.0,0.8587570621468926,Java_low_results.csv
21,140,5,low,low,334.0,0.943502824858757,Java_low_results.csv
21,126,5,low,low,326.0,0.9209039548022598,Java_low_results.csv
21,132,5,low,low,315.0,0.8898305084745762,Java_low_results.csv
21,164,5,low,low,332.0,0.9378531073446328,Java_low_results.csv
21,180,5,low,low,328.0,0.9265536723163842,Java_low_results.csv
21,170,5,low,low,326.0,0.9209039548022598,Java_low_results.csv
21,128,5,low,low,447.0,0.9066937119675456,Java_low_results.csv
21,182,5,low,low,333.0,0.940677966101695,Java_low_results.csv
27,29,5,low,low,149.0,0.8816568047337278,Java_low_results.csv
21,200,5,low,low,333.0,0.940677966101695,Java_low_results.csv
27,31,5,low,low,250.0,0.946969696969697,Java_low_results.csv
21,176,5,low,low,348.0,0.8529411764705882,Java_low_results.csv
27,34,5,low,low,212.0,0.8760330578512396,Java_low_results.csv
