"random_effect","experiment","dimension","AIC","BIC"
"exp_a","within_trial_within_2","Shape",-23305.9966901743,-23269.2856597688
"exp_a","within_trial_within_2","Length",-11780.5906515268,-11743.8796211212
"exp_a","within_trial_within_2","Direction",-16997.5653709965,-16960.854340591
"exp_a","within_trial_within_2","Position",-14653.4092229687,-14616.6981925632
"exp_a","within_trial_within_2","Duration",-10694.5925778231,-10657.8815474176
"exp_a","within_trial_within_5","Shape",-17250.8264094802,-17215.9013642007
"exp_a","within_trial_within_5","Length",-8829.84952890447,-8794.92448362503
"exp_a","within_trial_within_5","Direction",-12375.7611592552,-12340.8361139757
"exp_a","within_trial_within_5","Position",-10891.9556539313,-10857.0306086518
"exp_a","within_trial_within_5","Duration",-7424.2312273561,-7389.30618207666
"exp_a","within_trial_between_2","Shape",-46652.6207870333,-46618.4996039466
"exp_a","within_trial_between_2","Length",-23766.8243577546,-23732.7031746678
"exp_a","within_trial_between_2","Direction",-33208.7539673367,-33174.63278425
"exp_a","within_trial_between_2","Position",-28854.8525699413,-28820.7313868546
"exp_a","within_trial_between_2","Duration",-21707.4594374588,-21673.338254372
"exp_a","within_trial_between_5","Shape",-33463.8448031036,-33431.3710877907
"exp_a","within_trial_between_5","Length",-17270.519377244,-17238.0456619311
"exp_a","within_trial_between_5","Direction",-23954.8922196958,-23922.4185043829
"exp_a","within_trial_between_5","Position",-21303.1167140367,-21270.6429987238
"exp_a","within_trial_between_5","Duration",-15021.3111475042,-14988.8374321913
"exp_a","within_group","Shape",-40467.0211576101,-40400.2826075958
"exp_a","within_group","Length",-20503.4927410173,-20436.754191003
"exp_a","within_group","Direction",-29208.9648927063,-29142.2263426921
"exp_a","within_group","Position",-25385.7524197713,-25319.013869757
"exp_a","within_group","Duration",-18119.8147845172,-18053.0762345029
"exp_a","between_group_mean_diff","Shape",-80005.5079090397,-79961.311028101
"exp_a","between_group_mean_diff","Length",-41061.7322831101,-41017.5354021714
"exp_a","between_group_mean_diff","Direction",-56769.9417601906,-56725.7448792519
"exp_a","between_group_mean_diff","Position",-49801.5936856642,-49757.3968047255
"exp_a","between_group_mean_diff","Duration",-36645.4898838792,-36601.2930029406
