exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score
12,18,Intermediate,Intermediate,r1,r2,c2,c2,44.79460883455088
12,21,Intermediate,Intermediate,r1,r2,c2,c2,43.593040550932386
12,22,Intermediate,Intermediate,r1,r2,c2,c2,44.94907313164277
12,32,Intermediate,Intermediate,r1,r2,c2,c2,31.424129501318134
12,35,Intermediate,Intermediate,r1,r2,c2,c2,41.93345854205996
12,45,Intermediate,Intermediate,r1,r2,c2,c2,46.19349187497503
12,53,Intermediate,Intermediate,r1,r2,c2,c2,46.53853364590275
13,10,Intermediate,Intermediate,r1,r2,c2,c2,37.68586798191255
13,15,Intermediate,Intermediate,r1,r2,c2,c2,28.25540974694537
13,18,Intermediate,Intermediate,r1,r2,c2,c2,36.521816185509536
13,21,Intermediate,Intermediate,r1,r2,c2,c2,37.85160326492508
13,22,Intermediate,Intermediate,r1,r2,c2,c2,36.44911390486335
13,32,Intermediate,Intermediate,r1,r2,c2,c2,21.139034428474694
13,35,Intermediate,Intermediate,r1,r2,c2,c2,37.56237192664615
13,45,Intermediate,Intermediate,r1,r2,c2,c2,38.83007942198071
13,53,Intermediate,Intermediate,r1,r2,c2,c2,37.11562799868935
14,10,Intermediate,Intermediate,r1,r2,c2,c2,40.74879507190552
14,15,Intermediate,Intermediate,r1,r2,c2,c2,32.18906300617386
14,18,Intermediate,Intermediate,r1,r2,c2,c2,41.40397563288216
14,21,Intermediate,Intermediate,r1,r2,c2,c2,41.719483546154265
14,22,Intermediate,Intermediate,r1,r2,c2,c2,41.37299968157904
14,32,Intermediate,Intermediate,r1,r2,c2,c2,28.736635278443803
14,35,Intermediate,Intermediate,r1,r2,c2,c2,41.811364821696685
14,45,Intermediate,Intermediate,r1,r2,c2,c2,42.59210850655913
14,53,Intermediate,Intermediate,r1,r2,c2,c2,43.166977613943594
15,14,Intermediate,Intermediate,r1,r2,c3,c3,32.56209666539761
15,17,Intermediate,Intermediate,r1,r2,c3,c3,29.419434421380636
15,31,Intermediate,Intermediate,r1,r2,c3,c3,30.586053849947046
15,42,Intermediate,Intermediate,r1,r2,c3,c3,37.21233355873949
15,51,Intermediate,Intermediate,r1,r2,c3,c3,29.697702824197727
17,10,Intermediate,Intermediate,r1,r2,c2,c2,36.35809462136246
17,15,Intermediate,Intermediate,r1,r2,c2,c2,27.418525777438663
17,18,Intermediate,Intermediate,r1,r2,c2,c2,36.53917838515129
17,21,Intermediate,Intermediate,r1,r2,c2,c2,36.3168110358683
17,22,Intermediate,Intermediate,r1,r2,c2,c2,35.251736399485175
17,32,Intermediate,Intermediate,r1,r2,c2,c2,19.108043318917396
17,35,Intermediate,Intermediate,r1,r2,c2,c2,36.83548444970098
17,45,Intermediate,Intermediate,r1,r2,c2,c2,38.34668707031012
17,53,Intermediate,Intermediate,r1,r2,c2,c2,36.93147038548227
18,11,Intermediate,Intermediate,r1,r2,c1,c1,46.263058666026296
18,12,Intermediate,Intermediate,r1,r2,c1,c1,47.00331492080125
18,13,Intermediate,Intermediate,r1,r2,c1,c1,47.796082961732694
18,19,Intermediate,Intermediate,r1,r2,c1,c1,47.08949427641515
18,20,Intermediate,Intermediate,r1,r2,c1,c1,42.93571441876921
18,23,Intermediate,Intermediate,r1,r2,c1,c1,46.183731242639695
18,34,Intermediate,Intermediate,r1,r2,c1,c1,43.9292214026275
18,44,Intermediate,Intermediate,r1,r2,c1,c1,48.047901215232706
19,14,Intermediate,Intermediate,r1,r2,c3,c3,31.6485516058758
19,17,Intermediate,Intermediate,r1,r2,c3,c3,28.054319805225706
19,31,Intermediate,Intermediate,r1,r2,c3,c3,28.83607941866448
19,42,Intermediate,Intermediate,r1,r2,c3,c3,35.053945441498556
19,51,Intermediate,Intermediate,r1,r2,c3,c3,29.728131521202204
20,14,Intermediate,Intermediate,r1,r2,c3,c3,41.586775450618916
