exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
13,65,vehicle,low,low,504.0,0.9130434782608696,Java_low_results.csv
13,140,vehicle,low,low,470.0,0.8514492753623188,Java_low_results.csv
21,183,vehicle,low,low,326.0,0.9209039548022598,Java_low_results.csv
13,37,vehicle,low,low,481.0,0.8713768115942029,Java_low_results.csv
13,164,vehicle,low,low,485.0,0.8786231884057971,Java_low_results.csv
10,78,vehicle,low,low,111.0,0.8222222222222222,Java_low_results.csv
10,37,vehicle,low,low,209.0,0.810077519379845,Java_low_results.csv
13,170,vehicle,low,low,465.0,0.842391304347826,Java_low_results.csv
21,200,vehicle,low,low,324.0,0.9152542372881356,Java_low_results.csv
21,79,vehicle,low,low,293.0,0.827683615819209,Java_low_results.csv
21,104,vehicle,low,low,315.0,0.8898305084745762,Java_low_results.csv
13,172,vehicle,low,low,487.0,0.8822463768115942,Java_low_results.csv
13,179,vehicle,low,low,484.0,0.8768115942028986,Java_low_results.csv
10,126,vehicle,low,low,278.0,0.8714733542319749,Java_low_results.csv
10,21,vehicle,low,low,308.0,0.8700564971751412,Java_low_results.csv
10,44,vehicle,low,low,256.0,0.8737201365187713,Java_low_results.csv
21,114,vehicle,low,low,321.0,0.9067796610169492,Java_low_results.csv
10,13,vehicle,low,low,478.0,0.8659420289855072,Java_low_results.csv
27,29,vehicle,low,low,165.0,0.9016393442622952,Java_low_results.csv
21,124,vehicle,low,low,320.0,0.903954802259887,Java_low_results.csv
21,56,vehicle,low,low,316.0,0.8926553672316384,Java_low_results.csv
13,99,vehicle,low,low,464.0,0.8405797101449275,Java_low_results.csv
27,31,vehicle,low,low,232.0,0.8787878787878788,Java_low_results.csv
21,126,vehicle,low,low,310.0,0.8757062146892656,Java_low_results.csv
10,64,vehicle,low,low,519.0,0.8766891891891891,Java_low_results.csv
21,60,vehicle,low,low,303.0,0.8559322033898306,Java_low_results.csv
27,34,vehicle,low,low,187.0,0.9166666666666666,Java_low_results.csv
