exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration,source_file
48,10,5,high,low,0.1114430649024671,-0.0302880261749867,0.1013210929973223,0.154891496018096,-0.1699833603978251,Java_high_Java_low_results.csv
48,13,5,high,low,0.1311352200287918,0.0460647891576474,0.1662064312410811,0.1780596608965126,-0.2569108476170967,Java_high_Java_low_results.csv
48,21,5,high,low,0.1231970338426461,0.0186477000388888,0.1200406256318865,0.1853059056027801,-0.1256890865512528,Java_high_Java_low_results.csv
48,27,5,high,low,0.1080261237878879,-0.0612285356537958,0.1033421625704782,0.0871744588035736,-0.0717121783228987,Java_high_Java_low_results.csv
48,29,5,high,low,0.11045908189525,-0.1114858975775243,0.1014068308477351,0.1249820465218084,-0.1581082990099889,Java_high_Java_low_results.csv
48,31,5,high,low,0.1187366597278214,-0.0489995777174993,0.1365041370752351,0.1316230149682201,-0.1327319921430397,Java_high_Java_low_results.csv
48,34,5,high,low,0.120458303067273,-0.0105241378650187,0.1238811227284263,0.0961108594977989,-0.1792925969253341,Java_high_Java_low_results.csv
48,35,5,high,low,0.1109897610873824,-0.0555960592746322,0.1177250742604215,0.1488541331440963,-0.3728898513734883,Java_high_Java_low_results.csv
48,37,5,high,low,0.1059964643035267,-0.0420042992608032,0.1010315327972748,0.1737423586380642,-0.1795847077250507,Java_high_Java_low_results.csv
48,41,5,high,low,0.1172351121191969,-0.0063690818534021,0.1306879235946667,0.1429299063602431,-0.1635496758264234,Java_high_Java_low_results.csv
48,43,5,high,low,0.1058789396122185,-0.1042765230382684,0.1056392314050717,0.1431145175141522,-0.1831325703401467,Java_high_Java_low_results.csv
48,44,5,high,low,0.1310038342515427,-0.0650913827471973,0.1420291634872414,0.0895357483447545,-0.1239212971534164,Java_high_Java_low_results.csv
48,56,5,high,low,0.1249277629476077,-0.0351485104543667,0.1143218594747639,0.0758500444178678,-0.2502974761550948,Java_high_Java_low_results.csv
48,60,5,high,low,0.1125689399054813,0.0540487782318324,0.1037772473146092,0.0932383700085833,-0.1974506882852431,Java_high_Java_low_results.csv
48,63,5,high,low,0.1299500791218578,-0.0322867163854793,0.1219629066471063,0.1703487021311933,-0.2062923116337484,Java_high_Java_low_results.csv
48,64,5,high,low,0.1215028666896493,-0.0179182250161409,0.1381794692799133,0.1317393609743158,-0.1560525307857274,Java_high_Java_low_results.csv
48,65,5,high,low,0.1096298993396035,-0.0508457823382136,0.1029394108822985,0.1503279520953186,-0.0527877179986346,Java_high_Java_low_results.csv
48,74,5,high,low,0.1216144561563098,-0.0626922222832971,0.1221511740085029,0.1018507448982679,-0.1352045736718673,Java_high_Java_low_results.csv
48,77,5,high,low,0.1227259789578023,-0.0295730362087776,0.1439145551486527,0.1578706459532173,-0.2313470370500661,Java_high_Java_low_results.csv
48,78,5,high,low,0.1021733537576949,-0.0643677332596927,0.099001904661454,0.1548207682485621,-0.1520737395151543,Java_high_Java_low_results.csv
48,79,5,high,low,0.1148626023111341,-0.0338315490124363,0.131358193851235,0.1208148201257502,-0.1570481786937038,Java_high_Java_low_results.csv
48,94,5,high,low,0.1174652964422114,-0.1073689078481243,0.1274317324099191,0.1310324337704552,-0.2177535666011635,Java_high_Java_low_results.csv
48,99,5,high,low,0.1148333473785389,-0.0703868148138096,0.1196403547863432,0.1285793173766225,-0.0938892275090279,Java_high_Java_low_results.csv
48,101,5,high,low,0.1357511002870479,0.0349140866612294,0.1797167777532151,0.1720499582018384,-0.1451611467062552,Java_high_Java_low_results.csv
48,104,5,high,low,0.1068750803747941,-0.0599183991470289,0.1231765704437917,0.1410895127479704,-0.0534173516711661,Java_high_Java_low_results.csv
48,114,5,high,low,0.1300543874466249,-0.0080474723417585,0.1301268412076828,0.1645205419684732,-0.152167688765017,Java_high_Java_low_results.csv
48,124,5,high,low,0.1156338658515208,-0.0991411929655257,0.1180084919264626,0.1878364938231429,-0.0665773650934422,Java_high_Java_low_results.csv
48,126,5,high,low,0.1186235205655364,-0.0368152883890298,0.0978847498203827,0.145582816847499,-0.146543261486332,Java_high_Java_low_results.csv
48,128,5,high,low,0.1274318365049089,-0.0005771218073299,0.1589142443969268,0.1805010935558072,-0.1201182635376665,Java_high_Java_low_results.csv
48,132,5,high,low,0.1205771003668998,-0.0383066913318879,0.1433719499528594,0.1801407799948612,-0.04752038125354,Java_high_Java_low_results.csv
48,139,5,high,low,0.1064366381598517,-0.0593643664602696,0.0891702105615928,0.1471732275106217,-0.2501278091702394,Java_high_Java_low_results.csv
48,140,5,high,low,0.1075832037281673,-0.0266007303361492,0.1062991471515174,0.1589702532176172,-0.1035571922989551,Java_high_Java_low_results.csv
48,164,5,high,low,0.115556558175651,-0.1133629504843323,0.1147774187311772,0.2155441175865036,-0.0597713616232994,Java_high_Java_low_results.csv
48,170,5,high,low,0.1251347744737133,-0.0253806978088076,0.1145682212624541,0.1504847867755807,-0.1594148635642805,Java_high_Java_low_results.csv
48,176,5,high,low,0.122435022558856,-0.0152455189844475,0.1437047609064765,0.1657396618572446,-0.1892707129352145,Java_high_Java_low_results.csv
48,179,5,high,low,0.1218631597262011,-0.0069232514585977,0.1457775232706091,0.1914081359545377,-0.2049921960723181,Java_high_Java_low_results.csv
