exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration,source_file
48,68,5,high,high,0.9934969124573412,0.7527178649960978,0.991911979103819,0.899001915831046,0.6956521739130435,Java_high_results.csv
48,69,5,high,high,0.99172092383313,0.7112520973853775,0.9886506225644214,0.9210477381569484,0.5849056603773586,Java_high_results.csv
48,80,5,high,high,0.9864653627785768,0.7153184222252706,0.9844881806321458,0.8666493434498214,0.7543103448275861,Java_high_results.csv
48,82,5,high,high,0.9924129420919676,0.7410063559314796,0.9903467512148978,0.8720748646346734,0.5901639344262295,Java_high_results.csv
48,86,5,high,high,0.9932281445382192,0.7160100528415515,0.9896441313927058,0.8949842051130521,0.5757575757575757,Java_high_results.csv
48,87,5,high,high,0.9922661469628076,0.6583514006651894,0.9892005633174796,0.953577982940032,0.5763403263403263,Java_high_results.csv
48,118,5,high,high,0.9892152604646748,0.7622652695579568,0.986337043555138,0.910576255778122,0.5640909090909091,Java_high_results.csv
48,178,5,high,high,0.9919181253015328,0.7458821550187855,0.9907279609599576,0.9456489463092232,0.7752525252525253,Java_high_results.csv
68,69,5,high,high,0.9931924757482908,0.6849648545594689,0.9907783866744876,0.9292692521191876,0.6666666666666665,Java_high_results.csv
68,80,5,high,high,0.9875032181128636,0.6175172647320974,0.98593563846773,0.916928243652367,0.717948717948718,Java_high_results.csv
68,82,5,high,high,0.9928818933845256,0.7576889961410751,0.989103567018182,0.91269798536212,0.6216216216216217,Java_high_results.csv
68,86,5,high,high,0.9944051798038523,0.7073759235832384,0.9927655726676144,0.9444336528257208,0.653846153846154,Java_high_results.csv
68,87,5,high,high,0.9936425710196904,0.7058167679598047,0.9923168978737024,0.958614575665774,0.6,Java_high_results.csv
68,118,5,high,high,0.9912260727096012,0.7465596552432269,0.9905955161575382,0.9451609007949404,0.6666666666666666,Java_high_results.csv
68,178,5,high,high,0.9934703372940014,0.7042686031920048,0.991212167407048,0.9590108634845196,0.6799999999999999,Java_high_results.csv
69,80,5,high,high,0.988891611167685,0.5918109035950908,0.984492760714084,0.8955827563117184,0.6666666666666666,Java_high_results.csv
69,82,5,high,high,0.9908012974367072,0.6981565638178013,0.9869744341424156,0.9347709155220086,0.6590909090909092,Java_high_results.csv
69,86,5,high,high,0.9929576271535776,0.7329563364353877,0.9915951962409664,0.9524299153326472,0.6419413919413919,Java_high_results.csv
69,87,5,high,high,0.9930900082843004,0.7653898484290528,0.9909568097352398,0.912338687569992,0.6428571428571428,Java_high_results.csv
69,118,5,high,high,0.991458334438669,0.6829664673089386,0.9876753405503136,0.9000722382384365,0.6000000000000001,Java_high_results.csv
69,178,5,high,high,0.9924288695891642,0.6902381934655998,0.9911445184107052,0.9001514270407623,0.6296296296296298,Java_high_results.csv
80,82,5,high,high,0.9873504876620016,0.653201588066941,0.9833876195393796,0.9326017363913954,0.6086956521739131,Java_high_results.csv
80,86,5,high,high,0.9904300867066824,0.6418321171314939,0.9857969562929176,0.9066428799967255,0.6129032258064516,Java_high_results.csv
80,87,5,high,high,0.9902441561181032,0.6859288253342424,0.9869432021813292,0.8684980596365066,0.626453488372093,Java_high_results.csv
80,118,5,high,high,0.983394578716238,0.7839368340848685,0.9759424506097536,0.9241963484172048,0.6086956521739131,Java_high_results.csv
80,178,5,high,high,0.9872283493804456,0.6458178613313682,0.9827390517258572,0.8676209686422023,0.7407407407407407,Java_high_results.csv
82,86,5,high,high,0.9925346501649926,0.7500774549927555,0.989337616447927,0.923674298351926,0.625,Java_high_results.csv
82,87,5,high,high,0.9919847040164746,0.7176294076152225,0.9906269156054358,0.8911686650681745,0.6274509803921569,Java_high_results.csv
