"random_effect","experiment","dimension","AIC","BIC"
"both","within_stimulus_within_rectangle","Direction",-10414.9678955916,-10373.356450444
"both","within_stimulus_within_rectangle","Position",-14465.7184209311,-14424.1069757836
"both","within_stimulus_within_rectangle","Duration",-10281.3418030954,-10239.7303579479
"both","within_stimulus_within_vehicle","Shape",-33853.6492292053,-33811.6116597341
"both","within_stimulus_within_vehicle","Length",-30075.1340962753,-30033.0965268041
"both","within_stimulus_within_vehicle","Direction",-10637.318291303,-10595.2807218317
"both","within_stimulus_within_vehicle","Position",-13895.4714189403,-13853.4338494691
"both","within_stimulus_within_vehicle","Duration",-10270.423249475,-10228.3856800038
"both","within_stimulus_between_rectangle","Shape",-61491.2998741714,-61451.6950815198
"both","within_stimulus_between_rectangle","Length",-54894.6864893067,-54855.0816966551
"both","within_stimulus_between_rectangle","Direction",-20023.4556598903,-19983.8508672386
"both","within_stimulus_between_rectangle","Position",-27323.4803969814,-27283.8756043298
"both","within_stimulus_between_rectangle","Duration",-20853.7781066127,-20814.1733139611
"both","within_stimulus_between_vehicle","Shape",-70213.2219551279,-70172.8446019106
"both","within_stimulus_between_vehicle","Length",-62634.0282556451,-62593.6509024277
"both","within_stimulus_between_vehicle","Direction",-22269.0272117122,-22228.6498584949
"both","within_stimulus_between_vehicle","Position",-28541.078922576,-28500.7015693587
"both","within_stimulus_between_vehicle","Duration",-22036.661538068,-21996.2841848507
"both","within_group","Shape",-63099.7865922402,-63026.4326528572
"both","within_group","Length",-56367.6043617833,-56294.2504224003
"both","within_group","Direction",-20577.3093309568,-20503.9553915737
"both","within_group","Position",-27730.0196777712,-27656.6657383882
"both","within_group","Duration",-20532.984485458,-20459.630546075
"both","between_group_mean_diff","Shape",-126772.822457318,-126721.299678541
"both","between_group_mean_diff","Length",-113406.066288444,-113354.543509666
"both","between_group_mean_diff","Direction",-41310.369882078,-41258.8471033008
"both","between_group_mean_diff","Position",-53971.5230923319,-53920.0003135546
"both","between_group_mean_diff","Duration",-42020.2097392061,-41968.6869604288
"both","between_group_pairtype","Shape",-126770.371860163,-126704.12828745
"both","between_group_pairtype","Length",-113404.126024656,-113337.882451942
"both","between_group_pairtype","Direction",-41307.4764520677,-41241.2328793541
"both","between_group_pairtype","Position",-53969.7749976057,-53903.531424892
"both","between_group_pairtype","Duration",-42016.752695106,-41950.5091223924
"none","within_stimulus_within_rectangle","Shape",-27748.9200744532,-27719.1976136336
"none","within_stimulus_within_rectangle","Length",-24791.780468403,-24762.0580075834
"none","within_stimulus_within_rectangle","Direction",-9417.96694441833,-9388.24448359867
"none","within_stimulus_within_rectangle","Position",-13541.0669954332,-13511.3445346135
"none","within_stimulus_within_rectangle","Duration",-8332.67207445892,-8302.94961363926
"none","within_stimulus_within_vehicle","Shape",-29746.8452828077,-29716.8184474711
"none","within_stimulus_within_vehicle","Length",-26646.9093475292,-26616.8825121927
"none","within_stimulus_within_vehicle","Direction",-9594.79270833292,-9564.76587299634
