exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,baseline_Shape,baseline_Direction,baseline_Length,baseline_Position,baseline_Duration
4,3,5,medium,none,0.1091313834588364,0.0024189584965739,0.1011143603218177,0.1469826123541211,-0.1567695604143273,0.8832601881567823,0.7667824058403887,0.8878252837344501,0.7612706897671733,0.8329792378336822
4,5,5,medium,none,0.1100671009266673,-0.0154792930672764,0.1007541318625436,0.1050846792238642,-0.1139741447116162,0.8832279781716873,0.7873037241182954,0.8892662185900564,0.7897992550068395,0.838112075746099
4,12,5,medium,none,0.1221697965239717,-0.0415469046791764,0.1254878532355888,0.1330743116174256,-0.1591095639327046,0.8700427489693987,0.7810490368736333,0.8654698937226322,0.771685586234728,0.8426782417247457
4,28,5,medium,none,0.1345808245466664,-0.0187532053876784,0.1379277596355721,0.1352047877954809,-0.2669462044468598,0.8587055733622915,0.7360679343335972,0.8528836212397084,0.7579532381786996,0.8447239822246375
4,30,5,medium,none,0.1213689968484301,-0.0888503597826517,0.1150888329600687,0.1395240450621879,-0.1487739029022541,0.8706515886009292,0.7842446575377986,0.8745098965051465,0.7618739868406863,0.8373514891091507
4,36,5,medium,none,0.1258652085786661,0.0163421692179547,0.130017053463856,0.1536501573536124,-0.1183264561216204,0.8662849776714645,0.7278651355372225,0.8589180256788684,0.7270373176674338,0.8123063892319883
4,93,5,medium,none,0.1202246723476019,0.0001392647678184,0.1550878699817992,0.1229905466737063,-0.1951518590325562,0.8718107182980663,0.6974317539875896,0.8342291465495902,0.7393907224841585,0.8351518590325562
4,96,5,medium,none,0.1077590379407789,-0.0879950421466209,0.1071851539713336,0.1275557511019449,-0.2553879237174002,0.8840237113929851,0.822660765488727,0.8805200052240284,0.7799934666701149,0.8407537773759368
4,110,5,medium,none,0.1154333995729266,-0.0085989607564451,0.1289362718388559,0.1488609664775136,-0.176224821175116,0.877913403391837,0.7670181761271289,0.8635239639738366,0.7568026291675741,0.8341195580172214
4,154,5,medium,none,0.1075624852061247,-0.0931162804879714,0.1027867755032023,0.1471500482508148,-0.1426115095482729,0.8865257532886038,0.7968518790190333,0.8891250391093317,0.7753741452520422,0.8383185802553437
4,163,5,medium,none,0.1139679038675807,-0.0508824130039865,0.1304863568964561,0.1534694123508029,-0.1454345640248777,0.8778882243264332,0.7881985750221812,0.8594992798336509,0.7578520997070288,0.8240059925963064
4,181,5,medium,none,0.118713583507117,-0.0757681079268585,0.1162696747235597,0.1338949299394818,-0.1369193798390312,0.8742813359673919,0.770815310759336,0.8756059600338656,0.7646051237048461,0.8325715537520747
4,189,5,medium,none,0.120653257649987,-0.0802956114756586,0.1070399058659578,0.1396095780224441,-0.1733871946330529,0.8722101000813451,0.8251072662671053,0.8840073427320438,0.7781510847857327,0.8400538612997197
4,196,5,medium,none,0.11163311112309,-0.0632932221448618,0.1153684047181778,0.1728495785763434,-0.1534439487298481,0.877327631854496,0.7582546520522834,0.86852692232923,0.7487405736869028,0.8364583027968338
4,201,5,medium,none,0.1282413774262559,-0.0335591649095541,0.1282646429623024,0.2167707700458307,-0.1380316021713565,0.8649778575825711,0.7176871930342215,0.8625398993712126,0.726120290302513,0.8380316021713565
4,204,5,medium,none,0.1524574116784942,-0.0259201253619363,0.1928632856966571,0.1634013402383665,-0.2116874782378189,0.8389885067796788,0.5938805897836502,0.7940936319485359,0.6822100215252318,0.8346382979099501
4,211,5,medium,none,0.1141212787050197,-0.065482313865138,0.1176568456604064,0.1690800348252589,-0.1206164034361341,0.8793411797441297,0.8168600987776028,0.8743179737883748,0.7821268830036128,0.8206164034361341
6,3,5,medium,none,0.1210520406215265,-0.0502214621552276,0.1196460790338526,0.1494070392849936,-0.0723403346035194,0.8722663281228489,0.7771800990081221,0.8727340233283056,0.7569759012993356,0.8223403346035194
6,5,5,medium,none,0.1103223775557596,-0.0062259689151323,0.1050540967519011,0.1437144362245916,-0.1036927773598941,0.8819392083793235,0.7652347735696897,0.8857357333132629,0.7728430787021464,0.8536927773598941
6,12,5,medium,none,0.1203623988978276,-0.0557815469804722,0.1158851345045542,0.139050172913216,-0.178872126297752,0.8714510704709739,0.7754612847828132,0.8736537538239418,0.7553629249101352,0.8455387929644188
6,28,5,medium,none,0.1268625863563952,-0.0661857160624357,0.1281380268888037,0.1750731576177417,-0.2423769160604083,0.8665643753705209,0.7673726585559237,0.8624446210607711,0.7698625336059258,0.8250883588464779
6,30,5,medium,none,0.1153202343155805,-0.0641256369569605,0.1153601237362794,0.1201801805621277,-0.078031928623342,0.8763873392629624,0.7850759634300734,0.8750822291126786,0.7822256909706136,0.8472626978541113
6,36,5,medium,none,0.1137572117281245,-0.082044726257489,0.1319991027252651,0.1384495387412398,-0.115606678630488,0.8782453524487975,0.7597574136777093,0.8580994416289038,0.7762023853573168,0.8227495357733451
6,93,5,medium,none,0.1308777416891541,0.0044565306829473,0.132296591447125,0.173258784154445,-0.1986637410222876,0.8602119309059255,0.7082370048126369,0.8562731495662538,0.7233527023348993,0.8382741306326773
6,96,5,medium,none,0.1176215543370743,-0.0622095084807625,0.1119794390663548,0.1156952592210577,-0.27427703938556,0.8735966225244423,0.7990961437990969,0.8778809063034249,0.7691091352556361,0.8300045935651266
6,110,5,medium,none,0.125395111558647,-0.0460077818572409,0.1275459183965426,0.1580079486312083,-0.1489906355313823,0.8681332925954502,0.7916862155556434,0.8635537087546645,0.7796610823507191,0.8308088173495642
6,154,5,medium,none,0.1224870424989043,-0.0702476123896272,0.1278355887490005,0.1623407654853715,-0.1134560537820821,0.8713239518487739,0.7870747761335192,0.8651797055255191,0.7521853747028077,0.8134560537820821
6,163,5,medium,none,0.1150724927332785,-0.0882006232959322,0.1024936002313697,0.1312425987851198,-0.1525818423696634,0.876065088474562,0.8099179816603468,0.8855431882379265,0.7821422637026025,0.8192485090363301
6,181,5,medium,none,0.1249267440284532,-0.0032503053887058,0.1192989445748214,0.1477463242737579,-0.1889604442325871,0.8680896486078291,0.7902437260645367,0.8698292118420581,0.774924279465228,0.8434697280522159
6,189,5,medium,none,0.1156719455523017,-0.0908779571002943,0.1280868062539393,0.1354388152816213,-0.1665388662115182,0.8772830462368818,0.8062585462429867,0.8632044654885679,0.7721298263586294,0.8274584064414033
6,196,5,medium,none,0.1125562337725618,0.0309574583960512,0.1246889517119149,0.1040235916830787,-0.1156131117681148,0.8757963890226009,0.7081375155881802,0.8567688914744416,0.7518030801672688,0.8298988260538291
6,201,5,medium,none,0.1165236979782351,-0.0225192070055686,0.122541059148837,0.1461948233797303,-0.1385296901685907,0.8771662341449694,0.6955488575507263,0.8690702908328976,0.7468966651048239,0.8468630235019241
6,204,5,medium,none,0.1363704290612273,-0.0630544106350763,0.1834602178420549,0.189538423200101,-0.0202783079246149,0.8546832244953099,0.5590198331136649,0.8046479973241287,0.6996376731867345,0.7702783079246149
6,211,5,medium,none,0.1065777480321965,-0.0321115303171889,0.1051118375499678,0.1773826922940716,-0.1571136857341368,0.886491864287857,0.8024148213266943,0.8852169328736855,0.7645864746570004,0.84676885814793
16,3,5,medium,none,0.1226092584913416,0.0023646000805853,0.1311493089897574,0.1694953322085801,-0.1833189977168958,0.8710378069168205,0.7085453893264622,0.8604314665546113,0.7645525937276496,0.8433189977168958
16,5,5,medium,none,0.1132864097070699,-0.0049404071966504,0.1132337145653286,0.1886639584047184,-0.1355469074632334,0.8807422052714282,0.7311323082200012,0.8779941864179787,0.7469607843085195,0.814118336034662
16,12,5,medium,none,0.1244444809747462,-0.0183812116347539,0.1310025680249593,0.1476108275084748,-0.1832603886144211,0.8690004091330965,0.719516232102841,0.8598039316377293,0.742199550142832,0.8354343016578994
16,28,5,medium,none,0.1280213191591369,0.0254096730584646,0.1509124012364039,0.1980021131821991,-0.1721102189593629,0.8653363678960991,0.6666768719207571,0.839445757472721,0.7242084843230241,0.8121102189593629
16,30,5,medium,none,0.1209732231901083,0.0007948356867909,0.1308562837916619,0.2243941566598756,-0.1853148974113516,0.8725215264429219,0.7089203619260579,0.8589840953501164,0.7248758214669953,0.8424577545542087
16,36,5,medium,none,0.1273951632043291,-0.0107853430756826,0.1583458762914729,0.1941271259916547,-0.1813198411668497,0.8654287850133547,0.6677936020328885,0.8329013794467408,0.7572612914761521,0.8384626983097068
16,93,5,medium,none,0.1279185669027147,-0.0161924943532606,0.1790260118761398,0.1122315849181148,-0.2222592881200793,0.8654617714660222,0.6595454579608929,0.8123890393352792,0.7331875532755362,0.8164315854173766
16,96,5,medium,none,0.1172993333305707,-0.102577913228299,0.1189754472761631,0.1431114882780522,-0.258720732295509,0.8751785717874709,0.7781570075334251,0.8709896837272671,0.7790644699267831,0.8449276288472333
16,110,5,medium,none,0.1203192419882582,-0.0264055412181603,0.1575146925737598,0.1789448332883013,-0.1939120453441898,0.8737786890580772,0.6779280051121706,0.8336062733535464,0.7596395256227486,0.8367691882013326
16,154,5,medium,none,0.1128714953227004,-0.1405606866542637,0.0974723297906027,0.1443892177106587,-0.1612211001841113,0.880790026593041,0.8107187008679808,0.8944855863435988,0.7828079347316417,0.8338932940616623
16,163,5,medium,none,0.1197064344951498,-0.0934581905482063,0.1372790016089473,0.1767822430693342,-0.1934264804101549,0.8731604041927493,0.7250403650362864,0.853163067506954,0.7337237600052102,0.8445134369318941
16,181,5,medium,none,0.1221880251532311,-0.0812293424330583,0.1396848513413824,0.1978964829233582,-0.1946475893107907,0.8717024444275973,0.7419582143255857,0.85133227318162,0.7381806554489001,0.8360761607393621
16,189,5,medium,none,0.1108061534187193,-0.0632108687149495,0.1179520584817518,0.1835770929400846,-0.1970396404677309,0.8825429331095106,0.761019234786587,0.87331037614719,0.7626831657300318,0.8485702527126289
16,196,5,medium,none,0.1091604223361091,-0.0538761593550244,0.1089422645289355,0.1247834695245041,-0.1556451956917004,0.8812790609617899,0.7945181411879839,0.8781501128513074,0.7598891430176301,0.8356451956917004
16,201,5,medium,none,0.125337592199793,-0.017719625829687,0.1598100098499978,0.2314680264405422,-0.2146590384177792,0.8687260050975936,0.6559257370158276,0.8307610748993021,0.7030125899551875,0.8488053798811938
16,204,5,medium,none,0.138292302078438,-0.0534592262258193,0.167146278415034,0.1659291390241253,-0.1406442300058835,0.8549298622039108,0.6034734143894407,0.8230859679655091,0.7227788158144978,0.7977870871487406
16,211,5,medium,none,0.1188525095446367,-0.1055100206235136,0.1085045351635199,0.1486160084714336,-0.1877589676026886,0.8755848433354496,0.7884058920229714,0.8836691819194384,0.7667136327049509,0.8193379149711096
17,3,5,medium,none,0.123567410453964,-0.0125422623793178,0.1152486639586727,0.1446287146325754,-0.1721062309026159,0.8685715597434402,0.7594809750952662,0.8736462038668009,0.7809504551549636,0.8387728975692825
17,5,5,medium,none,0.1158028901495077,-0.0241703540314764,0.1189551340655985,0.1953853722768745,-0.1766918709671525,0.8764577459584937,0.7766001297672078,0.8707002191956082,0.740882747880194,0.8433585376338193
17,12,5,medium,none,0.1209755188914881,-0.0836130715928368,0.1188341799992899,0.1414940102827103,-0.1847348185390935,0.870269913500296,0.7674584762699382,0.8696510624098993,0.7610194883743537,0.8338456256526366
17,28,5,medium,none,0.1268179381487404,-0.0519504409180208,0.1505904762827675,0.1569667896042315,-0.1622628655746942,0.865676267998231,0.7440369858972425,0.8405229549606456,0.7669493263558685,0.828929532241361
17,30,5,medium,none,0.1036296782077761,-0.0470486387142603,0.092073641146316,0.1455769941896577,-0.1727019828239835,0.8872156580248409,0.7553279624732809,0.8940584340601676,0.7775026655673674,0.8265481366701375
17,36,5,medium,none,0.1156320924123273,-0.0497104427141179,0.1356293241470056,0.1742899509832129,-0.1600251012561757,0.8760568440021066,0.737742710556472,0.8526901542682694,0.7505517850221106,0.8266917679228424
17,93,5,medium,none,0.1225482327813113,-0.01875598862425,0.153240015247384,0.177989743049524,-0.2064170364263535,0.8684147283468945,0.6694161250289576,0.8323995978642633,0.7288942948862482,0.8464170364263535
17,96,5,medium,none,0.1035475778796867,-0.1164935951350029,0.1097069629302041,0.1427133627548931,-0.2024740019184016,0.8855973739000587,0.8119042251692762,0.8770165379148749,0.7826694951217222,0.83104543048983
17,110,5,medium,none,0.1247414603939388,-0.019915794248147,0.1383230736450112,0.1926269366465582,-0.1581434294910183,0.8680606070391224,0.758058597227511,0.8507753916785263,0.7542422721113486,0.8412735107918313
17,154,5,medium,none,0.1146328030487326,-0.0950537618303224,0.1105192099156432,0.1561856551356094,-0.1622923574482632,0.8791119992282812,0.7928085721374907,0.8812428097333218,0.7738366708440919,0.8289590241149297
17,163,5,medium,none,0.1091062576517472,-0.1149119536653554,0.1052795127857278,0.1703567971580789,-0.1790149639369648,0.8801910402307185,0.8071506442900118,0.878008747395455,0.7536378353495103,0.839523438513236
17,181,5,medium,none,0.1163126447643899,-0.075139064209824,0.0969606315975523,0.1564644754898939,-0.2342444295038142,0.8754057669522807,0.7730684679438007,0.8906178740542319,0.7657316144341115,0.8268370220964067
17,189,5,medium,none,0.1168555684482036,-0.0690513138280484,0.1274557068038194,0.1643430007527504,-0.1693715237383908,0.8755852680941281,0.7986705212992575,0.8620104206023145,0.7588821815295622,0.8289459918234972
17,196,5,medium,none,0.111926273873669,-0.0261052834752425,0.1123159217873647,0.138275631739926,-0.1728933920108456,0.8769540988618177,0.7646563673149686,0.8717976739113247,0.7537914257023715,0.8503127468495554
17,201,5,medium,none,0.1112584906372605,-0.0581145836907686,0.1277160735031375,0.1751375088150728,-0.1409515992736127,0.8799625348744579,0.7222832640040191,0.8599972570973344,0.7448115593982956,0.8212293770513905
17,204,5,medium,none,0.1394386389328759,-0.1145925238768569,0.1796375258275122,0.1573319595834253,-0.2389007967029266,0.8496803771039693,0.5834923167622836,0.8020139455424672,0.725951134382373,0.8449614027635326
17,211,5,medium,none,0.1043492196842751,-0.0901385197394007,0.1160562596553984,0.1563929759795447,-0.1594237535709248,0.8887588214438986,0.8372276242876784,0.8737942496237314,0.7824223083944731,0.8189982216560312
19,3,5,medium,none,0.1042871636002068,-0.0617714495131119,0.1193018071293718,0.1358228059477311,-0.1320108673557094,0.8860558026247427,0.793354934132295,0.8686117391972135,0.779954179356267,0.8320108673557094
19,5,5,medium,none,0.1257244858216795,-0.0838701917794954,0.1181065590384181,0.1815612679161207,-0.085681450693136,0.8661899682198462,0.7839578277544356,0.8714218501042662,0.7647186049404148,0.835681450693136
19,12,5,medium,none,0.1030876282138115,-0.0723378354201009,0.0954778332353734,0.1054782424267904,-0.1873537627016795,0.8880359266171183,0.8126431414800863,0.8934362244624947,0.7966551535833715,0.8411999165478335
19,28,5,medium,none,0.1214928372545188,-0.0145391250216182,0.1152755003025711,0.1739914551760719,-0.1996429173424566,0.8694446287406483,0.7824329712845465,0.871263760372008,0.7704420788469567,0.8203325725148704
19,30,5,medium,none,0.1152775055985197,-0.0284659195793167,0.1018550027005416,0.1277935233185683,-0.1326451404923454,0.8750491840339447,0.7758757582380826,0.8841286719026201,0.762142485009994,0.8249528328000377
19,36,5,medium,none,0.1090832506704402,-0.0468831630835203,0.1089060031582677,0.1267382751589617,-0.204280139516201,0.8813698762940184,0.8014674684025443,0.878927544049673,0.788416128964023,0.8406437758798375
19,93,5,medium,none,0.1049774694713139,-0.0472503113892736,0.0980428046931678,0.1097254813276819,-0.1707141240447287,0.8860488873036388,0.7845158826759809,0.8891147740600596,0.7721187918835472,0.8301699670420526
19,96,5,medium,none,0.1177187502872103,-0.0068896632703167,0.1237464560835752,0.1531237873647696,-0.3009439687560471,0.8721946432499075,0.7712362355574931,0.861969083845014,0.7471862171093707,0.8564995243116027
19,110,5,medium,none,0.1040074730936538,-0.0443264199876398,0.0978591727022604,0.1493769218451932,-0.170424639172012,0.8881288459968103,0.8024323504206436,0.8916202347998662,0.7803328749560078,0.8327053409263979
19,154,5,medium,none,0.1166053247927417,-0.0253566540572849,0.1293565826864247,0.1604516797529391,-0.1617158315677086,0.876250818824533,0.7155117990386684,0.8607596836904068,0.754279793973245,0.8435340133858905
19,163,5,medium,none,0.1171709155311245,-0.0204919581270596,0.1137485203933886,0.1386186164392399,-0.1183187217443859,0.8721875433172677,0.7946522418056786,0.870947605814483,0.7813758779725815,0.8397626872616273
