exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,baseline_Shape,baseline_Direction,baseline_Length,baseline_Position,baseline_Duration,source_file
48,10,5,high,low,0.1224456773515556,-0.0131264360387735,0.1089271186505794,0.1302004793410773,-0.1793460677989063,0.868721870912107,0.784239015065975,0.878471126402542,0.7814306628796134,0.8402656080287914,Java_high_Java_low_results.csv
48,13,5,high,low,0.1284837326008449,0.0211339287779268,0.1635446540616242,0.1724315724762652,-0.2404370758577523,0.8632453314016707,0.6461366627016784,0.8245882101291652,0.7348324816227212,0.8237704091910856,Java_high_Java_low_results.csv
48,21,5,high,low,0.1265535901975829,0.0102047834724778,0.1290265517009472,0.1827505413223779,-0.1299157625599092,0.8654142920567469,0.6971375830700051,0.859260066828068,0.7536829504808639,0.8396379847821315,Java_high_Java_low_results.csv
48,27,5,high,low,0.1313310539999538,-0.0667940640713218,0.1239689391509286,0.0878148732234075,-0.0706682930962823,0.8604586896677784,0.7987653016185114,0.8644001137465028,0.7852781744020146,0.8320319294599187,Java_high_Java_low_results.csv
48,29,5,high,low,0.1156764776368706,-0.0756230316582725,0.120890754842815,0.1135762785852084,-0.1738932392722703,0.8759868089687647,0.7702801639267793,0.8683389046799307,0.7826581988030608,0.840559905938937,Java_high_Java_low_results.csv
48,31,5,high,low,0.1167000400885124,-0.0397147294785427,0.116095758000095,0.1274703015344117,-0.1358038776630832,0.8766533177162029,0.746260333002307,0.8768911195070048,0.7742362732137046,0.8342887261479317,Java_high_Java_low_results.csv
48,34,5,high,low,0.114690060598396,-0.0330068715497526,0.1046977564007326,0.1247064052211616,-0.1839211001716681,0.8779019856024863,0.766439958085587,0.8850446653541097,0.7455045327656482,0.8249467411973093,Java_high_Java_low_results.csv
48,35,5,high,low,0.1152897245925396,-0.0725929954489469,0.1206084860154986,0.1531524070185679,-0.3730951714126858,0.8742759663321391,0.7726140511003124,0.863663874378858,0.7420812713313926,0.8211238452478112,Java_high_Java_low_results.csv
48,37,5,high,low,0.1151613305337034,-0.0002612279860702,0.1283198371920952,0.1779262575508421,-0.1874272447310552,0.8774030696328373,0.7204051615210826,0.8622194776163008,0.7670142173152525,0.830284387588198,Java_high_Java_low_results.csv
48,41,5,high,low,0.1240245991322989,-0.0446172894101759,0.1509906889841781,0.1648237167730086,-0.151925582910143,0.8699308572400104,0.7353618871469889,0.8420478021744704,0.7454698384308454,0.8185922495768098,Java_high_Java_low_results.csv
48,43,5,high,low,0.1021811520371924,-0.113403146514861,0.1145526412845334,0.1677328210392848,-0.1893969295866098,0.8902638767295816,0.8126465569438031,0.8751195189414706,0.7697250927032193,0.8293969295866097,Java_high_Java_low_results.csv
48,44,5,high,low,0.1012434025609824,-0.0498575866489727,0.0984358530658709,0.0829836748971181,-0.1314893835044344,0.8922297741710252,0.7773935874854412,0.8929644682575821,0.7816538469805575,0.8314893835044344,Java_high_Java_low_results.csv
48,56,5,high,low,0.1097251034710659,-0.0554336282154884,0.0998120357907239,0.0891795437697599,-0.2400801698686803,0.8832683026583484,0.8161088811517769,0.89191477254653,0.784241057259788,0.8224445109539517,Java_high_Java_low_results.csv
48,60,5,high,low,0.112953285825087,0.0105345247581865,0.1377229291885848,0.1164002662769578,-0.1890453351250692,0.8778806859671433,0.7582228771878816,0.8501228315175486,0.7432803317840002,0.833054551714931,Java_high_Java_low_results.csv
48,63,5,high,low,0.1162758901427948,-0.0485194882797341,0.109896947509047,0.1479890125342345,-0.2168616716378794,0.874403834292347,0.7582341307118405,0.8755682729555778,0.7644660833555306,0.8532253080015157,Java_high_Java_low_results.csv
48,64,5,high,low,0.1259708589542171,0.0327593294704913,0.1244134831597665,0.1317216110316421,-0.1420791771172633,0.8650949405376862,0.6652198858072709,0.8625451987779142,0.7568816806943666,0.8229882680263543,Java_high_Java_low_results.csv
48,65,5,high,low,0.1074000173077618,-0.0768803706975943,0.0985335812629988,0.1887581261346591,-0.0588825775264774,0.8830845306842636,0.7909389980203069,0.8881374516603697,0.7396075409699354,0.8207873394312393,Java_high_Java_low_results.csv
48,74,5,high,low,0.1171667595581893,-0.0810079638408479,0.1065916910466155,0.0847972492805961,-0.1374273644212469,0.8738373348852211,0.7939296553658076,0.8802924153042546,0.7918344128638894,0.8176221696160522,Java_high_Java_low_results.csv
48,77,5,high,low,0.1169528158136163,-0.0396389440975959,0.139251878986741,0.1777085257348996,-0.2158473061065169,0.8750920328427696,0.7096677269260157,0.8496657877073299,0.7494739990118908,0.82454295828043,Java_high_Java_low_results.csv
48,78,5,high,low,0.117639373739154,-0.0416381283357093,0.1039085369122017,0.1724521930058291,-0.1401867006554235,0.8755681993598927,0.769617658750525,0.8863528045556868,0.7449599341292119,0.8419410866203357,Java_high_Java_low_results.csv
48,79,5,high,low,0.1229114216805719,-0.048952516486121,0.1290741615245336,0.1219914688240384,-0.1695730262218997,0.87069415530321,0.7910089388873489,0.8627770622534384,0.7552059572483293,0.8481444547933283,Java_high_Java_low_results.csv
