exp_a,exp_b,stimulus,expertise_a,expertise_b,score
48,64,vehicle,high,low,0.8379907473633201
26,101,vehicle,high,low,0.8855323802362491
68,77,vehicle,high,low,0.8035611939230896
1,126,vehicle,high,low,0.8493703993732235
48,114,vehicle,high,low,0.7654723841460427
1,35,vehicle,high,low,0.8619677201369578
68,99,vehicle,high,low,0.7845826684658709
48,179,vehicle,high,low,0.7487432514256787
48,63,vehicle,high,low,0.8034535999651383
26,104,vehicle,high,low,0.8607046837743523
68,78,vehicle,high,low,0.7159160638775519
1,63,vehicle,high,low,0.7869187127973436
1,128,vehicle,high,low,0.8675372001792021
48,60,vehicle,high,low,0.7661016789592865
1,164,vehicle,high,low,0.8615565732867673
68,94,vehicle,high,low,0.7842995635376705
68,79,vehicle,high,low,0.7662611088060415
1,132,vehicle,high,low,0.8407568836615104
26,114,vehicle,high,low,0.7798314670856082
48,56,vehicle,high,low,0.7659115495937374
48,104,vehicle,high,low,0.8370699949268947
68,114,vehicle,high,low,0.7389293729381672
68,139,vehicle,high,low,0.7250550433104928
68,104,vehicle,high,low,0.8391632128702797
68,140,vehicle,high,low,0.7342807560934372
69,27,vehicle,high,low,0.908986338960155
68,200,vehicle,high,low,0.7905542319050959
68,176,vehicle,high,low,0.8057655147187158
68,180,vehicle,high,low,0.7741550276381814
68,182,vehicle,high,low,0.8138491067412418
69,29,vehicle,high,low,0.8261246580051257
69,34,vehicle,high,low,0.7708859914344804
68,164,vehicle,high,low,0.7576732477523701
69,31,vehicle,high,low,0.766087046844386
69,35,vehicle,high,low,0.7370246626015502
69,37,vehicle,high,low,0.7916239813750526
69,41,vehicle,high,low,0.7502906503646732
68,172,vehicle,high,low,0.7972682522007094
69,43,vehicle,high,low,0.7796775410982724
69,44,vehicle,high,low,0.7728541519519525
69,65,vehicle,high,low,0.898015870735768
69,60,vehicle,high,low,0.7632617354429131
69,74,vehicle,high,low,0.8192277161258864
69,10,vehicle,high,low,0.8393399626572595
69,63,vehicle,high,low,0.797485249435254
69,78,vehicle,high,low,0.8203165046775863
68,124,vehicle,high,low,0.7836356248284814
69,56,vehicle,high,low,0.773512603250264
68,179,vehicle,high,low,0.8059442551776655
68,183,vehicle,high,low,0.7606580865745216
68,132,vehicle,high,low,0.8065107107276657
68,126,vehicle,high,low,0.7990978442816516
69,94,vehicle,high,low,0.7969712973209485
69,114,vehicle,high,low,0.8343465009892794
68,128,vehicle,high,low,0.8226282214148308
68,170,vehicle,high,low,0.7596849812017803
69,21,vehicle,high,low,0.7470380629825715
69,139,vehicle,high,low,0.7664733855445384
69,164,vehicle,high,low,0.8374797814141879
69,64,vehicle,high,low,0.8022900904668712
69,180,vehicle,high,low,0.7733161236015175
69,79,vehicle,high,low,0.7301045810222265
80,10,vehicle,high,low,0.8558572246543599
69,170,vehicle,high,low,0.735151025052049
69,179,vehicle,high,low,0.769014054661584
69,200,vehicle,high,low,0.8390096491000637
80,27,vehicle,high,low,0.8704194470072852
69,104,vehicle,high,low,0.8386975918088415
69,183,vehicle,high,low,0.7626821886664147
80,29,vehicle,high,low,0.8385989993339588
80,13,vehicle,high,low,0.9308879140208169
80,31,vehicle,high,low,0.8885401224608437
69,99,vehicle,high,low,0.7646687594142307
69,128,vehicle,high,low,0.7438079547877641
80,35,vehicle,high,low,0.9125181544922994
80,37,vehicle,high,low,0.8857262591844162
80,56,vehicle,high,low,0.8792333727688826
80,41,vehicle,high,low,0.8979686341279859
80,21,vehicle,high,low,0.8701149355696376
69,182,vehicle,high,low,0.7981136663831414
80,43,vehicle,high,low,0.8909555803418113
80,65,vehicle,high,low,0.8124602714578805
80,74,vehicle,high,low,0.8574920540594467
80,63,vehicle,high,low,0.8846725971215392
80,60,vehicle,high,low,0.891641612132939
80,78,vehicle,high,low,0.819087755059417
80,79,vehicle,high,low,0.8661715549959978
80,94,vehicle,high,low,0.7897915570694429
80,104,vehicle,high,low,0.8415638286258434
80,114,vehicle,high,low,0.8312095773348229
80,99,vehicle,high,low,0.87962784771014
80,64,vehicle,high,low,0.9129104002628464
80,34,vehicle,high,low,0.875440486018523
80,124,vehicle,high,low,0.8548811035052905
80,139,vehicle,high,low,0.8607420096642644
69,172,vehicle,high,low,0.7432072246004434
80,132,vehicle,high,low,0.8808210743221955
80,126,vehicle,high,low,0.8582458121226598
80,128,vehicle,high,low,0.9265353460855
80,44,vehicle,high,low,0.8684082855336085
80,164,vehicle,high,low,0.8647644837807227
80,170,vehicle,high,low,0.9123823365342919
80,180,vehicle,high,low,0.8311571513246322
80,77,vehicle,high,low,0.9262052825191652
80,101,vehicle,high,low,0.9495621878249596
80,183,vehicle,high,low,0.8599513175813126
69,140,vehicle,high,low,0.8048720559108968
80,200,vehicle,high,low,0.8607796769192284
80,179,vehicle,high,low,0.907142967600415
80,182,vehicle,high,low,0.9014922968192671
82,27,vehicle,high,low,0.8851954398808897
69,126,vehicle,high,low,0.7790989156920697
82,10,vehicle,high,low,0.8173044268221055
80,172,vehicle,high,low,0.8363650715307049
80,140,vehicle,high,low,0.8859113619865792
69,13,vehicle,high,low,0.7725082785031835
82,34,vehicle,high,low,0.7909368900387163
80,176,vehicle,high,low,0.8952647367599709
82,31,vehicle,high,low,0.7544395846825928
82,21,vehicle,high,low,0.8023769483337181
82,37,vehicle,high,low,0.7748586567475881
82,35,vehicle,high,low,0.7375617365668447
69,124,vehicle,high,low,0.829908012902829
82,65,vehicle,high,low,0.8795962295285414
82,43,vehicle,high,low,0.7874259327712337
82,29,vehicle,high,low,0.7984512929522647
69,132,vehicle,high,low,0.8093474832519439
82,56,vehicle,high,low,0.7559033259044956
82,63,vehicle,high,low,0.792612787232851
82,78,vehicle,high,low,0.7982899912813013
69,176,vehicle,high,low,0.7013912880338365
82,94,vehicle,high,low,0.8035962529147471
82,114,vehicle,high,low,0.8050732009005018
82,74,vehicle,high,low,0.7932052225400106
82,99,vehicle,high,low,0.7886615422292391
69,77,vehicle,high,low,0.7653160401543271
82,124,vehicle,high,low,0.8049713835180988
82,140,vehicle,high,low,0.786705379819367
82,126,vehicle,high,low,0.7951391343257447
82,132,vehicle,high,low,0.8144947273790034
82,139,vehicle,high,low,0.7639300383628566
82,164,vehicle,high,low,0.7924536461818361
82,180,vehicle,high,low,0.7877708951402888
82,172,vehicle,high,low,0.7585483008840932
86,10,vehicle,high,low,0.8112467496086182
82,179,vehicle,high,low,0.7496575511391738
82,200,vehicle,high,low,0.8283544235949968
82,77,vehicle,high,low,0.7534552888861643
82,176,vehicle,high,low,0.7623251492800155
82,183,vehicle,high,low,0.7881411829892138
82,101,vehicle,high,low,0.8250233913154913
86,27,vehicle,high,low,0.9089737188792686
86,34,vehicle,high,low,0.7684180041890202
86,31,vehicle,high,low,0.7543697963352335
86,37,vehicle,high,low,0.8022991654232386
82,44,vehicle,high,low,0.774650973819411
86,35,vehicle,high,low,0.758496278181677
86,21,vehicle,high,low,0.794358307356166
82,104,vehicle,high,low,0.8501815152944583
82,41,vehicle,high,low,0.7553637281421217
82,60,vehicle,high,low,0.7237184635640348
82,64,vehicle,high,low,0.81729142957513
86,13,vehicle,high,low,0.7827457893251281
86,29,vehicle,high,low,0.8640992665367275
86,78,vehicle,high,low,0.8069587021899006
86,41,vehicle,high,low,0.7184708212864691
82,79,vehicle,high,low,0.7429881186182802
82,182,vehicle,high,low,0.7873633238107444
86,43,vehicle,high,low,0.7812329711045576
86,63,vehicle,high,low,0.7987358284367303
86,44,vehicle,high,low,0.7754121663545305
86,60,vehicle,high,low,0.7483748045895741
86,94,vehicle,high,low,0.8432480268916434
86,114,vehicle,high,low,0.8380011754311026
86,139,vehicle,high,low,0.7624783689469212
86,74,vehicle,high,low,0.8139475316322475
86,124,vehicle,high,low,0.8430269110974814
86,99,vehicle,high,low,0.7427460537851766
86,65,vehicle,high,low,0.9105570899397137
82,170,vehicle,high,low,0.7700377142066542
86,126,vehicle,high,low,0.8196301042758173
82,13,vehicle,high,low,0.7817693268518171
86,140,vehicle,high,low,0.8160962143330528
86,172,vehicle,high,low,0.8012589421216004
86,56,vehicle,high,low,0.7651175851351157
86,170,vehicle,high,low,0.7495804501159976
86,180,vehicle,high,low,0.7920357500858761
86,128,vehicle,high,low,0.7488655986291829
82,128,vehicle,high,low,0.7808912924891843
87,27,vehicle,high,low,0.9002874454564036
86,200,vehicle,high,low,0.8618533742237552
86,179,vehicle,high,low,0.7648388548782451
86,79,vehicle,high,low,0.7440124217227316
86,132,vehicle,high,low,0.8178466067839887
86,183,vehicle,high,low,0.795876247227982
87,10,vehicle,high,low,0.8302367450264831
87,21,vehicle,high,low,0.8052910685156975
86,164,vehicle,high,low,0.8383142584394783
87,34,vehicle,high,low,0.8061941502811589
87,31,vehicle,high,low,0.7421896313002769
87,35,vehicle,high,low,0.7787666331661629
87,56,vehicle,high,low,0.7495096381618164
87,43,vehicle,high,low,0.805793277291109
87,13,vehicle,high,low,0.7971624203382233
87,65,vehicle,high,low,0.9018737530526785
86,104,vehicle,high,low,0.8684251899522625
87,74,vehicle,high,low,0.8057629949168884
87,63,vehicle,high,low,0.7890540230916131
87,78,vehicle,high,low,0.8047202278849063
87,29,vehicle,high,low,0.8073160878388734
87,104,vehicle,high,low,0.8688761146216403
87,79,vehicle,high,low,0.7787064928309501
87,99,vehicle,high,low,0.8066664220975817
87,77,vehicle,high,low,0.7438387062390671
87,64,vehicle,high,low,0.8280078983929401
69,101,vehicle,high,low,0.7991042933270756
87,44,vehicle,high,low,0.7881022449019602
86,77,vehicle,high,low,0.745472934539657
87,139,vehicle,high,low,0.7846151567016739
87,124,vehicle,high,low,0.840293392253194
87,114,vehicle,high,low,0.8145483512143727
87,126,vehicle,high,low,0.8144111844830979
87,94,vehicle,high,low,0.8320759588289534
87,41,vehicle,high,low,0.7258122494259818
86,101,vehicle,high,low,0.7957767643942854
87,132,vehicle,high,low,0.8255710436999103
86,182,vehicle,high,low,0.8109382930973704
118,10,vehicle,high,low,0.7457170377971561
87,172,vehicle,high,low,0.79907102213419
118,27,vehicle,high,low,0.8576352601429973
87,180,vehicle,high,low,0.8179126336585276
87,200,vehicle,high,low,0.8189111911749329
87,37,vehicle,high,low,0.761337704959725
118,29,vehicle,high,low,0.8536387298826985
87,128,vehicle,high,low,0.8158969481444067
86,176,vehicle,high,low,0.727603017435203
118,21,vehicle,high,low,0.8456560206868848
