session_id,trial_id,name,onset,offset,duration,amplitude,dispersion,disposition,peak_velocity,location,location_x,location_y,trial_index,RECORDING_SESSION_LABEL,code,render,expertise
11,8,fixation.ivt,1290,1463,173,0.2608550523936443,0.351619996498286,0.1253404292195974,19.93410228705172,[1210.00948276  548.60172414],1210.0094827586206,548.601724137931,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,1528,1633,105,0.1963213798563729,0.2763706627529592,0.0727950772719427,18.554105869664607,[676.86792453 399.38113208],676.8679245283021,399.38113207547184,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,1693,1886,193,0.1860725677751325,0.2619159886949465,0.1093779841023203,15.818107487421456,[535.30386598 123.7314433 ],535.3038659793814,123.73144329896908,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,1912,2096,184,0.1805624121856788,0.2553265677845822,0.104008237912001,18.911297720280203,[578.99027027  82.74864865],578.9902702702703,82.74864864864865,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,2269,2502,233,0.2253459467470465,0.3099450822103495,0.19527845390491,19.675773478221817,[520.26068376  78.39978632],520.2606837606836,78.39978632478633,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,2638,2803,165,0.1431350197846465,0.2019866480108021,0.0228622292603712,14.374338696049517,[521.23313253  41.52289157],521.2331325301204,41.52289156626506,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,2833,2970,137,0.229580056763453,0.3029220955663572,0.1684980715585573,18.52843574319589,[453.25181159  34.11050725],453.2518115942029,34.11050724637681,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,3107,3233,126,0.2850756681022314,0.3717547868227893,0.2707454383485057,19.07216734664309,[542.92440945  78.06141732],542.9244094488189,78.06141732283466,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,3262,3460,198,0.201318453322729,0.2504851414279336,0.1321199970332933,15.337421060452472,[609.62914573  84.52562814],609.6291457286432,84.52562814070353,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,3477,3585,108,0.2140279841243454,0.2902276899177067,0.1306258857515125,19.212573063286424,[582.21009174  88.71697248],582.2100917431192,88.71697247706426,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,3737,3970,233,0.186662697245127,0.2639531316738281,0.1001343553688944,16.80130404288653,[593.15277778 218.76068376],593.1527777777778,218.76068376068375,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,4000,4153,153,0.172043728744213,0.2409416072997627,0.1058729616501296,16.41560070643315,[595.27727273 264.09545455],595.2772727272728,264.0954545454546,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,4169,4603,434,0.2208539760984814,0.3119482043520563,0.1899546085216686,19.160851255947858,[563.78678161 265.44413793],563.7867816091954,265.4441379310345,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,4631,4733,102,0.1573539942680618,0.2224210232672181,0.086323917261189,19.56783796446855,[627.38106796 258.17184466],627.3810679611648,258.17184466019415,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,4767,4886,119,0.2137851201268486,0.2989816885483076,0.1597167775468406,19.068759825753865,[529.32791667 209.0875    ],529.3279166666665,209.0875000000001,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,4946,5103,157,0.2122343376342541,0.2992511953961072,0.1697158997730822,17.95025151740458,[594.43481013 421.49113924],594.4348101265823,421.4911392405064,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,5127,5296,169,0.180516724900718,0.2508793520100041,0.0535830882165739,16.982036423557037,[571.67852941 442.91176471],571.6785294117648,442.9117647058824,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,5560,5755,195,0.2260482506699388,0.3186184499591493,0.1684948315102553,14.652834336442794,[540.67704082 437.52091837],540.6770408163266,437.52091836734695,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,5800,6044,244,0.2670348330716943,0.3741347989062529,0.1784574207127017,18.984059262783997,[488.24326531 211.77306122],488.2432653061224,211.77306122448977,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,6102,6249,147,0.2994179144393657,0.4142278694978456,0.2569311907898595,19.75957891411335,[592.25371622 401.70945946],592.2537162162162,401.7094594594595,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,6568,6690,122,0.2991560548242624,0.4155258115012055,0.2728861757211725,18.582939981448444,[754.68252033 443.84796748],754.6825203252033,443.8479674796748,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,6717,6877,160,0.298225896478178,0.4145109456045861,0.1884079241557359,17.656173901281353,[802.22701863 461.79440994],802.2270186335404,461.79440993788825,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,7372,7507,135,0.1897116763121031,0.2682385978675454,0.1338610825529645,18.033695219087345,[755.80036765 453.18786765],755.8003676470589,453.18786764705885,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,7542,7725,183,0.2594494046924321,0.3550945151523739,0.1755275130759699,19.34584893303577,[855.16222826 455.13206522],855.1622282608696,455.1320652173912,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,7765,7966,201,0.2089460968694945,0.2898729592885103,0.0980183924201686,17.374847364255633,[691.01732673 445.19628713],691.0173267326733,445.19628712871287,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,8018,8126,108,0.2660504587746261,0.3754419684597203,0.1132017991460546,18.39536241773598,[651.32385321 512.68807339],651.3238532110094,512.6880733944954,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,8433,8565,132,0.3959545458949281,0.4890027192099337,0.3178925081876259,18.73698791494067,[628.34548872 571.78120301],628.3454887218044,571.7812030075188,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,8736,8911,175,0.3388351802516213,0.4375930688133942,0.166800321177521,18.492901161934785,[816.48181818 585.45255682],816.4818181818181,585.4525568181817,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,8953,9144,191,0.1811590412404733,0.2557277506484843,0.0462394177109994,14.468341828794124,[863.909375   584.12916667],863.9093749999998,584.1291666666667,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,9189,9398,209,0.187834405719669,0.2605212515806979,0.0354883458436519,19.176662854607805,[644.15357143 508.99261905],644.1535714285712,508.9926190476191,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,9441,9619,178,0.3789739313412488,0.5210180057091114,0.288749184756711,19.345127797730576,[592.09050279 580.64162011],592.0905027932962,580.6416201117318,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,9654,9800,146,0.2540821698493405,0.3580110001713703,0.1534347165035361,18.403831324987777,[666.49217687 615.22414966],666.4921768707484,615.2241496598639,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,9862,10037,175,0.2110663008390969,0.2974413578925308,0.1612422509748299,18.781809382148037,[633.11818182 763.11477273],633.1181818181819,763.1147727272728,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,10065,10247,182,0.2918721926397263,0.4057813460795856,0.156059853188701,19.669583014754995,[604.45956284 777.01284153],604.45956284153,777.0128415300545,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,10634,10794,160,0.2755817757676104,0.386223861588201,0.1710614676293952,18.754690488792935,[700.94782609 777.32267081],700.9478260869565,777.3226708074535,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,10980,11126,146,0.1832115122228541,0.2483558065490312,0.1114398957903068,18.442488852951573,[841.56734694 772.16462585],841.5673469387756,772.16462585034,2,S11T8,c3,r1,Intermediate
11,8,fixation.ivt,11160,11347,187,0.2522943142705838,0.3380905050602978,0.1521051518257387,19.381722894317043,[891.56515957 773.21276596],891.5651595744681,773.2127659574468,2,S11T8,c3,r1,Intermediate
