exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration,baseline_Shape,baseline_Length,baseline_Direction,baseline_Position,baseline_Duration
10,3,5,low,none,0.106344562234443,-0.07096676040088279,0.10177955460826227,0.14235521144682772,-0.1543133950307738,0.8852151740732187,0.7562321695203614,0.8865675987811372,0.7845144988460647,0.8028428067954796
10,5,5,low,none,0.12287580530259246,-0.04938990903877394,0.1418223210585503,0.17805703630824077,-0.19176107083862015,0.8698082589141726,0.8013533777571938,0.8489267048385032,0.768790063458395,0.8456072246847741
10,12,5,low,none,0.12148570886942966,-0.03447029015063374,0.1248437317281682,0.15049062997024942,-0.17155841460043142,0.8696080656522507,0.845763224107752,0.8609669699925545,0.7535952787880816,0.8410986444854889
10,28,5,low,none,0.1154386829142442,-0.003920759413060804,0.10708347196958301,0.16809827158799517,-0.18550456745979338,0.8753203242783245,0.7966859992174344,0.8807967915227619,0.7882207044414716,0.8161863856416116
10,30,5,low,none,0.11369686355946484,-0.04241718725718657,0.10180315507427562,0.1255712215907384,-0.11994745463200596,0.8780546338847632,0.8077126931040828,0.8860164261381648,0.7927472915819831,0.8122551469396982
10,36,5,low,none,0.12106070089425514,-0.10590192189476355,0.12811097564775809,0.16975595224330065,-0.186533642654937,0.870167568732836,0.7703236341867685,0.8604412918874429,0.7794783863029975,0.8532003093216036
10,93,5,low,none,0.11137962470636364,-0.14199650620803783,0.10970060168814211,0.15030546039403625,-0.12265760576398743,0.8799615700404635,0.8002190829073889,0.8799447037395869,0.7525313364483793,0.8323350251188262
10,96,5,low,none,0.12330405764979457,-0.04640309498704076,0.11733069346634795,0.1710041048693517,-0.25485247378926945,0.8677037882199696,0.7928888358773238,0.869703960736854,0.7004237734889778,0.8290282979650936
10,110,5,low,none,0.11590811099259779,-0.04661566083279722,0.1347497220638053,0.17993054074462367,-0.19544757759217712,0.87686112569611,0.8062484829297115,0.8548117059669502,0.7741056227763481,0.8318112139558136
10,154,5,low,none,0.11908416402450595,-0.05284790591358024,0.13307122464471444,0.18445151806711846,-0.18221908913916118,0.8746665741446202,0.7208506668943966,0.8577038851482317,0.7134312657719217,0.8488857558058278
10,163,5,low,none,0.11098318646094552,0.01195119567703462,0.10380539065179673,0.1864062911639498,-0.11300908769833229,0.8785802122422617,0.8030759068813222,0.8834153140330051,0.7489823357143587,0.8272948019840465
10,181,5,low,none,0.11391488036417119,-0.10496281786011763,0.11706519458978382,0.17876324107247243,-0.14970905371540877,0.8775702079098534,0.8006370997823428,0.8704311601474187,0.7669994364492339,0.8297090537154087
10,189,5,low,none,0.1059415083199493,-0.07432334518693962,0.10103561048077103,0.11871717680478355,-0.15963382765705902,0.886798827483273,0.7968023917790832,0.8888113885925897,0.7580583996778611,0.8118077407005373
10,196,5,low,none,0.12769999548684263,-0.0037393137605102877,0.17285057548926253,0.17284819765140857,-0.16337369620075615,0.861031034877098,0.64622014933953,0.8097041325179404,0.7035288583816789,0.8433736962007561
10,201,5,low,none,0.10131523443247781,-0.08773788735896737,0.08092925238476889,0.14852027059874406,-0.20868657383971445,0.8902263371930126,0.8138475991604022,0.9076992229089629,0.7753742400556729,0.8665813106818196
10,204,5,low,none,0.13554100152940285,0.028550995209011498,0.1524463318936249,0.16942880913898262,-0.18785991909363642,0.8539008068918021,0.5853801267870704,0.8307137671400384,0.7474868571039188,0.8242235554572729
10,211,5,low,none,0.12262772746840012,-0.07398547279491519,0.10504512301583557,0.1691163430121002,-0.1555097041591984,0.8700682955992445,0.8156230828607172,0.8844326895704513,0.7679992642607734,0.8250499340442559
13,3,5,low,none,0.1311577555525859,0.0039075637803818175,0.15900657605800994,0.19251094883241504,-0.17385909603503302,0.8606676560286122,0.6661783588481431,0.8294804097037265,0.7255708326539543,0.8405257627016997
13,5,5,low,none,0.1260214727491511,-0.008532599417769404,0.14939050457173775,0.20048941141374033,-0.1914946564993636,0.8664517281539802,0.6817121935895498,0.8387305916848424,0.7336090783084317,0.8453408103455176
13,12,5,low,none,0.12474917361661653,-0.013200530263336896,0.14321483501648802,0.19532718637082258,-0.14920873253270717,0.8670064114084134,0.6617350766506918,0.8451451662606857,0.7086237759540468,0.8242087325327072
13,28,5,low,none,0.11808793412241902,0.0227860551825686,0.16008078901864964,0.16982103509590063,-0.19259320440544592,0.8741903653163121,0.6309595703130593,0.8279298248957404,0.7419279442286268,0.8322653355529869
13,30,5,low,none,0.13067465791120403,-0.02119180480540983,0.15369632951024914,0.184316022538757,-0.19140308642881143,0.8611082551346483,0.6816650342646675,0.8344099534516057,0.7340787288840527,0.8435769994722897
13,36,5,low,none,0.13289941237958347,-0.039632186357853705,0.18230716308274597,0.18745981780264231,-0.20359339225698292,0.8582687364426159,0.6533724012943827,0.8054472419711397,0.7011222735996958,0.8096539983175889
13,93,5,low,none,0.13248532384484235,0.012437565807051909,0.1924815516183822,0.1542659946387026,-0.23037962986450944,0.8592666488846306,0.6291891649452352,0.7948694924440939,0.7299853120259419,0.8303796298645094
13,96,5,low,none,0.11722639749144226,-0.0855484293910882,0.11727930728636649,0.18358108912058568,-0.24208552233997627,0.8738567949307242,0.754372901914671,0.8704673939070758,0.7316985544104363,0.8379376607453062
13,110,5,low,none,0.12511064708690067,0.02361488156719116,0.17560375471133005,0.1310086955314428,-0.22698361687629476,0.8670734441775743,0.6282182985083522,0.8123674441700492,0.7569244983425675,0.8561064238938386
13,154,5,low,none,0.1134995836082543,-0.05219903574382723,0.1177683836898854,0.13403762180762735,-0.21059890252484026,0.879390038228075,0.7796628139498982,0.8723411164173893,0.7752348416169951,0.8301227120486497
13,163,5,low,none,0.12114382924262479,-0.042389583560953126,0.14015606117911417,0.1563979735333525,-0.23434783399032566,0.8692815091943976,0.6981173757553412,0.8458062212787602,0.7518747686471625,0.8252569248994166
13,181,5,low,none,0.12196129570753567,-0.010677594162386672,0.14948713564129223,0.19934691129283333,-0.16952743280611138,0.8696523124583659,0.6508657096928709,0.8376770987932426,0.7105216998235775,0.8036737742695259
13,189,5,low,none,0.12300444295513968,-0.07116896150315799,0.12830849705795644,0.17683243693416106,-0.1775088579993056,0.8692201870770241,0.6955457240420544,0.8604541728520914,0.7335418244821353,0.8261575066479543
13,196,5,low,none,0.1126049064999941,-0.026465795818217064,0.10821710709064669,0.10885542479329657,-0.1993510076980124,0.8770450317038165,0.804044711061591,0.8776668501538334,0.7789268112102119,0.8357146440616489
13,201,5,low,none,0.12934445410991424,0.031694439090304005,0.1609408465543224,0.2106875039670154,-0.1545119654955993,0.8624114557862603,0.603880807326896,0.8265676013714897,0.715383172236827,0.831931320334309
13,204,5,low,none,0.13578048765672146,-0.0010703637663231902,0.18427301588979084,0.15467826659362083,-0.23178280546227048,0.8554003790065668,0.5627724292899,0.8011941027975533,0.714670135721871,0.8317828054622703
13,211,5,low,none,0.1177230975928053,-0.05535659647198199,0.13061538201654077,0.18935911217020795,-0.21612669258849493,0.8745834149367944,0.7285817009524278,0.85869954543312,0.7515533044222132,0.8485828329393722
21,3,5,low,none,0.12809080061311173,-0.07839861902393663,0.1409843038216425,0.17560507214620613,-0.1363197856607934,0.8648593997793808,0.7280454186246347,0.8496368580143173,0.7316208579744521,0.8506054999465076
21,5,5,low,none,0.11670274460202568,-0.06191566532550352,0.12527613936653514,0.11483370731571518,-0.1516236409797952,0.8760840484627171,0.7440000789179484,0.866213118180678,0.7536720269509368,0.8290429958185049
21,12,5,low,none,0.12547275079686526,-0.050621375394687806,0.12531609226619633,0.15668473345053735,-0.14010512604380754,0.86737963689648,0.7095529049504183,0.8655542706248688,0.7514704214899988,0.8345495704882521
21,28,5,low,none,0.11820943370900738,0.033638841368572425,0.13927761944576067,0.14559073408568723,-0.18480428101786261,0.8739438566203853,0.663600573571598,0.8493629023009874,0.742030308085042,0.8248042810178625
21,30,5,low,none,0.11814313521440589,-0.012028982510482678,0.14014755537684187,0.15192386051838036,-0.10369595652063268,0.8745334357664182,0.7099701283278741,0.8499070157439024,0.7519180343258828,0.83096868379336
21,36,5,low,none,0.12135673745071573,-0.0788755503941323,0.14948102291052734,0.1029120476778056,-0.13770428113628164,0.8713895083075156,0.7037900408763365,0.8401471755613887,0.749444634755204,0.8377042811362816
21,93,5,low,none,0.1264666236488634,-0.01496432610542453,0.14253723139427954,0.16692413781265913,-0.13207960585297962,0.8656866666805293,0.6868123127219109,0.8455554606804107,0.7414748048922261,0.8120796058529796
21,96,5,low,none,0.11885883187320279,-0.09891174784473777,0.1251111686663533,0.1319969203708521,-0.21616860856368048,0.8720553183758247,0.7964535833992279,0.8613516547028927,0.7640801379796086,0.8373242469606982
21,110,5,low,none,0.11769051131196073,-0.055958886822619736,0.11957218354104415,0.11264749672567476,-0.191169126633984,0.8750176686875457,0.7328620723632218,0.8707329911897463,0.7617505121262772,0.8463415404270874
21,154,5,low,none,0.11529118009552841,-0.11725045356341623,0.11234038634513144,0.12365564539242435,-0.16005553956716,0.8786170107710323,0.813628980371337,0.8804289636577186,0.7844098696707555,0.8457922166831474
21,163,5,low,none,0.11316343415438934,-0.05233700559257071,0.1179572832043636,0.12627207839287402,-0.1456380359286673,0.8782498476795865,0.7568638894141717,0.8705565155755998,0.7555002729515243,0.8406863451074114
21,181,5,low,none,0.12260380932256254,-0.07649172009582594,0.1356624691807402,0.1062132094934829,-0.2047577776077827,0.8695166418542187,0.7358937897293705,0.8528015237355282,0.7648183962539089,0.8362392590892642
21,189,5,low,none,0.11101695159101876,-0.10680161556771484,0.12879235896532637,0.1421622145245801,-0.17154212168415106,0.8819020499842863,0.7886008805763954,0.862425261267819,0.7632519391304109,0.8277921216841511
21,196,5,low,none,0.1076530293157868,-0.04782745507650121,0.1001445515194318,0.0876762376610365,-0.1386083011266135,0.8813236367266889,0.7596533074717988,0.8842553653483705,0.7770976635813853,0.834260475039657
21,201,5,low,none,0.12842716566353363,-0.031027933301074007,0.14059590341342554,0.20124306326725128,-0.1935790399164452,0.8646505796117294,0.658266914453538,0.8499585449355379,0.7273260716511061,0.8273188773148192
21,204,5,low,none,0.1397591887615428,0.0351120012577828,0.2006163429076917,0.17402325199526547,-0.17748483655570946,0.8513918646417897,0.5591549223195458,0.7872453093054403,0.6747406858429565,0.8441515032223761
21,211,5,low,none,0.11017970562327584,-0.04978692778199545,0.10833973181180401,0.16597262554312953,-0.1499836521731417,0.8823464508975237,0.7729626733838988,0.8817937727427645,0.7719375963254451,0.8318018339913236
27,3,5,low,none,0.11981829538326616,-0.018635111426606787,0.08906748832585087,0.13126484003228955,-0.14857640290445284,0.8715589888137152,0.7392850879666036,0.8984635295495043,0.7663358493684176,0.8219097362377862
27,5,5,low,none,0.13121907504058472,-0.06395419821294923,0.10780218654173956,0.12014216738379169,-0.08406904756157363,0.8613152726399189,0.7923137833796394,0.881800141325194,0.7713488579212737,0.8231994823441824
27,12,5,low,none,0.10931500145936268,-0.05460813347553961,0.09809274578465066,0.14044597751942833,-0.1481945862702273,0.8808395858000961,0.7860093111771419,0.8874094173230631,0.7734161663119268,0.8481945862702273
27,28,5,low,none,0.11181197894081618,-0.10660066443326988,0.10878558516873149,0.12177411859105203,-0.2340734679413562,0.8786775278262045,0.8266920018826376,0.8800892255802378,0.7722078616985948,0.8242374023675857
27,30,5,low,none,0.11782898779824347,-0.12448329906982136,0.10372563507553534,0.1445667840974294,-0.13114779796672238,0.8732187694409183,0.7985562973652319,0.8850484424390375,0.7653043527038094,0.8348515016704261
27,36,5,low,none,0.10980495515179856,-0.11837289639548443,0.09983440731782556,0.1178310641057626,-0.13447719882294218,0.880937473997164,0.8035940215221089,0.8878914924483773,0.7795534962919963,0.881272070617814
27,93,5,low,none,0.1060454857551445,-0.062435469380785924,0.09073574646855109,0.1257801005473852,-0.17387276002178653,0.8848923387733532,0.7738480856786935,0.8981762770375283,0.7299941902842655,0.8405394266884532
27,96,5,low,none,0.12841402663066614,-0.02390913815464335,0.12201006508960244,0.13666218789058138,-0.23413616112685842,0.8621969787678415,0.7189089021267498,0.8658751139903602,0.775415316235955,0.8140531305093182
27,110,5,low,none,0.14008765242307986,-0.13508003672123503,0.13187269696475745,0.13348367222238655,-0.13658527341358107,0.8523282991966165,0.8068004588572938,0.8583270563789988,0.7662724876618152,0.8402889771172848
27,154,5,low,none,0.12061525955318331,-0.008022692218562888,0.14693540980369946,0.2080306629782931,-0.1250625818303135,0.87324760453985,0.6840652947085881,0.8440221889141403,0.7216641046722341,0.8393482961160277
27,163,5,low,none,0.11920420580205182,-0.0963186866188287,0.13375971230490047,0.1346642270336763,-0.1387697740225926,0.8712646315355621,0.7761908107075103,0.8540259547685521,0.7598497327680651,0.8344219479356361
27,181,5,low,none,0.11549877452522594,-0.07225224442534883,0.13253195324998024,0.14837275967905905,-0.16070083133853585,0.8777706341981703,0.7693037172815715,0.8580724612958139,0.7542806552165908,0.8389361254561829
27,189,5,low,none,0.13267542270074806,-0.1114622963769275,0.11538591739744652,0.14102020367340007,-0.17087201932984353,0.8599070811754957,0.7641125989857139,0.8744929443415805,0.7642212663784762,0.8555311102389345
27,196,5,low,none,0.124466421947105,0.058969444700707974,0.17758769956649167,0.18256764193201636,-0.10971034045659456,0.862605000680554,0.5937339941244653,0.8004033233168862,0.7134589807223284,0.8338482714910773
27,201,5,low,none,0.13562529415646518,-0.0883908764453728,0.10389201676468329,0.1065943253395828,-0.19379157352168397,0.8586317879787153,0.7867122310639368,0.8892257058779782,0.7776432370712685,0.8604582401883506
27,204,5,low,none,0.13064190113667995,0.0009071330911182285,0.146265390420796,0.21721096824088693,-0.2688166385971016,0.8579498813549774,0.635976538995572,0.8365918863080134,0.6988473001780202,0.8494617998874241
27,211,5,low,none,0.1194467294190571,-0.07769628672460238,0.12649482290806668,0.1589695561529766,-0.15881142289834183,0.8737007710153845,0.8075716804285306,0.862440215888157,0.7325409449849885,0.8197309631282268
29,3,5,low,none,0.11311996656365864,0.002345508811876673,0.11586293314466534,0.15122984780681903,-0.1662127044426588,0.8786254275461508,0.7985303608779869,0.8745885195152286,0.7572129442564088,0.8328793711093254
29,5,5,low,none,0.11037446895932246,-0.054989434717831576,0.10675289107033903,0.14333767301646827,-0.16152579968445568,0.8811053615938313,0.7933320020046908,0.8807347560940205,0.7779738193969894,0.8433439815026376
29,12,5,low,none,0.10863710594939091,-0.06141169659193546,0.11121767357398415,0.15508793490060924,-0.20138106192238603,0.8822539066671984,0.7911920843490158,0.8768602077115324,0.7654637661466779,0.85522721576854
29,28,5,low,none,0.11413992110056892,-0.10339421355463185,0.09345865158558586,0.13531457468209096,-0.1905438559659769,0.876620498613653,0.8123308338455745,0.892720762767402,0.7804609166075009,0.8155438559659769
29,30,5,low,none,0.10132519724649125,-0.11419445472725265,0.09357733657285072,0.17120204433840025,-0.10949118398774993,0.8898373826034525,0.8004137766855444,0.8951462894352867,0.7757225430079211,0.8140366385332045
