exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration,baseline_Shape,baseline_Length,baseline_Direction,baseline_Position,baseline_Duration
10,4,5,low,medium,0.12147819534038662,-0.0355198116623372,0.11482690226953784,0.07969570852605679,-0.1618944935993173,0.8705003751471183,0.7718558114664245,0.8732541845990202,0.7850595954103046,0.8558744267096852
10,6,5,low,medium,0.11069018636539851,-0.09094002173282878,0.11030890922366776,0.15824358085179113,-0.19067295895954728,0.8812274322010437,0.7869353553110171,0.8792969130679662,0.7815967697007263,0.8529536607139332
10,16,5,low,medium,0.11576543723694765,-0.030039336089933255,0.12372672949041552,0.1735095302462466,-0.13797013226445087,0.8775637461696115,0.7459302601242023,0.8662323305635832,0.7561156868631279,0.8145176475216436
10,17,5,low,medium,0.11728189293642266,-0.14385024202859564,0.11147535602829783,0.16429068309799266,-0.1876273446689538,0.8736043181912536,0.7921762922794069,0.875642403506962,0.7676918046381652,0.8427997584620572
10,19,5,low,medium,0.11760506550407168,-0.05648660145319562,0.10631630887260302,0.12376865707293416,-0.23123349573877827,0.8725647060470378,0.8060798067270123,0.8811764855027988,0.7923775791764427,0.8399291479126914
10,20,5,low,medium,0.11448021621714177,-0.008214322878454139,0.12106287361895163,0.17012313999346396,-0.16963445536492805,0.8760584286271649,0.7519691524383025,0.8657839867898549,0.7572283169089459,0.850543546274019
10,24,5,low,medium,0.10868228621854414,-0.06268376909023554,0.10529636249995655,0.14121611151951585,-0.22033729962308846,0.8841784636951369,0.8004260193056776,0.8836462343296075,0.7650665742942895,0.8549526842384731
10,25,5,low,medium,0.12090072183339828,-0.1472519025398693,0.12133606755661963,0.10039224691485749,-0.15671842569433347,0.8722278517242351,0.7653036325191778,0.8704117113091615,0.7539521419618367,0.8341377805330432
10,32,5,low,medium,0.12447498269412383,-0.053079358723524206,0.12066149591153175,0.19271526890034618,-0.14283622946736352,0.8691465230289689,0.8054870509223611,0.8703140052477725,0.7525981032485726,0.8202555843060733
10,33,5,low,medium,0.11644900617924103,-0.032245634319278293,0.10871102524452558,0.09791743210609893,-0.19483283744718616,0.872609467611583,0.761360220968277,0.8779607836691505,0.7722752773251577,0.8244624670768159
10,40,5,low,medium,0.09664653730286754,-0.01641523963574565,0.1080431665428071,0.10168246533336645,-0.15773897685669336,0.8928353960791656,0.8076119095682891,0.874395071937592,0.7733952134424704,0.8391299543003023
10,42,5,low,medium,0.12303920171942251,-0.034814961171483194,0.12197991242736528,0.1555327869057015,-0.22417012559881255,0.8673388295450357,0.6568546446301973,0.864246970590394,0.7611415176654089,0.805565474436022
10,51,5,low,medium,0.11300337510209124,-0.12638989240515286,0.12331164047119314,0.14623984023803394,-0.15559490378802865,0.880241831515021,0.8077381647263203,0.8670708989816565,0.7528570989297825,0.7970234752166
10,53,5,low,medium,0.11133428950012614,0.0023316326763452855,0.10954593145616265,0.14167935123775632,-0.18198405948328966,0.8794185237087181,0.7950750066961197,0.877224867815683,0.7898024145633449,0.8486507261499563
10,54,5,low,medium,0.11038371262616631,0.04223637710623562,0.10302202049243236,0.106013976284422,-0.23918992868830635,0.8771972343330526,0.7449926556147938,0.8781874472693271,0.7520711765615467,0.8391899286883062
10,55,5,low,medium,0.1194659944352745,-0.007366725017302844,0.15187905494804887,0.17897253189367968,-0.25153123183101656,0.8737248899089743,0.6855841595948293,0.8387851645269024,0.7472090542877536,0.8342426746170861
10,57,5,low,medium,0.12218021982661043,-0.09063295020173046,0.10570866428317516,0.15222480023801677,-0.15545104203330296,0.8696720822761204,0.8027702516203414,0.8823993969590108,0.757657790319724,0.8511032159463464
10,61,5,low,medium,0.13421178010152057,-0.08056180143077785,0.14048296427855178,0.11611998312653005,-0.191833822417819,0.8589533340422888,0.7237711312954684,0.8513278754974402,0.7594989132344513,0.8405014241008485
10,62,5,low,medium,0.11934820546113345,-0.08788819548417226,0.11084769422665819,0.1623039962573234,-0.17876046333297446,0.8718045934362288,0.7692407137137819,0.8750043333055296,0.7736040964997057,0.8587604633329744
10,66,5,low,medium,0.10779834756401496,-0.09029935645518139,0.12307530115149867,0.12889663760482506,-0.16102018160427456,0.8838619305892874,0.8123095681771731,0.8643721660765115,0.7595196280267242,0.8506753540180677
10,70,5,low,medium,0.12662724951675042,-0.06801715872708747,0.12991164525755272,0.17097567505405298,-0.2201454635410517,0.864556858661951,0.7900031597062391,0.8594708812645524,0.756998843985898,0.8461736656562103
10,73,5,low,medium,0.11372829344364577,-0.06408499554027447,0.1032903779798876,0.13815460102234145,-0.1886518852343977,0.876008994138645,0.744489098813693,0.8820121335391099,0.7548871406533237,0.8449018852343977
10,75,5,low,medium,0.11307129811757588,-0.05091653290402176,0.09722885533272063,0.091957834996517,-0.1747157459240276,0.8752055648588954,0.787432199381485,0.8851813903931925,0.7806541934828132,0.8326104827661329
10,81,5,low,medium,0.11712323371424083,-0.048960792113497686,0.09511102370723978,0.15983712407256878,-0.15146054377524854,0.873698159286111,0.7868542850410528,0.894256768947951,0.7666913623169662,0.8181272104419153
10,83,5,low,medium,0.12121293419518275,-0.004346968428703857,0.1246312879724133,0.11147077295575847,-0.10764969660231771,0.8700956842300102,0.7011282138439869,0.8625817357359604,0.7595922672066864,0.834922423875045
10,84,5,low,medium,0.11944851977116999,-0.115257000840153,0.11188721458690176,0.07723784317528715,-0.14514032485164408,0.8733620855038965,0.8086305262366353,0.878940121079756,0.7723362364808686,0.8385163932277124
10,88,5,low,medium,0.11011865963620104,-0.11741949702947285,0.11373469060715835,0.11817099628484451,-0.21909620245768135,0.8806574904537773,0.8110815266027973,0.8738840873766538,0.7927762997623483,0.8153924987539777
10,89,5,low,medium,0.11545228679161679,-0.07582583402654397,0.11826341967401244,0.1243977785054392,-0.19395559738605272,0.8759554756568788,0.7816395995737241,0.8703052909621655,0.7569941957307675,0.8362036594015566
10,91,5,low,medium,0.1085559984694956,-0.008772288605124912,0.10846057184544078,0.09441545972536458,-0.2618947223326771,0.8825918560712591,0.8158891781819637,0.8773259152986306,0.7964548827593189,0.8215438451396947
10,97,5,low,medium,0.10974246497738316,0.005769726108611817,0.11902019196736591,0.11515648633072173,-0.23048575756750855,0.8809684388938063,0.7620319891318044,0.8693527338375836,0.7763399648535296,0.8686675757493267
10,105,5,low,medium,0.12363546255149205,-0.10273085701565021,0.11363431161371773,0.1419657829327453,-0.17083391885813426,0.8698548718764172,0.800621614569214,0.877346755345521,0.7907157142719571,0.8517430097672252
10,108,5,low,medium,0.12230533545840583,-0.10063100426455884,0.11912559643627085,0.14854528053438498,-0.18314225596344214,0.8694400550525172,0.8029736357744901,0.8691733086020822,0.7585850167384682,0.8155983963143194
10,115,5,low,medium,0.11975166170366691,-0.07193725580852006,0.11229072293715348,0.15577927660710955,-0.1773714408670657,0.8714988574028703,0.7661999682517421,0.8752570138490356,0.7539952946732336,0.8517900455182286
