exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score
16,36,Beginner,Beginner,r3,r3,c3,c3,23.97845534186483
16,37,Beginner,Beginner,r3,r3,c3,c3,27.349192972432046
16,38,Beginner,Beginner,r3,r3,c3,c3,22.906340564167955
16,43,Beginner,Beginner,r3,r3,c3,c3,31.712222464313925
16,47,Beginner,Beginner,r3,r3,c3,c3,32.20511720044381
16,50,Beginner,Beginner,r3,r3,c3,c3,31.254020716090018
24,27,Beginner,Beginner,r3,r3,c2,c2,39.3899384575079
24,30,Beginner,Beginner,r3,r3,c2,c2,37.581653349981934
24,33,Beginner,Beginner,r3,r3,c2,c2,41.12002957327997
24,39,Beginner,Beginner,r3,r3,c2,c2,40.09697836361903
24,40,Beginner,Beginner,r3,r3,c2,c2,40.48317780766116
24,9,Beginner,Beginner,r3,r3,c2,c2,41.80107057927679
25,26,Beginner,Beginner,r3,r3,c1,c1,44.097863811059284
25,28,Beginner,Beginner,r3,r3,c1,c1,42.56385415232285
25,29,Beginner,Beginner,r3,r3,c1,c1,42.36664207618323
25,41,Beginner,Beginner,r3,r3,c1,c1,46.970543181365
25,46,Beginner,Beginner,r3,r3,c1,c1,48.279073137179886
25,48,Beginner,Beginner,r3,r3,c1,c1,43.10826179262706
25,52,Beginner,Beginner,r3,r3,c1,c1,42.63148681066537
26,28,Beginner,Beginner,r3,r3,c1,c1,43.94414602885684
26,29,Beginner,Beginner,r3,r3,c1,c1,41.7080482904959
26,41,Beginner,Beginner,r3,r3,c1,c1,47.68911565950616
26,46,Beginner,Beginner,r3,r3,c1,c1,46.549878393987136
26,48,Beginner,Beginner,r3,r3,c1,c1,42.50935442018462
26,52,Beginner,Beginner,r3,r3,c1,c1,49.19431841785103
27,30,Beginner,Beginner,r3,r3,c2,c2,36.84349468119096
27,33,Beginner,Beginner,r3,r3,c2,c2,37.45835540158487
27,39,Beginner,Beginner,r3,r3,c2,c2,36.81624685350564
27,40,Beginner,Beginner,r3,r3,c2,c2,37.54065559793869
27,9,Beginner,Beginner,r3,r3,c2,c2,38.59166024924488
28,29,Beginner,Beginner,r3,r3,c1,c1,38.89661532103354
28,41,Beginner,Beginner,r3,r3,c1,c1,43.25357431849796
28,46,Beginner,Beginner,r3,r3,c1,c1,43.444489123017114
28,48,Beginner,Beginner,r3,r3,c1,c1,40.00384971897243
28,52,Beginner,Beginner,r3,r3,c1,c1,42.456306281484586
29,41,Beginner,Beginner,r3,r3,c1,c1,43.68184861360826
29,46,Beginner,Beginner,r3,r3,c1,c1,39.83340272952083
29,48,Beginner,Beginner,r3,r3,c1,c1,40.50037183526893
29,52,Beginner,Beginner,r3,r3,c1,c1,44.13602578172899
30,33,Beginner,Beginner,r3,r3,c2,c2,34.45773450520954
30,39,Beginner,Beginner,r3,r3,c2,c2,35.79242587589844
30,40,Beginner,Beginner,r3,r3,c2,c2,36.30595840679905
30,9,Beginner,Beginner,r3,r3,c2,c2,38.38483551584733
33,39,Beginner,Beginner,r3,r3,c2,c2,37.50912166409272
33,40,Beginner,Beginner,r3,r3,c2,c2,34.74468734845626
33,9,Beginner,Beginner,r3,r3,c2,c2,41.79001457089472
36,37,Beginner,Beginner,r3,r3,c3,c3,31.59380063053523
36,38,Beginner,Beginner,r3,r3,c3,c3,29.142561103238563
36,43,Beginner,Beginner,r3,r3,c3,c3,36.18592974084669
36,47,Beginner,Beginner,r3,r3,c3,c3,38.00076829733957
36,50,Beginner,Beginner,r3,r3,c3,c3,37.6612804844662
37,38,Beginner,Beginner,r3,r3,c3,c3,30.59747752889027
37,43,Beginner,Beginner,r3,r3,c3,c3,35.75470229182231
37,47,Beginner,Beginner,r3,r3,c3,c3,39.72194489987618
37,50,Beginner,Beginner,r3,r3,c3,c3,37.616780385761245
38,43,Beginner,Beginner,r3,r3,c3,c3,33.415788844250635
38,47,Beginner,Beginner,r3,r3,c3,c3,34.43354167940956
38,50,Beginner,Beginner,r3,r3,c3,c3,34.97194709411955
39,40,Beginner,Beginner,r3,r3,c2,c2,37.292528693302195
39,9,Beginner,Beginner,r3,r3,c2,c2,39.202241348309
40,9,Beginner,Beginner,r3,r3,c2,c2,41.157770280493324
41,46,Beginner,Beginner,r3,r3,c1,c1,45.766991206356714
41,48,Beginner,Beginner,r3,r3,c1,c1,45.79954763658279
41,52,Beginner,Beginner,r3,r3,c1,c1,45.285973818709444
43,47,Beginner,Beginner,r3,r3,c3,c3,43.61481836926889
43,50,Beginner,Beginner,r3,r3,c3,c3,41.68637695473989
46,48,Beginner,Beginner,r3,r3,c1,c1,43.666376788305776
46,52,Beginner,Beginner,r3,r3,c1,c1,47.633928688688634
47,50,Beginner,Beginner,r3,r3,c3,c3,42.88724453288733
48,52,Beginner,Beginner,r3,r3,c1,c1,44.609361281452365
