exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score,source_file
43,52,Beginner,Beginner,r1,r1,c2,c2,37.64498910107546,Beginner_r1_result.csv
46,9,Beginner,Beginner,r1,r1,c3,c3,43.89744264402941,Beginner_r1_result.csv
47,48,Beginner,Beginner,r1,r1,c2,c2,43.39116000883579,Beginner_r1_result.csv
47,50,Beginner,Beginner,r1,r1,c2,c2,33.57836760173488,Beginner_r1_result.csv
47,52,Beginner,Beginner,r1,r1,c2,c2,39.21178353414758,Beginner_r1_result.csv
48,50,Beginner,Beginner,r1,r1,c2,c2,39.56918750168072,Beginner_r1_result.csv
48,52,Beginner,Beginner,r1,r1,c2,c2,40.98275978336413,Beginner_r1_result.csv
50,52,Beginner,Beginner,r1,r1,c2,c2,32.72898706546637,Beginner_r1_result.csv
16,26,Beginner,Beginner,r2,r2,c2,c2,33.129526787502776,Beginner_r2_result.csv
16,29,Beginner,Beginner,r2,r2,c2,c2,33.0845713153896,Beginner_r2_result.csv
16,36,Beginner,Beginner,r2,r2,c2,c2,26.72102728595167,Beginner_r2_result.csv
16,46,Beginner,Beginner,r2,r2,c2,c2,34.095052225554475,Beginner_r2_result.csv
24,25,Beginner,Beginner,r2,r2,c3,c3,42.84745242708325,Beginner_r2_result.csv
24,27,Beginner,Beginner,r2,r2,c3,c3,41.20987301460397,Beginner_r2_result.csv
24,28,Beginner,Beginner,r2,r2,c3,c3,38.385397853619736,Beginner_r2_result.csv
24,33,Beginner,Beginner,r2,r2,c3,c3,43.58397649705823,Beginner_r2_result.csv
24,40,Beginner,Beginner,r2,r2,c3,c3,38.591462806194,Beginner_r2_result.csv
24,41,Beginner,Beginner,r2,r2,c3,c3,45.19577428279231,Beginner_r2_result.csv
24,48,Beginner,Beginner,r2,r2,c3,c3,45.95292896914102,Beginner_r2_result.csv
24,52,Beginner,Beginner,r2,r2,c3,c3,38.62864401061292,Beginner_r2_result.csv
25,27,Beginner,Beginner,r2,r2,c3,c3,42.21486360179931,Beginner_r2_result.csv
25,28,Beginner,Beginner,r2,r2,c3,c3,38.01960784731081,Beginner_r2_result.csv
25,33,Beginner,Beginner,r2,r2,c3,c3,42.821730241098514,Beginner_r2_result.csv
25,40,Beginner,Beginner,r2,r2,c3,c3,36.87155557449106,Beginner_r2_result.csv
25,41,Beginner,Beginner,r2,r2,c3,c3,45.93252418703539,Beginner_r2_result.csv
25,48,Beginner,Beginner,r2,r2,c3,c3,44.859492611050456,Beginner_r2_result.csv
25,52,Beginner,Beginner,r2,r2,c3,c3,38.87329887764234,Beginner_r2_result.csv
26,29,Beginner,Beginner,r2,r2,c2,c2,43.33984949967218,Beginner_r2_result.csv
26,36,Beginner,Beginner,r2,r2,c2,c2,35.87837398995288,Beginner_r2_result.csv
26,46,Beginner,Beginner,r2,r2,c2,c2,42.91218673714327,Beginner_r2_result.csv
27,28,Beginner,Beginner,r2,r2,c3,c3,32.91301140904581,Beginner_r2_result.csv
27,33,Beginner,Beginner,r2,r2,c3,c3,38.09431233849536,Beginner_r2_result.csv
27,40,Beginner,Beginner,r2,r2,c3,c3,36.050127480535934,Beginner_r2_result.csv
27,41,Beginner,Beginner,r2,r2,c3,c3,42.57676216340625,Beginner_r2_result.csv
27,48,Beginner,Beginner,r2,r2,c3,c3,40.52901039290866,Beginner_r2_result.csv
