exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
26,64,vehicle,high,low,525.0,0.8868243243243243,Java_high_Java_low_results.csv
1,13,vehicle,high,low,480.0,0.8695652173913043,Java_high_Java_low_results.csv
26,104,vehicle,high,low,197.0,0.8528138528138528,Java_high_Java_low_results.csv
48,35,vehicle,high,low,231.0,0.8716981132075472,Java_high_Java_low_results.csv
48,176,vehicle,high,low,351.0,0.8602941176470589,Java_high_Java_low_results.csv
68,64,vehicle,high,low,528.0,0.8918918918918919,Java_high_Java_low_results.csv
26,63,vehicle,high,low,214.0,0.823076923076923,Java_high_Java_low_results.csv
1,77,vehicle,high,low,338.0,0.8688946015424165,Java_high_Java_low_results.csv
26,101,vehicle,high,low,806.0,0.9285714285714286,Java_high_Java_low_results.csv
26,124,vehicle,high,low,239.0,0.8385964912280702,Java_high_Java_low_results.csv
68,63,vehicle,high,low,211.0,0.8115384615384615,Java_high_Java_low_results.csv
26,60,vehicle,high,low,247.0,0.8071895424836601,Java_high_Java_low_results.csv
26,99,vehicle,high,low,263.0,0.8885135135135135,Java_high_Java_low_results.csv
1,79,vehicle,high,low,256.0,0.8258064516129032,Java_high_Java_low_results.csv
1,140,vehicle,high,low,184.0,0.8288288288288288,Java_high_Java_low_results.csv
68,60,vehicle,high,low,249.0,0.8137254901960784,Java_high_Java_low_results.csv
26,56,vehicle,high,low,164.0,0.9060773480662984,Java_high_Java_low_results.csv
68,31,vehicle,high,low,213.0,0.8068181818181818,Java_high_Java_low_results.csv
26,180,vehicle,high,low,148.0,0.8176795580110497,Java_high_Java_low_results.csv
26,94,vehicle,high,low,156.0,0.861878453038674,Java_high_Java_low_results.csv
68,56,vehicle,high,low,148.0,0.9367088607594936,Java_high_Java_low_results.csv
26,44,vehicle,high,low,250.0,0.8532423208191127,Java_high_Java_low_results.csv
48,172,vehicle,high,low,186.0,0.93,Java_high_Java_low_results.csv
68,29,vehicle,high,low,178.0,0.9726775956284152,Java_high_Java_low_results.csv
26,79,vehicle,high,low,267.0,0.8612903225806452,Java_high_Java_low_results.csv
68,44,vehicle,high,low,260.0,0.8873720136518771,Java_high_Java_low_results.csv
26,43,vehicle,high,low,258.0,0.8896551724137931,Java_high_Java_low_results.csv
48,164,vehicle,high,low,197.0,0.8382978723404255,Java_high_Java_low_results.csv
