exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
1,124,vehicle,high,low,247.0,0.8666666666666667
48,139,vehicle,high,low,160.0,0.8
26,176,vehicle,high,low,357.0,0.875
1,99,vehicle,high,low,246.0,0.831081081081081
1,27,vehicle,high,low,119.0,0.8947368421052632
26,172,vehicle,high,low,156.0,0.861878453038674
48,200,vehicle,high,low,171.0,0.855
1,101,vehicle,high,low,796.0,0.9170506912442397
48,132,vehicle,high,low,265.0,0.8952702702702703
26,170,vehicle,high,low,280.0,0.8668730650154799
1,104,vehicle,high,low,202.0,0.8744588744588745
48,128,vehicle,high,low,442.0,0.896551724137931
1,114,vehicle,high,low,116.0,0.8721804511278195
26,164,vehicle,high,low,212.0,0.902127659574468
48,94,vehicle,high,low,181.0,0.905
48,183,vehicle,high,low,242.0,0.8642857142857143
48,126,vehicle,high,low,287.0,0.8996865203761756
48,78,vehicle,high,low,172.0,0.86
48,182,vehicle,high,low,351.0,0.8775
1,34,vehicle,high,low,178.0,0.8725490196078431
48,34,vehicle,high,low,194.0,0.9509803921568627
68,114,vehicle,high,low,130.0,0.8227848101265823
68,139,vehicle,high,low,125.0,0.7911392405063291
68,172,vehicle,high,low,172.0,0.9885057471264368
68,180,vehicle,high,low,153.0,0.9683544303797469
68,140,vehicle,high,low,182.0,0.8198198198198198
68,104,vehicle,high,low,206.0,0.8917748917748918
68,124,vehicle,high,low,241.0,0.8456140350877193
68,99,vehicle,high,low,256.0,0.8648648648648649
68,132,vehicle,high,low,266.0,0.8986486486486487
68,183,vehicle,high,low,235.0,0.8392857142857143
68,164,vehicle,high,low,203.0,0.8638297872340426
69,27,vehicle,high,low,287.0,0.9082278481012658
68,200,vehicle,high,low,164.0,0.9265536723163842
68,179,vehicle,high,low,326.0,0.8511749347258486
68,182,vehicle,high,low,353.0,0.8825
68,126,vehicle,high,low,290.0,0.9090909090909091
68,170,vehicle,high,low,260.0,0.804953560371517
68,176,vehicle,high,low,355.0,0.8700980392156863
69,29,vehicle,high,low,276.0,0.8734177215189873
69,10,vehicle,high,low,260.0,0.8227848101265823
68,128,vehicle,high,low,444.0,0.9006085192697769
69,34,vehicle,high,low,258.0,0.8164556962025317
69,56,vehicle,high,low,268.0,0.8481012658227848
69,65,vehicle,high,low,277.0,0.8765822784810127
69,31,vehicle,high,low,270.0,0.8544303797468354
69,35,vehicle,high,low,267.0,0.8449367088607594
69,37,vehicle,high,low,269.0,0.8512658227848101
69,21,vehicle,high,low,287.0,0.8107344632768362
69,74,vehicle,high,low,274.0,0.8670886075949367
69,43,vehicle,high,low,265.0,0.8386075949367089
69,94,vehicle,high,low,257.0,0.8132911392405063
69,78,vehicle,high,low,276.0,0.8734177215189873
69,114,vehicle,high,low,283.0,0.8955696202531646
69,60,vehicle,high,low,277.0,0.8765822784810127
69,104,vehicle,high,low,282.0,0.8924050632911392
68,101,vehicle,high,low,787.0,0.9066820276497696
69,79,vehicle,high,low,267.0,0.8449367088607594
69,63,vehicle,high,low,270.0,0.8544303797468354
69,99,vehicle,high,low,277.0,0.8765822784810127
69,139,vehicle,high,low,264.0,0.8354430379746836
69,44,vehicle,high,low,279.0,0.8829113924050633
69,41,vehicle,high,low,301.0,0.9039039039039038
69,77,vehicle,high,low,322.0,0.8277634961439588
69,140,vehicle,high,low,263.0,0.8322784810126582
69,124,vehicle,high,low,288.0,0.9113924050632911
69,164,vehicle,high,low,291.0,0.9208860759493671
80,10,vehicle,high,low,121.0,0.8962962962962963
80,27,vehicle,high,low,80.0,0.963855421686747
69,132,vehicle,high,low,275.0,0.870253164556962
80,29,vehicle,high,low,155.0,0.8469945355191257
69,180,vehicle,high,low,263.0,0.8322784810126582
80,21,vehicle,high,low,316.0,0.8926553672316384
80,31,vehicle,high,low,242.0,0.9166666666666666
69,13,vehicle,high,low,449.0,0.8134057971014492
80,34,vehicle,high,low,185.0,0.9068627450980392
80,13,vehicle,high,low,514.0,0.9311594202898551
69,126,vehicle,high,low,283.0,0.8871473354231975
69,172,vehicle,high,low,252.0,0.7974683544303798
80,35,vehicle,high,low,234.0,0.8830188679245283
80,37,vehicle,high,low,231.0,0.8953488372093024
80,56,vehicle,high,low,130.0,0.8904109589041096
69,200,vehicle,high,low,287.0,0.9082278481012658
80,43,vehicle,high,low,265.0,0.9137931034482759
80,41,vehicle,high,low,303.0,0.9099099099099099
80,65,vehicle,high,low,92.0,0.9292929292929293
80,78,vehicle,high,low,88.0,0.9361702127659575
80,44,vehicle,high,low,265.0,0.9044368600682594
80,74,vehicle,high,low,90.0,0.9278350515463918
80,63,vehicle,high,low,232.0,0.8923076923076924
80,60,vehicle,high,low,277.0,0.9052287581699346
69,170,vehicle,high,low,302.0,0.934984520123839
80,94,vehicle,high,low,119.0,0.875
69,128,vehicle,high,low,418.0,0.847870182555781
80,114,vehicle,high,low,84.0,0.9545454545454546
80,104,vehicle,high,low,204.0,0.8831168831168831
80,77,vehicle,high,low,364.0,0.9357326478149101
80,139,vehicle,high,low,103.0,0.9196428571428571
80,79,vehicle,high,low,279.0,0.9
80,124,vehicle,high,low,258.0,0.9052631578947369
69,183,vehicle,high,low,294.0,0.930379746835443
80,140,vehicle,high,low,204.0,0.918918918918919
80,126,vehicle,high,low,283.0,0.8871473354231975
69,64,vehicle,high,low,501.0,0.8462837837837838
80,99,vehicle,high,low,271.0,0.9155405405405406
80,132,vehicle,high,low,269.0,0.9087837837837838
80,64,vehicle,high,low,552.0,0.9324324324324325
80,164,vehicle,high,low,216.0,0.9191489361702128
80,172,vehicle,high,low,146.0,0.8390804597701149
80,180,vehicle,high,low,137.0,0.8670886075949367
80,128,vehicle,high,low,462.0,0.9371196754563894
69,176,vehicle,high,low,310.0,0.7598039215686274
80,200,vehicle,high,low,156.0,0.8813559322033898
80,170,vehicle,high,low,295.0,0.913312693498452
80,183,vehicle,high,low,248.0,0.8857142857142857
80,179,vehicle,high,low,347.0,0.9060052219321149
80,176,vehicle,high,low,373.0,0.9142156862745098
82,27,vehicle,high,low,219.0,0.876
80,182,vehicle,high,low,371.0,0.9275
69,179,vehicle,high,low,328.0,0.856396866840731
80,101,vehicle,high,low,825.0,0.9504608294930875
69,182,vehicle,high,low,362.0,0.905
82,10,vehicle,high,low,194.0,0.776
82,56,vehicle,high,low,205.0,0.82
82,34,vehicle,high,low,219.0,0.876
82,65,vehicle,high,low,212.0,0.848
82,29,vehicle,high,low,206.0,0.824
69,101,vehicle,high,low,729.0,0.8398617511520737
82,74,vehicle,high,low,204.0,0.816
82,31,vehicle,high,low,219.0,0.8295454545454546
82,37,vehicle,high,low,228.0,0.8837209302325582
82,78,vehicle,high,low,213.0,0.852
82,43,vehicle,high,low,258.0,0.8896551724137931
82,35,vehicle,high,low,232.0,0.8754716981132076
82,63,vehicle,high,low,228.0,0.8769230769230769
82,44,vehicle,high,low,259.0,0.8839590443686007
82,41,vehicle,high,low,267.0,0.8018018018018018
82,94,vehicle,high,low,217.0,0.868
82,60,vehicle,high,low,245.0,0.8006535947712419
82,114,vehicle,high,low,212.0,0.848
82,21,vehicle,high,low,304.0,0.8587570621468926
82,139,vehicle,high,low,197.0,0.788
82,99,vehicle,high,low,276.0,0.9324324324324325
82,172,vehicle,high,low,206.0,0.824
82,140,vehicle,high,low,212.0,0.848
82,79,vehicle,high,low,254.0,0.8193548387096774
82,180,vehicle,high,low,209.0,0.836
82,104,vehicle,high,low,234.0,0.936
82,170,vehicle,high,low,274.0,0.848297213622291
82,124,vehicle,high,low,253.0,0.887719298245614
82,64,vehicle,high,low,509.0,0.8597972972972973
82,164,vehicle,high,low,230.0,0.92
82,200,vehicle,high,low,209.0,0.836
82,132,vehicle,high,low,262.0,0.8851351351351351
82,77,vehicle,high,low,312.0,0.8020565552699229
86,27,vehicle,high,low,266.0,0.9172413793103448
82,126,vehicle,high,low,281.0,0.8808777429467085
82,179,vehicle,high,low,315.0,0.8224543080939948
82,176,vehicle,high,low,340.0,0.8333333333333334
82,13,vehicle,high,low,461.0,0.8351449275362319
82,128,vehicle,high,low,428.0,0.8681541582150102
82,183,vehicle,high,low,257.0,0.9178571428571428
86,10,vehicle,high,low,242.0,0.8344827586206897
82,182,vehicle,high,low,341.0,0.8525
86,65,vehicle,high,low,258.0,0.8896551724137931
86,56,vehicle,high,low,246.0,0.8482758620689655
86,74,vehicle,high,low,248.0,0.8551724137931035
86,29,vehicle,high,low,256.0,0.8827586206896552
86,31,vehicle,high,low,265.0,0.9137931034482759
86,34,vehicle,high,low,240.0,0.8275862068965517
86,78,vehicle,high,low,255.0,0.8793103448275862
86,35,vehicle,high,low,253.0,0.8724137931034482
82,101,vehicle,high,low,774.0,0.8917050691244239
86,43,vehicle,high,low,268.0,0.9241379310344827
86,60,vehicle,high,low,271.0,0.8856209150326797
86,94,vehicle,high,low,242.0,0.8344827586206897
86,37,vehicle,high,low,267.0,0.9206896551724137
86,44,vehicle,high,low,254.0,0.8668941979522184
86,63,vehicle,high,low,264.0,0.9103448275862069
86,21,vehicle,high,low,309.0,0.8728813559322034
86,41,vehicle,high,low,296.0,0.8888888888888888
86,114,vehicle,high,low,252.0,0.8689655172413793
86,13,vehicle,high,low,471.0,0.8532608695652174
86,139,vehicle,high,low,235.0,0.8103448275862069
86,104,vehicle,high,low,261.0,0.9
86,79,vehicle,high,low,271.0,0.8741935483870967
86,99,vehicle,high,low,271.0,0.9155405405405406
86,172,vehicle,high,low,244.0,0.8413793103448276
86,140,vehicle,high,low,257.0,0.8862068965517241
86,164,vehicle,high,low,274.0,0.9448275862068966
86,77,vehicle,high,low,319.0,0.8200514138817481
87,10,vehicle,high,low,206.0,0.8174603174603174
86,124,vehicle,high,low,274.0,0.9448275862068966
86,126,vehicle,high,low,281.0,0.8808777429467085
86,132,vehicle,high,low,281.0,0.9493243243243243
86,64,vehicle,high,low,499.0,0.8429054054054054
86,180,vehicle,high,low,245.0,0.8448275862068966
87,27,vehicle,high,low,225.0,0.8928571428571429
86,200,vehicle,high,low,263.0,0.906896551724138
86,170,vehicle,high,low,287.0,0.8885448916408669
87,29,vehicle,high,low,224.0,0.8888888888888888
87,56,vehicle,high,low,208.0,0.8253968253968254
86,176,vehicle,high,low,334.0,0.8186274509803921
86,182,vehicle,high,low,364.0,0.91
86,183,vehicle,high,low,275.0,0.9482758620689655
87,37,vehicle,high,low,232.0,0.8992248062015504
87,34,vehicle,high,low,213.0,0.8452380952380952
87,31,vehicle,high,low,241.0,0.9128787878787878
87,65,vehicle,high,low,220.0,0.873015873015873
87,35,vehicle,high,low,240.0,0.9056603773584906
86,179,vehicle,high,low,326.0,0.8511749347258486
86,128,vehicle,high,low,398.0,0.8073022312373225
87,78,vehicle,high,low,214.0,0.8492063492063492
87,41,vehicle,high,low,258.0,0.7747747747747747
87,74,vehicle,high,low,213.0,0.8452380952380952
87,43,vehicle,high,low,259.0,0.8931034482758621
87,44,vehicle,high,low,271.0,0.9249146757679181
87,94,vehicle,high,low,227.0,0.9007936507936508
87,60,vehicle,high,low,288.0,0.9411764705882353
87,114,vehicle,high,low,213.0,0.8452380952380952
87,21,vehicle,high,low,315.0,0.8898305084745762
87,63,vehicle,high,low,220.0,0.8461538461538461
87,139,vehicle,high,low,208.0,0.8253968253968254
87,99,vehicle,high,low,272.0,0.918918918918919
86,101,vehicle,high,low,750.0,0.8640552995391705
87,124,vehicle,high,low,274.0,0.9614035087719298
87,172,vehicle,high,low,226.0,0.8968253968253969
87,77,vehicle,high,low,329.0,0.8457583547557841
87,104,vehicle,high,low,234.0,0.9285714285714286
87,132,vehicle,high,low,262.0,0.8851351351351351
87,126,vehicle,high,low,282.0,0.8840125391849529
87,164,vehicle,high,low,226.0,0.8968253968253969
87,13,vehicle,high,low,480.0,0.8695652173913043
87,140,vehicle,high,low,219.0,0.8690476190476191
87,79,vehicle,high,low,290.0,0.9354838709677419
118,27,vehicle,high,low,97.0,0.8508771929824561
87,180,vehicle,high,low,226.0,0.8968253968253969
118,10,vehicle,high,low,98.0,0.725925925925926
118,29,vehicle,high,low,161.0,0.8797814207650273
118,21,vehicle,high,low,306.0,0.864406779661017
87,200,vehicle,high,low,208.0,0.8253968253968254
118,37,vehicle,high,low,212.0,0.8217054263565892
118,41,vehicle,high,low,275.0,0.8258258258258259
118,34,vehicle,high,low,180.0,0.8823529411764706
118,31,vehicle,high,low,212.0,0.803030303030303
118,56,vehicle,high,low,126.0,0.863013698630137
118,44,vehicle,high,low,247.0,0.8430034129692833
87,170,vehicle,high,low,274.0,0.848297213622291
118,35,vehicle,high,low,210.0,0.7924528301886793
118,65,vehicle,high,low,95.0,0.8333333333333334
87,179,vehicle,high,low,345.0,0.9007832898172323
87,183,vehicle,high,low,249.0,0.8892857142857142
118,13,vehicle,high,low,483.0,0.875
87,176,vehicle,high,low,355.0,0.8700980392156863
118,78,vehicle,high,low,94.0,0.8245614035087719
118,74,vehicle,high,low,84.0,0.7368421052631579
87,64,vehicle,high,low,529.0,0.893581081081081
118,43,vehicle,high,low,250.0,0.8620689655172413
118,63,vehicle,high,low,214.0,0.823076923076923
118,60,vehicle,high,low,252.0,0.8235294117647058
118,114,vehicle,high,low,96.0,0.8421052631578947
118,94,vehicle,high,low,129.0,0.9485294117647058
118,139,vehicle,high,low,96.0,0.8421052631578947
118,104,vehicle,high,low,197.0,0.8528138528138528
118,77,vehicle,high,low,328.0,0.8431876606683805
118,99,vehicle,high,low,264.0,0.8918918918918919
118,172,vehicle,high,low,155.0,0.8908045977011494
118,140,vehicle,high,low,180.0,0.8108108108108109
118,170,vehicle,high,low,271.0,0.8390092879256966
87,128,vehicle,high,low,454.0,0.920892494929006
118,126,vehicle,high,low,279.0,0.8746081504702194
118,164,vehicle,high,low,203.0,0.8638297872340426
118,79,vehicle,high,low,260.0,0.8387096774193549
118,124,vehicle,high,low,235.0,0.8245614035087719
118,64,vehicle,high,low,532.0,0.8986486486486487
87,101,vehicle,high,low,757.0,0.8721198156682027
118,180,vehicle,high,low,134.0,0.8481012658227848
118,132,vehicle,high,low,252.0,0.8513513513513513
87,182,vehicle,high,low,352.0,0.88
