exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
80,181,vehicle,high,none,124.0,0.8732394366197183
82,5,vehicle,high,none,206.0,0.824
68,59,vehicle,high,none,249.0,0.8829787234042553
1,96,vehicle,high,none,206.0,0.8373983739837398
1,181,vehicle,high,none,128.0,0.9014084507042254
1,196,vehicle,high,none,339.0,0.853904282115869
80,163,vehicle,high,none,163.0,0.9005524861878453
26,116,vehicle,high,none,196.0,0.9074074074074074
82,3,vehicle,high,none,224.0,0.896
80,154,vehicle,high,none,386.0,0.8976744186046511
1,12,vehicle,high,none,320.0,0.8421052631578947
69,3,vehicle,high,none,269.0,0.8512658227848101
68,36,vehicle,high,none,141.0,0.8924050632911392
69,163,vehicle,high,none,269.0,0.8512658227848101
82,181,vehicle,high,none,202.0,0.808
80,141,vehicle,high,none,193.0,0.8539823008849557
68,30,vehicle,high,none,114.0,0.7215189873417721
80,116,vehicle,high,none,194.0,0.8981481481481481
68,28,vehicle,high,none,126.0,0.7974683544303798
1,189,vehicle,high,none,115.0,0.8646616541353384
86,93,vehicle,high,none,272.0,0.9379310344827586
80,36,vehicle,high,none,107.0,0.8842975206611571
80,204,vehicle,high,none,78.0,0.9397590361445783
80,110,vehicle,high,none,114.0,0.926829268292683
69,154,vehicle,high,none,358.0,0.8325581395348837
68,12,vehicle,high,none,315.0,0.8289473684210527
1,141,vehicle,high,none,192.0,0.8495575221238938
1,163,vehicle,high,none,157.0,0.8674033149171271
86,59,vehicle,high,none,251.0,0.8655172413793103
68,93,vehicle,high,none,144.0,0.9113924050632911
80,106,vehicle,high,none,174.0,0.8923076923076924
68,5,vehicle,high,none,137.0,0.8303030303030303
80,28,vehicle,high,none,105.0,0.9292035398230089
80,96,vehicle,high,none,224.0,0.9105691056910569
68,3,vehicle,high,none,172.0,0.945054945054945
68,110,vehicle,high,none,132.0,0.8354430379746836
80,12,vehicle,high,none,338.0,0.8894736842105263
80,59,vehicle,high,none,257.0,0.9113475177304965
68,204,vehicle,high,none,147.0,0.930379746835443
69,110,vehicle,high,none,269.0,0.8512658227848101
48,216,vehicle,high,none,176.0,0.88
86,36,vehicle,high,none,268.0,0.9241379310344827
80,5,vehicle,high,none,147.0,0.8909090909090909
68,201,vehicle,high,none,130.0,0.8227848101265823
69,106,vehicle,high,none,288.0,0.9113924050632911
86,30,vehicle,high,none,246.0,0.8482758620689655
80,3,vehicle,high,none,158.0,0.8681318681318682
1,5,vehicle,high,none,142.0,0.8606060606060606
68,196,vehicle,high,none,358.0,0.9017632241813602
69,96,vehicle,high,none,270.0,0.8544303797468354
86,204,vehicle,high,none,281.0,0.9689655172413794
86,201,vehicle,high,none,247.0,0.8517241379310345
86,189,vehicle,high,none,245.0,0.8448275862068966
87,28,vehicle,high,none,202.0,0.8015873015873016
86,216,vehicle,high,none,255.0,0.8793103448275862
86,110,vehicle,high,none,245.0,0.8448275862068966
86,181,vehicle,high,none,241.0,0.8310344827586207
87,3,vehicle,high,none,215.0,0.8531746031746031
86,163,vehicle,high,none,246.0,0.8482758620689655
87,93,vehicle,high,none,230.0,0.9126984126984127
86,106,vehicle,high,none,265.0,0.9137931034482759
87,5,vehicle,high,none,211.0,0.8373015873015873
87,30,vehicle,high,none,207.0,0.8214285714285714
86,116,vehicle,high,none,241.0,0.8310344827586207
87,36,vehicle,high,none,218.0,0.8650793650793651
86,96,vehicle,high,none,260.0,0.896551724137931
87,204,vehicle,high,none,240.0,0.9523809523809523
87,110,vehicle,high,none,193.0,0.7658730158730159
87,201,vehicle,high,none,202.0,0.8015873015873016
86,211,vehicle,high,none,233.0,0.803448275862069
86,141,vehicle,high,none,247.0,0.8517241379310345
87,106,vehicle,high,none,215.0,0.8531746031746031
87,59,vehicle,high,none,244.0,0.8652482269503546
87,116,vehicle,high,none,188.0,0.746031746031746
87,216,vehicle,high,none,214.0,0.8492063492063492
87,189,vehicle,high,none,192.0,0.7619047619047619
87,163,vehicle,high,none,203.0,0.8055555555555556
118,3,vehicle,high,none,158.0,0.8681318681318682
118,5,vehicle,high,none,135.0,0.8181818181818182
118,28,vehicle,high,none,84.0,0.7368421052631579
87,181,vehicle,high,none,206.0,0.8174603174603174
118,93,vehicle,high,none,103.0,0.9035087719298246
118,36,vehicle,high,none,112.0,0.9256198347107438
87,12,vehicle,high,none,313.0,0.8236842105263158
86,154,vehicle,high,none,376.0,0.8744186046511628
87,141,vehicle,high,none,229.0,0.9087301587301587
118,110,vehicle,high,none,95.0,0.7723577235772358
87,96,vehicle,high,none,218.0,0.8650793650793651
118,30,vehicle,high,none,110.0,0.8148148148148148
87,211,vehicle,high,none,216.0,0.8571428571428571
118,204,vehicle,high,none,103.0,0.9035087719298246
118,106,vehicle,high,none,166.0,0.8512820512820513
118,201,vehicle,high,none,99.0,0.868421052631579
118,189,vehicle,high,none,100.0,0.8771929824561403
118,12,vehicle,high,none,322.0,0.8473684210526315
118,96,vehicle,high,none,192.0,0.7804878048780488
118,116,vehicle,high,none,170.0,0.7870370370370371
118,163,vehicle,high,none,142.0,0.7845303867403315
118,181,vehicle,high,none,118.0,0.8309859154929577
118,59,vehicle,high,none,236.0,0.8368794326241135
118,141,vehicle,high,none,190.0,0.8407079646017699
118,216,vehicle,high,none,98.0,0.8596491228070176
178,93,vehicle,high,none,147.0,0.91875
86,196,vehicle,high,none,351.0,0.8841309823677582
178,28,vehicle,high,none,118.0,0.7375
87,196,vehicle,high,none,362.0,0.9118387909319899
87,154,vehicle,high,none,392.0,0.9116279069767442
178,110,vehicle,high,none,120.0,0.75
178,5,vehicle,high,none,147.0,0.8909090909090909
118,211,vehicle,high,none,167.0,0.7877358490566038
118,196,vehicle,high,none,355.0,0.8942065491183879
178,30,vehicle,high,none,130.0,0.8125
178,3,vehicle,high,none,155.0,0.8516483516483516
178,36,vehicle,high,none,142.0,0.8875
178,204,vehicle,high,none,151.0,0.94375
178,116,vehicle,high,none,173.0,0.8009259259259259
178,201,vehicle,high,none,136.0,0.85
178,106,vehicle,high,none,170.0,0.8717948717948718
118,154,vehicle,high,none,377.0,0.8767441860465116
178,181,vehicle,high,none,148.0,0.925
178,189,vehicle,high,none,121.0,0.75625
178,96,vehicle,high,none,191.0,0.7764227642276422
178,163,vehicle,high,none,152.0,0.8397790055248618
178,216,vehicle,high,none,131.0,0.81875
178,59,vehicle,high,none,241.0,0.8546099290780141
178,12,vehicle,high,none,304.0,0.8
178,211,vehicle,high,none,181.0,0.8537735849056604
178,141,vehicle,high,none,201.0,0.8893805309734514
178,196,vehicle,high,none,346.0,0.871536523929471
178,154,vehicle,high,none,382.0,0.8883720930232558
