exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,baseline_Shape,baseline_Direction,baseline_Length,baseline_Position,baseline_Duration,source_file
1,26,2,high,high,0.1045330586813191,-0.0801327149328053,0.1106693074990482,0.1546312823122039,-0.2403225464908679,0.8837346205823591,0.7939238803101195,0.8732644001568461,0.7706334927439584,0.8525674444500516,combined_data.csv
1,48,2,high,high,0.1152724697870039,-0.024209582271528,0.099405917328992,0.1508723814739699,-0.1227742438082405,0.8759198129642974,0.7571595580592012,0.8903934430834636,0.781337972118751,0.8298892535548292,combined_data.csv
1,68,2,high,high,0.1029341847105452,-0.1108216216583866,0.116805363574697,0.171584254155001,-0.1387688869024235,0.8901704540962658,0.785160563882094,0.8738077068795319,0.7479986815878426,0.8446512398435999,combined_data.csv
1,69,2,high,high,0.1153997184051641,-0.1044825891528713,0.1168313576730115,0.1598953657299416,-0.1776177947253863,0.8753356570154996,0.7485453862973246,0.8708202894313488,0.7651309916994273,0.8361543800912399,combined_data.csv
1,80,2,high,high,0.1114490516349201,-0.0671763526906249,0.0923879631698911,0.1075377655711548,-0.0762482752751579,0.8738871890855144,0.7762031779673795,0.8900846782947571,0.7623097245861105,0.813090380538316,combined_data.csv
1,82,2,high,high,0.1234819585009455,-0.0123925070170785,0.1222671510181258,0.1689892838054448,-0.2271071866074097,0.8680140084799363,0.748094540313035,0.8643978771649327,0.7603769449223617,0.8196997792000023,combined_data.csv
1,86,2,high,high,0.1350624780704269,-0.0171029609547803,0.1762027172218637,0.1607450132152672,-0.2454658748638916,0.8578321795492386,0.6444153196835627,0.8143144701115476,0.7247538987631392,0.8095684389664557,combined_data.csv
1,87,2,high,high,0.1022187857313897,-0.0829367240721573,0.1017088361673966,0.1513443207716153,-0.1353520886683518,0.8870190853185819,0.7831190797004973,0.8833456828143859,0.7653420971817849,0.8153520886683517,combined_data.csv
1,123,2,high,high,0.1095440744316013,-0.0901272862757814,0.1111096453387082,0.0814280583900135,-0.1253051794062122,0.8800661944031858,0.814103461183168,0.8753007582877312,0.7838765903843798,0.8453051794062122,combined_data.csv
1,178,2,high,high,0.1173404182774842,-0.0454427727262998,0.1275818544653544,0.1572640382069177,-0.132792404968825,0.8741628744977353,0.7721536109644704,0.8600574018747603,0.7499856467724837,0.8411257383021584,combined_data.csv
26,48,2,high,high,0.115416479340811,-0.0849252868363724,0.1080527956186844,0.1017499550161559,-0.2251076795442503,0.8770075820247456,0.7952909272191453,0.8797640035331447,0.7621126124647242,0.8350110611867625,combined_data.csv
26,68,2,high,high,0.1043492112956728,-0.076680122367771,0.1010265651034807,0.164036062680225,-0.2213848010427347,0.888338174584967,0.7861562927468095,0.8894026500097563,0.7569046991393037,0.823468134376068,combined_data.csv
26,69,2,high,high,0.1113766572536556,-0.1190546059086147,0.1015628446391144,0.1751579716497078,-0.2277901187494317,0.8784546462306956,0.7932368120942759,0.8851340013907283,0.7549831867545245,0.8356332560043338,combined_data.csv
26,80,2,high,high,0.1002261101068245,-0.0937202229246489,0.1153174402722094,0.1621734886873389,-0.2034045437936099,0.8871720017465707,0.7303145571031051,0.8666681898503377,0.7522800815312572,0.8397681801572463,combined_data.csv
26,82,2,high,high,0.1049386579853036,-0.0100112702120007,0.1084579824553912,0.1171764654838442,-0.1695314903697733,0.8850505883855171,0.7703133834536718,0.8783565264572889,0.7665016826252915,0.8206942810674478,combined_data.csv
26,86,2,high,high,0.12084959279773,-0.0050550480539158,0.127857329420487,0.1322758493201357,-0.2503113442858282,0.871504589170167,0.7016000269098106,0.8624048265933235,0.7563842868063066,0.8336446776191615,combined_data.csv
26,87,2,high,high,0.1159926190157255,-0.0301601252433724,0.132259331741787,0.1310374293015508,-0.1989421051983435,0.8749513778000171,0.7692578836311432,0.8552972221839363,0.7571624926702651,0.8424045749319997,combined_data.csv
26,123,2,high,high,0.1108750742563516,-0.159365574963376,0.1152190197789519,0.0645382785504696,-0.2386949846796948,0.878988952370786,0.8183563821447366,0.8706383466854744,0.8012328841020105,0.8540796000643103,combined_data.csv
26,178,2,high,high,0.1054837171246413,-0.0744517360117393,0.1121704009412332,0.1196032120821092,-0.217240357460386,0.8860845697037601,0.7845120751942108,0.877378866855634,0.7877559348466932,0.8283514685714972,combined_data.csv
48,68,2,high,high,0.126368034410134,-0.0168130443097992,0.1291362865687617,0.1132028902059159,-0.1412306634016235,0.8683127944554196,0.7673788954938191,0.8637739736766581,0.7618143654237686,0.8078973300682902,combined_data.csv
48,69,2,high,high,0.1097877948766233,-0.1206491965337963,0.114863910128991,0.1326404433284985,-0.2243326149643825,0.8825387866589833,0.7957604029784049,0.8745653427620578,0.7709031096729463,0.8634815511345952,combined_data.csv
48,80,2,high,high,0.1052608466129487,-0.1414826421427452,0.1124895868992557,0.1147607960191635,-0.0814938817460955,0.886279651764766,0.7527130461810712,0.8762717169897102,0.7661301186444832,0.8433986436508574,combined_data.csv
48,82,2,high,high,0.1163681498823215,-0.0534063202319704,0.098731738873764,0.1710459531414263,-0.2269544226141213,0.8757112768711736,0.7729188728971695,0.8899619612820345,0.7799789196869348,0.839857648420573,combined_data.csv
48,86,2,high,high,0.1246452772901703,-0.0695507867396384,0.1392599246440677,0.144355815311561,-0.2522668626687083,0.8687881569354228,0.741056348320519,0.8499902919087579,0.7394982923295538,0.8332871177324743,combined_data.csv
48,87,2,high,high,0.1150073652005803,-0.0593743101625137,0.1220533208575975,0.1424018697622494,-0.1760296065384967,0.8781815282414069,0.7965371867471178,0.8686435577895549,0.7671012993281321,0.8426962732051635,combined_data.csv
48,123,2,high,high,0.1146052464139923,-0.0878621020056322,0.1155594920845654,0.0941701059153287,-0.1254627433875963,0.8782587153945567,0.7804927660212448,0.873937778419815,0.7645004747917115,0.8265265731748304,combined_data.csv
48,178,2,high,high,0.1123207212550907,-0.0563099595477275,0.1034971400102526,0.132668033949309,-0.088242930485849,0.8812911770735861,0.7778471424420631,0.8883127229244969,0.774012525928782,0.8273733652684578,combined_data.csv
68,69,2,high,high,0.1197947282143565,-0.1090288953039992,0.1229129658072692,0.1686105523447442,-0.1901051303413613,0.8741121850560596,0.8130367734772768,0.8697971843481357,0.767721412337712,0.8326857755026517,combined_data.csv
