exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
29,71,rectangle,low,low,150.0,0.8875739644970414
29,74,rectangle,low,low,153.0,0.9053254437869822
27,164,rectangle,low,low,196.0,0.9289099526066351
29,67,rectangle,low,low,149.0,0.8816568047337278
29,63,rectangle,low,low,258.0,0.9181494661921709
27,200,rectangle,low,low,209.0,0.908695652173913
29,56,rectangle,low,low,145.0,0.8579881656804734
29,94,rectangle,low,low,160.0,0.9467455621301775
29,44,rectangle,low,low,153.0,0.9053254437869822
29,34,rectangle,low,low,221.0,0.9132231404958677
29,99,rectangle,low,low,149.0,0.861271676300578
27,182,rectangle,low,low,257.0,0.9178571428571428
29,64,rectangle,low,low,346.0,0.9376693766937669
29,78,rectangle,low,low,210.0,0.9012875536480687
29,107,rectangle,low,low,185.0,0.8894230769230769
29,140,rectangle,low,low,150.0,0.8875739644970414
29,124,rectangle,low,low,199.0,0.9128440366972477
29,104,rectangle,low,low,247.0,0.8697183098591549
29,101,rectangle,low,low,156.0,0.9230769230769231
29,126,rectangle,low,low,269.0,0.9026845637583892
29,180,rectangle,low,low,150.0,0.8875739644970414
29,200,rectangle,low,low,198.0,0.8608695652173913
29,186,rectangle,low,low,194.0,0.8471615720524017
29,182,rectangle,low,low,239.0,0.8535714285714285
29,79,rectangle,low,low,231.0,0.875
29,41,rectangle,low,low,277.0,0.8710691823899371
29,208,rectangle,low,low,239.0,0.9122137404580153
29,138,rectangle,low,low,159.0,0.9408284023668639
29,164,rectangle,low,low,193.0,0.9146919431279621
29,176,rectangle,low,low,464.0,0.9206349206349206
31,34,rectangle,low,low,248.0,0.8888888888888888
31,37,rectangle,low,low,251.0,0.899641577060932
31,43,rectangle,low,low,248.0,0.8888888888888888
31,56,rectangle,low,low,238.0,0.8530465949820788
29,128,rectangle,low,low,210.0,0.8641975308641975
31,44,rectangle,low,low,236.0,0.8458781362007168
31,71,rectangle,low,low,262.0,0.9390681003584229
31,65,rectangle,low,low,265.0,0.9498207885304659
31,74,rectangle,low,low,250.0,0.8960573476702509
31,35,rectangle,low,low,225.0,0.8064516129032258
29,162,rectangle,low,low,236.0,0.8939393939393939
31,41,rectangle,low,low,282.0,0.8867924528301887
29,77,rectangle,low,low,310.0,0.8806818181818182
31,99,rectangle,low,low,235.0,0.8422939068100358
31,101,rectangle,low,low,244.0,0.8745519713261649
