exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
13,41,rectangle,low,low,289.0,0.9088050314465408,Java_low_results.csv
13,29,rectangle,low,low,220.0,0.8627450980392157,Java_low_results.csv
13,101,rectangle,low,low,228.0,0.8941176470588236,Java_low_results.csv
21,65,rectangle,low,low,300.0,0.946372239747634,Java_low_results.csv
13,31,rectangle,low,low,252.0,0.9032258064516128,Java_low_results.csv
13,200,rectangle,low,low,237.0,0.9294117647058824,Java_low_results.csv
13,104,rectangle,low,low,265.0,0.9330985915492958,Java_low_results.csv
21,208,rectangle,low,low,301.0,0.9495268138801262,Java_low_results.csv
13,208,rectangle,low,low,253.0,0.965648854961832,Java_low_results.csv
13,34,rectangle,low,low,246.0,0.9647058823529412,Java_low_results.csv
13,107,rectangle,low,low,230.0,0.9019607843137256,Java_low_results.csv
13,67,rectangle,low,low,219.0,0.8588235294117647,Java_low_results.csv
21,200,rectangle,low,low,294.0,0.9274447949526814,Java_low_results.csv
13,35,rectangle,low,low,227.0,0.8901960784313725,Java_low_results.csv
27,29,rectangle,low,low,149.0,0.8816568047337278,Java_low_results.csv
13,37,rectangle,low,low,247.0,0.9686274509803922,Java_low_results.csv
21,186,rectangle,low,low,287.0,0.9053627760252366,Java_low_results.csv
13,124,rectangle,low,low,238.0,0.9333333333333332,Java_low_results.csv
13,126,rectangle,low,low,272.0,0.912751677852349,Java_low_results.csv
13,128,rectangle,low,low,239.0,0.9372549019607844,Java_low_results.csv
27,31,rectangle,low,low,240.0,0.8602150537634409,Java_low_results.csv
27,34,rectangle,low,low,212.0,0.8760330578512396,Java_low_results.csv
21,44,rectangle,low,low,278.0,0.8769716088328076,Java_low_results.csv
27,35,rectangle,low,low,147.0,0.8596491228070176,Java_low_results.csv
21,182,rectangle,low,low,295.0,0.9305993690851736,Java_low_results.csv
13,132,rectangle,low,low,371.0,0.9070904645476772,Java_low_results.csv
27,37,rectangle,low,low,194.0,0.8899082568807339,Java_low_results.csv
21,67,rectangle,low,low,287.0,0.9053627760252366,Java_low_results.csv
21,180,rectangle,low,low,286.0,0.9022082018927444,Java_low_results.csv
27,41,rectangle,low,low,290.0,0.9119496855345912,Java_low_results.csv
13,78,rectangle,low,low,245.0,0.9607843137254902,Java_low_results.csv
21,179,rectangle,low,low,442.0,0.8893360160965795,Java_low_results.csv
21,64,rectangle,low,low,335.0,0.907859078590786,Java_low_results.csv
13,44,rectangle,low,low,224.0,0.8784313725490196,Java_low_results.csv
27,43,rectangle,low,low,144.0,0.9290322580645162,Java_low_results.csv
13,56,rectangle,low,low,222.0,0.8705882352941177,Java_low_results.csv
