exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
4,115,rectangle,medium,medium,190.0,0.9313725490196079
4,88,rectangle,medium,medium,191.0,0.9362745098039216
6,88,rectangle,medium,medium,113.0,0.8828125
4,185,rectangle,medium,medium,182.0,0.8921568627450981
6,20,rectangle,medium,medium,183.0,0.9104477611940298
6,84,rectangle,medium,medium,244.0,0.9277566539923955
4,83,rectangle,medium,medium,319.0,0.9114285714285715
4,207,rectangle,medium,medium,239.0,0.9157088122605364
6,83,rectangle,medium,medium,314.0,0.8971428571428571
6,158,rectangle,medium,medium,177.0,0.8719211822660099
6,81,rectangle,medium,medium,122.0,0.953125
4,212,rectangle,medium,medium,193.0,0.946078431372549
6,207,rectangle,medium,medium,221.0,0.8467432950191571
6,17,rectangle,medium,medium,188.0,0.8584474885844748
6,151,rectangle,medium,medium,438.0,0.8622047244094488
6,66,rectangle,medium,medium,121.0,0.9453125
6,75,rectangle,medium,medium,180.0,0.9090909090909091
14,89,rectangle,medium,medium,186.0,0.8303571428571429
6,16,rectangle,medium,medium,187.0,0.8697674418604651
6,206,rectangle,medium,medium,329.0,0.8773333333333333
6,147,rectangle,medium,medium,244.0,0.8745519713261649
4,6,rectangle,medium,medium,189.0,0.9264705882352942
6,73,rectangle,medium,medium,235.0,0.8703703703703703
4,20,rectangle,medium,medium,183.0,0.8970588235294118
4,145,rectangle,medium,medium,190.0,0.9313725490196079
14,88,rectangle,medium,medium,142.0,0.9044585987261147
6,15,rectangle,medium,medium,158.0,0.8729281767955801
6,203,rectangle,medium,medium,118.0,0.921875
14,143,rectangle,medium,medium,138.0,0.8789808917197452
14,125,rectangle,medium,medium,140.0,0.89171974522293
14,105,rectangle,medium,medium,136.0,0.8662420382165605
14,91,rectangle,medium,medium,142.0,0.9044585987261147
14,115,rectangle,medium,medium,132.0,0.8407643312101911
14,108,rectangle,medium,medium,148.0,0.9426751592356688
14,155,rectangle,medium,medium,145.0,0.8529411764705882
14,121,rectangle,medium,medium,168.0,0.9491525423728814
14,145,rectangle,medium,medium,170.0,0.9340659340659341
14,158,rectangle,medium,medium,178.0,0.8768472906403941
14,112,rectangle,medium,medium,204.0,0.918918918918919
14,97,rectangle,medium,medium,200.0,0.8695652173913043
14,120,rectangle,medium,medium,201.0,0.8777292576419214
14,185,rectangle,medium,medium,134.0,0.8535031847133758
14,147,rectangle,medium,medium,235.0,0.8422939068100358
14,171,rectangle,medium,medium,155.0,0.9872611464968153
14,203,rectangle,medium,medium,143.0,0.910828025477707
14,117,rectangle,medium,medium,266.0,0.8956228956228957
14,210,rectangle,medium,medium,142.0,0.9044585987261147
14,142,rectangle,medium,medium,307.0,0.882183908045977
14,202,rectangle,medium,medium,181.0,0.9576719576719577
14,135,rectangle,medium,medium,342.0,0.8814432989690721
14,212,rectangle,medium,medium,144.0,0.8888888888888888
14,169,rectangle,medium,medium,259.0,0.8900343642611683
14,207,rectangle,medium,medium,216.0,0.8275862068965517
14,215,rectangle,medium,medium,172.0,0.9052631578947369
15,42,rectangle,medium,medium,162.0,0.8950276243093923
14,192,rectangle,medium,medium,273.0,0.8863636363636364
14,151,rectangle,medium,medium,439.0,0.8641732283464567
15,24,rectangle,medium,medium,179.0,0.927461139896373
15,33,rectangle,medium,medium,172.0,0.9502762430939227
14,214,rectangle,medium,medium,239.0,0.8385964912280702
15,32,rectangle,medium,medium,163.0,0.9005524861878453
15,17,rectangle,medium,medium,205.0,0.9360730593607306
15,16,rectangle,medium,medium,202.0,0.9395348837209302
14,206,rectangle,medium,medium,332.0,0.8853333333333333
15,20,rectangle,medium,medium,190.0,0.945273631840796
14,168,rectangle,medium,medium,446.0,0.8991935483870968
15,51,rectangle,medium,medium,170.0,0.9392265193370166
15,40,rectangle,medium,medium,176.0,0.9723756906077348
15,57,rectangle,medium,medium,161.0,0.8895027624309392
15,53,rectangle,medium,medium,162.0,0.8950276243093923
15,66,rectangle,medium,medium,169.0,0.9337016574585635
15,88,rectangle,medium,medium,165.0,0.9116022099447514
15,81,rectangle,medium,medium,163.0,0.9005524861878453
14,194,rectangle,medium,medium,455.0,0.8939096267190569
15,62,rectangle,medium,medium,154.0,0.850828729281768
15,25,rectangle,medium,medium,323.0,0.8922651933701657
15,91,rectangle,medium,medium,169.0,0.9337016574585635
15,105,rectangle,medium,medium,166.0,0.9171270718232044
15,75,rectangle,medium,medium,196.0,0.98989898989899
15,54,rectangle,medium,medium,281.0,0.8977635782747604
15,115,rectangle,medium,medium,169.0,0.9337016574585635
15,108,rectangle,medium,medium,155.0,0.856353591160221
15,89,rectangle,medium,medium,195.0,0.8705357142857143
15,84,rectangle,medium,medium,244.0,0.9277566539923955
15,73,rectangle,medium,medium,242.0,0.8962962962962963
15,97,rectangle,medium,medium,201.0,0.8739130434782608
15,125,rectangle,medium,medium,160.0,0.8839779005524862
15,61,rectangle,medium,medium,314.0,0.9208211143695014
15,121,rectangle,medium,medium,180.0,0.994475138121547
15,143,rectangle,medium,medium,166.0,0.9171270718232044
15,112,rectangle,medium,medium,209.0,0.9414414414414415
15,55,rectangle,medium,medium,332.0,0.8534704370179949
15,120,rectangle,medium,medium,188.0,0.8209606986899564
15,83,rectangle,medium,medium,309.0,0.8828571428571429
15,117,rectangle,medium,medium,271.0,0.9124579124579124
15,145,rectangle,medium,medium,180.0,0.989010989010989
15,185,rectangle,medium,medium,164.0,0.9060773480662984
15,155,rectangle,medium,medium,176.0,0.9723756906077348
15,203,rectangle,medium,medium,164.0,0.9060773480662984
15,171,rectangle,medium,medium,172.0,0.9502762430939227
15,158,rectangle,medium,medium,181.0,0.8916256157635468
15,147,rectangle,medium,medium,252.0,0.9032258064516129
15,202,rectangle,medium,medium,181.0,0.9576719576719577
15,210,rectangle,medium,medium,164.0,0.9060773480662984
15,142,rectangle,medium,medium,302.0,0.867816091954023
15,212,rectangle,medium,medium,168.0,0.9281767955801105
15,135,rectangle,medium,medium,349.0,0.8994845360824743
15,169,rectangle,medium,medium,260.0,0.8934707903780069
15,207,rectangle,medium,medium,232.0,0.8888888888888888
15,192,rectangle,medium,medium,284.0,0.922077922077922
15,215,rectangle,medium,medium,174.0,0.9157894736842105
16,42,rectangle,medium,medium,197.0,0.9162790697674419
16,32,rectangle,medium,medium,171.0,0.7953488372093023
16,24,rectangle,medium,medium,203.0,0.9441860465116279
15,206,rectangle,medium,medium,347.0,0.9253333333333333
15,214,rectangle,medium,medium,258.0,0.9052631578947369
16,17,rectangle,medium,medium,206.0,0.9406392694063926
16,33,rectangle,medium,medium,197.0,0.9162790697674419
16,20,rectangle,medium,medium,203.0,0.9441860465116279
16,57,rectangle,medium,medium,197.0,0.9162790697674419
15,151,rectangle,medium,medium,445.0,0.8759842519685039
16,51,rectangle,medium,medium,197.0,0.9162790697674419
16,40,rectangle,medium,medium,192.0,0.8930232558139535
15,168,rectangle,medium,medium,460.0,0.9274193548387096
