"experiment","dimension","comparison","chisq","df","p_value","significant"
"between_group_mean_diff","Duration","exp_a_vs_both",4397.24784691755,1,0,"Yes"
"between_group_mean_diff","Duration","exp_b_vs_both",3965.40631431594,1,0,"Yes"
"between_group_pairtype","Shape","exp_a_vs_both",2173.97965685635,1,0,"Yes"
"between_group_pairtype","Shape","exp_b_vs_both",617.9614302564,1,2.07558162345859e-136,"Yes"
"between_group_pairtype","Length","exp_a_vs_both",1069.7634140381,1,1.23230251150622e-234,"Yes"
"between_group_pairtype","Length","exp_b_vs_both",1087.28552262785,1,1.91565976502212e-238,"Yes"
"between_group_pairtype","Direction","exp_a_vs_both",2587.27955533166,1,0,"Yes"
"between_group_pairtype","Direction","exp_b_vs_both",885.932043511733,1,1.12215306744119e-194,"Yes"
"between_group_pairtype","Position","exp_a_vs_both",1034.24974639893,1,6.45252301287818e-227,"Yes"
"between_group_pairtype","Position","exp_b_vs_both",773.345991706985,1,3.36701434984473e-170,"Yes"
"between_group_pairtype","Duration","exp_a_vs_both",4397.14024457601,1,0,"Yes"
"between_group_pairtype","Duration","exp_b_vs_both",3964.43775843967,1,0,"Yes"
