exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,baseline_Shape,baseline_Direction,baseline_Length,baseline_Position,baseline_Duration
13,4,2,low,medium,0.1143465856195384,-0.0272639827736899,0.113126334659338,0.1081124971168886,-0.1692008931063162,0.8789449719158005,0.8021591500680064,0.8782427335869378,0.7921177324259779,0.8146982049342733
13,6,2,low,medium,0.1089487161600701,-0.0455999998676086,0.1080482419520909,0.1720062282593341,-0.2282397806878027,0.8832147334031469,0.7569822058305173,0.8807737806531866,0.7487369738510192,0.8578694103174325
13,14,2,low,medium,0.1147210389169111,-0.0815260849918537,0.1142119458007767,0.1977878500964042,-0.1799244745259632,0.877229915620316,0.8008328595904659,0.8757496755716165,0.755689649473728,0.8260783206798095
13,15,2,low,medium,0.1201212804244001,-0.1028365816889684,0.1236066779143211,0.135014680443689,-0.1921897950423934,0.8728369175110995,0.7988194977618697,0.8671361756778431,0.7578324842571095,0.8421897950423933
13,16,2,low,medium,0.1101749755125033,-0.1181385041594952,0.0973545085927228,0.1673245312130103,-0.2011070584645203,0.8815829695292485,0.7934481543832282,0.8913077142125936,0.7695290724494785,0.8285580388566772
13,17,2,low,medium,0.106142437678384,-0.0764186940223801,0.1149886619049639,0.1306537970630371,-0.1940661644640637,0.8856489135695567,0.8093454001134022,0.8744792915821433,0.7745726950384895,0.8470761979088799
13,18,2,low,medium,0.1165471748230354,-0.079794654847473,0.1118813855683001,0.1287690252650858,-0.1742467792796502,0.8743122198815462,0.7892438989345454,0.8775145210676792,0.7693257356558557,0.8259151311502266
13,20,2,low,medium,0.1089907403555279,-0.0608589555915567,0.1107286292503988,0.1432281425858592,-0.2007156078435887,0.8837593468083091,0.8185393612848733,0.8789041017242984,0.7781120028263409,0.8435727507007316
13,24,2,low,medium,0.1056172888599626,-0.0543129697997187,0.1017987352228696,0.1035750681026691,-0.2721030224628147,0.8872658924752543,0.7700697536917391,0.8895854416837058,0.776725161589225,0.8383680827037785
13,25,2,low,medium,0.1146397656866484,-0.0865051434467953,0.1184722531316229,0.1631773731679938,-0.1867871656926352,0.8792953034650917,0.7989390974647134,0.8741128594338818,0.7858537795105098,0.8384555175632116
13,32,2,low,medium,0.1116826831672214,-0.0211067601600876,0.1116411090722895,0.1581578939872557,-0.1843653635927524,0.8813141643396684,0.7669864312385153,0.8782239919368144,0.7674109651358425,0.8258747975550167
13,33,2,low,medium,0.1099561118251543,-0.0233815276870084,0.1022039919721354,0.1425364904298772,-0.1928661014033703,0.882211495723546,0.7767476534612399,0.8868749606589053,0.7852921131937738,0.8440288921010448
13,40,2,low,medium,0.1150344052284934,-0.022893360539093,0.1275405106575,0.1205662537626487,-0.24714600171831,0.8763480159817263,0.7625182391821594,0.8617821203015592,0.7936975087505596,0.8447650493373576
13,42,2,low,medium,0.1201157966896121,-0.0533054291772072,0.1363382954659334,0.1479182458119556,-0.2213363041125261,0.8718804279492846,0.742490839328059,0.8535054443673574,0.7602145005914172,0.8367209194971416
13,50,2,low,medium,0.1134549490134408,-0.0715404858780089,0.1135906049227023,0.0922939105240741,-0.2782014467600059,0.8771625503360199,0.8074779428492357,0.8745193844421182,0.781105757702863,0.8496300181885773
13,51,2,low,medium,0.1282059860529115,-0.0091414046754643,0.1674855144749383,0.1013520790775586,-0.189284743561348,0.8651854386943019,0.699018817211966,0.8228927263946905,0.7654627946291268,0.8187878491514101
13,53,2,low,medium,0.1041209724960279,-0.0690430866671972,0.1144063001636745,0.1310242879744275,-0.2027238031522698,0.8856577450967146,0.7905415866263855,0.8736630744956748,0.7515747431661174,0.8390874395159063
13,54,2,low,medium,0.1094680706720315,-0.0991652897636895,0.1131689381826753,0.0755355132179547,-0.2203831151224422,0.8819849958200864,0.7771668930554395,0.8768392209591613,0.7748546439460449,0.8598275595668867
