exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,baseline_Shape,baseline_Direction,baseline_Length,baseline_Position,baseline_Duration
13,3,2,low,none,0.1158540481615654,-0.0104268402519851,0.117020804268402,0.1024506458229554,-0.2145760011232691,0.8777344998247245,0.7653210424825191,0.873538196964514,0.7902168374598365,0.834510641646145
13,5,2,low,none,0.1082774038544672,-0.0632128095085261,0.0962029266284042,0.1693432254126543,-0.2169850599644317,0.8847709435308071,0.8157021062364009,0.8946649462207007,0.7726473196236259,0.8241279171072889
13,12,2,low,none,0.1189102368857516,-0.0783471580368329,0.1226518692487875,0.1251747702378762,-0.1773498000857636,0.8726084854429323,0.7936481371666296,0.8668270349805028,0.7686999021535779,0.8440164667524302
13,28,2,low,none,0.1089557672384321,-0.1033711925857338,0.1002755660661811,0.1660102302811953,-0.1873342020750685,0.8824191848531304,0.780087217505551,0.8884093965295463,0.7783559725363196,0.832991770313282
13,30,2,low,none,0.1150736559135247,-0.0376587451791117,0.1256872759500882,0.1574040821465457,-0.2094180937854874,0.877064148169411,0.773160206911798,0.8640665619674716,0.7453756969520497,0.8188952179684941
13,36,2,low,none,0.1241132311513067,-0.0379114155390216,0.115781442889342,0.1354712963199973,-0.2040570098201919,0.8681752255945238,0.7232830199291999,0.8736282360365168,0.753548834079474,0.8205728469242644
13,38,2,low,none,0.1125318813474465,-0.0679113310336495,0.1213198303234612,0.0657938917846455,-0.232524831810424,0.8801975991699379,0.7964566056216097,0.8691196806232321,0.7709287298074607,0.8282695126614879
13,59,2,low,none,0.1236528970937764,-0.081036452054642,0.1129004970430901,0.0888821601617695,-0.1949327351922911,0.868608239303695,0.8148512207321412,0.8759698676696577,0.7683719031294188,0.8312963715559276
13,93,2,low,none,0.1235231292414631,-0.0218917262162878,0.1404924753155823,0.1510791817378933,-0.1501119882270999,0.8681196267665893,0.6729793145314333,0.846819787255128,0.7313269045017985,0.8424196805347922
13,96,2,low,none,0.1247054305936258,-0.0497875440428379,0.1192842538132031,0.1245831182956438,-0.2343827101346987,0.8673829263015457,0.7931213259656098,0.8699692436966846,0.7751416841673593,0.8415255672775559
13,106,2,low,none,0.1134255690473979,-0.0675625187424153,0.106648018533584,0.0987714469864946,-0.2267355689590422,0.8777799521034826,0.7993907332023622,0.8818623121773511,0.767867591734089,0.8338784261018994
13,110,2,low,none,0.1180478690691592,-0.0656128455297041,0.1384838965492247,0.1576495592083476,-0.1765309077221906,0.875162750059011,0.7883934867012118,0.8514894142433526,0.757303205095437,0.8303770615683446
13,116,2,low,none,0.1090556659473011,-0.036594685629177,0.1158042113916343,0.1646546381632873,-0.2106431720645852,0.8839933918715411,0.8102837943440547,0.8758308922607775,0.7665605178364996,0.8495320609534742
13,141,2,low,none,0.1068216960425242,-0.0676197398650728,0.1122634527613628,0.0850599127093771,-0.1699415140417224,0.8850545593948025,0.8131954587628932,0.8758066410970421,0.7913478975298001,0.8436327296584039
13,154,2,low,none,0.1086278029900555,-0.0905648923252944,0.1087237659841284,0.1341892038866941,-0.2114081555102505,0.8829468000471437,0.77265879757604,0.8806121813962573,0.7628071090991694,0.843292213481265
