session_id,trial_id,name,onset,offset,duration,amplitude,dispersion,disposition,peak_velocity,location,location_x,location_y,trial_index,RECORDING_SESSION_LABEL,code,render,expertise
42,9,fixation.ivt,1440,1619,179,0.3183516031103756,0.4435417933141694,0.2256129454668814,19.614319212574735,[1014.75277778  532.35472222],1014.7527777777776,532.3547222222222,1,S42T9,c1,r3,Intermediate
42,9,fixation.ivt,1821,2010,189,0.197133451973667,0.2781623530991108,0.0976619647162806,15.992257937059666,[384.23947368  59.57157895],384.2394736842105,59.57157894736842,1,S42T9,c1,r3,Intermediate
42,9,fixation.ivt,2027,2367,340,0.1691044141875949,0.2370489700184812,0.0503792468281894,19.279556819671892,[370.18167155  53.20747801],370.18167155425226,53.207478005865106,1,S42T9,c1,r3,Intermediate
42,9,fixation.ivt,2399,2573,174,0.1235384063183961,0.1739982152884458,0.0040097329337209,17.299699745802908,[362.64171429  42.42914286],362.64171428571433,42.429142857142864,1,S42T9,c1,r3,Intermediate
42,9,fixation.ivt,2591,2755,164,0.1850463485920333,0.2348197839047312,0.1065435822482011,19.132382063470175,[439.76666667  41.19090909],439.76666666666665,41.19090909090909,1,S42T9,c1,r3,Intermediate
42,9,fixation.ivt,2849,3002,153,0.2298985606268102,0.2981874647281586,0.1088562160143804,16.291711317119525,[529.32792208  41.84025974],529.3279220779222,41.84025974025974,1,S42T9,c1,r3,Intermediate
42,9,fixation.ivt,3018,3286,268,0.2571554037687922,0.3297507041237608,0.2200633458269798,19.708396818526445,[594.77416357  41.62286245],594.7741635687732,41.6228624535316,1,S42T9,c1,r3,Intermediate
42,9,fixation.ivt,3403,3610,207,0.2116026165275605,0.2992508388154977,0.1845571811804046,19.70738702112125,[649.40985577  48.25384615],649.4098557692307,48.25384615384615,1,S42T9,c1,r3,Intermediate
42,9,fixation.ivt,3715,3852,137,0.1439095769657422,0.1995797147655924,0.0715795001151257,17.430216580524878,[486.23949275  87.66630435],486.2394927536232,87.6663043478261,1,S42T9,c1,r3,Intermediate
42,9,fixation.ivt,3891,4083,192,0.1900026320667164,0.2598105165845066,0.0252099786881307,17.790986408427194,[579.30595855  89.71010363],579.3059585492229,89.710103626943,1,S42T9,c1,r3,Intermediate
