session_id,trial_id,name,onset,offset,duration,amplitude,dispersion,disposition,peak_velocity,location,location_x,location_y,trial_index,RECORDING_SESSION_LABEL,code,render,expertise
44,7,fixation.ivt,1476,1578,102,0.1064750562517831,0.1488477566532519,0.0245723323047334,17.552653347121062,[823.80582524 549.32815534],823.8058252427185,549.3281553398059,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,1877,2188,311,0.2208992729206209,0.2951158581414059,0.1545259874677158,19.53186242535328,[391.73557692  59.24102564],391.7355769230769,59.24102564102565,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,2244,2402,158,0.2419381459538055,0.3322532367515798,0.1095827897316716,18.29823234230579,[633.11320755 124.34559748],633.1132075471697,124.34559748427674,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,2446,2629,183,0.2720444848446607,0.3388662733500585,0.2275204978831006,18.77981316906643,[423.8826087   74.27826087],423.88260869565215,74.27826086956522,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,2656,2855,199,0.1153599931210354,0.1611167955550208,0.0258778985881477,14.916731019976968,[540.532    62.62475],540.5319999999999,62.624750000000006,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,2873,3084,211,0.1553328062840835,0.1992145662217765,0.0346329818385051,16.906885980740107,[589.04599057  54.25566038],589.0459905660376,54.255660377358495,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,3102,3270,168,0.1295394730601939,0.1747159222729575,0.028681612906343,17.376678702497074,[637.03994083  53.7239645 ],637.0399408284023,53.72396449704142,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,3288,3621,333,0.2074555964728617,0.2879045279871484,0.0975610550813394,19.71907611742774,[687.4260479   55.01646707],687.4260479041916,55.01646706586826,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,3670,3826,156,0.2822454727844314,0.3990615859954705,0.1771001277109788,19.657000800955252,[392.5        127.52452229],392.5,127.52452229299362,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,3848,4014,166,0.0750544839081028,0.1058960831237953,0.0554456178448553,14.748934269011832,[474.51556886 112.53113772],474.5155688622754,112.5311377245509,2,S44T7,c2,r3,Intermediate
