exp_a,exp_b,stimulus,expertise_a,expertise_b,score,source_file
27,31,rectangle,low,low,0.8419999938595958,Java_low_results.csv
27,34,rectangle,low,low,0.8879348564088138,Java_low_results.csv
13,31,rectangle,low,low,0.7390769858768519,Java_low_results.csv
27,35,rectangle,low,low,0.8686137999181671,Java_low_results.csv
21,138,rectangle,low,low,0.7850029550267659,Java_low_results.csv
13,34,rectangle,low,low,0.7776802462143427,Java_low_results.csv
13,94,rectangle,low,low,0.8286264488923822,Java_low_results.csv
27,37,rectangle,low,low,0.8402149895094849,Java_low_results.csv
13,77,rectangle,low,low,0.7957122032965963,Java_low_results.csv
13,35,rectangle,low,low,0.7595559673647418,Java_low_results.csv
13,78,rectangle,low,low,0.7776833750953623,Java_low_results.csv
21,74,rectangle,low,low,0.811008920561082,Java_low_results.csv
13,99,rectangle,low,low,0.7886195652161202,Java_low_results.csv
21,200,rectangle,low,low,0.822718549264035,Java_low_results.csv
21,63,rectangle,low,low,0.7920376234696369,Java_low_results.csv
27,41,rectangle,low,low,0.8725505209698728,Java_low_results.csv
13,208,rectangle,low,low,0.8098243590796222,Java_low_results.csv
21,140,rectangle,low,low,0.7702522385737479,Java_low_results.csv
13,44,rectangle,low,low,0.7760539905489914,Java_low_results.csv
13,37,rectangle,low,low,0.8020725514075367,Java_low_results.csv
21,77,rectangle,low,low,0.8070048777637068,Java_low_results.csv
13,101,rectangle,low,low,0.8374931124900917,Java_low_results.csv
13,200,rectangle,low,low,0.8099708312840607,Java_low_results.csv
27,43,rectangle,low,low,0.871431813356952,Java_low_results.csv
21,162,rectangle,low,low,0.8239466150098295,Java_low_results.csv
21,27,rectangle,low,low,0.8376147856613945,Java_low_results.csv
27,71,rectangle,low,low,0.8696977865718797,Java_low_results.csv
21,78,rectangle,low,low,0.792378828128911,Java_low_results.csv
13,104,rectangle,low,low,0.7909178011883855,Java_low_results.csv
21,124,rectangle,low,low,0.7795096011566278,Java_low_results.csv
27,44,rectangle,low,low,0.8254418739956546,Java_low_results.csv
21,164,rectangle,low,low,0.8143791720903155,Java_low_results.csv
21,29,rectangle,low,low,0.786869027080112,Java_low_results.csv
13,186,rectangle,low,low,0.742285645062821,Java_low_results.csv
21,79,rectangle,low,low,0.7209938004163129,Java_low_results.csv
13,107,rectangle,low,low,0.8038825333177156,Java_low_results.csv
13,43,rectangle,low,low,0.8307961350677037,Java_low_results.csv
27,56,rectangle,low,low,0.8744172982020578,Java_low_results.csv
21,31,rectangle,low,low,0.7506544360990559,Java_low_results.csv
21,94,rectangle,low,low,0.7953378789114482,Java_low_results.csv
27,60,rectangle,low,low,0.8317568487401545,Java_low_results.csv
27,74,rectangle,low,low,0.8535723790529239,Java_low_results.csv
21,34,rectangle,low,low,0.8129640635369866,Java_low_results.csv
21,99,rectangle,low,low,0.7784645960100175,Java_low_results.csv
13,124,rectangle,low,low,0.8216808212762337,Java_low_results.csv
27,63,rectangle,low,low,0.8624205627545147,Java_low_results.csv
21,176,rectangle,low,low,0.7496212858371017,Java_low_results.csv
21,35,rectangle,low,low,0.8040670901234418,Java_low_results.csv
27,162,rectangle,low,low,0.8362130679001653,Java_low_results.csv
27,200,rectangle,low,low,0.8405368272012337,Java_low_results.csv
27,208,rectangle,low,low,0.8763986967776244,Java_low_results.csv
29,65,rectangle,low,low,0.8696727770675098,Java_low_results.csv
29,41,rectangle,low,low,0.7856823150844986,Java_low_results.csv
29,63,rectangle,low,low,0.8178759211217643,Java_low_results.csv
29,37,rectangle,low,low,0.7903090522345767,Java_low_results.csv
29,34,rectangle,low,low,0.8101429174770112,Java_low_results.csv
29,67,rectangle,low,low,0.7445772797277408,Java_low_results.csv
29,71,rectangle,low,low,0.8598627349832192,Java_low_results.csv
29,74,rectangle,low,low,0.7596688532392047,Java_low_results.csv
29,44,rectangle,low,low,0.7696760393294826,Java_low_results.csv
27,180,rectangle,low,low,0.8410643366198597,Java_low_results.csv
29,64,rectangle,low,low,0.8531717765922402,Java_low_results.csv
29,94,rectangle,low,low,0.7933538647096966,Java_low_results.csv
